,mse,rmse,mae,mape
CDNS,0.0025470934923833063,0.050468737772836225,0.039837434698073396,0.035263028438267015
XRAY,0.02879718454753388,0.1696973321756529,0.15770757020693021,0.1627377594270216
V,0.7238030078001518,0.8507661299088909,0.7532280025881389,0.7457599342960056
WHR,0.29392249549501,0.5421461938398258,0.4991788728325417,0.5069987929521045
EL,0.271061652592375,0.5206358157026608,0.45630552018004905,0.4629771806478541
SBUX,0.08633177484525681,0.2938226928697932,0.27168534519301124,0.28984251844753567
INCY,1.0424881117343292,1.0210230711077635,0.8614978664596361,0.806282979193863
PSA,0.07072219788913144,0.2659364546073581,0.23696817369865614,0.22766353796874128
HUM,0.02718319842704063,0.1648732799062378,0.13457861716201586,0.11266650141344554
UDR,0.4931224668048306,0.7022267915743677,0.619569233566491,0.5273644419534322
HON,0.35435739915589853,0.595279261486488,0.5125398753258165,0.4874797452497689
AON,0.015208208271813491,0.12332156450440243,0.1056754049107514,0.10175120601145544
TGT,0.02206667993946932,0.14854857770934504,0.10218760821015616,0.10138625051874949
VNO,0.017848156185144938,0.13359699167700198,0.12079240910572779,0.10140271387974159
ALL,0.007844089574766278,0.08856686499344028,0.07713533624095238,0.06984253498846618
MSFT,0.15304552166990923,0.39121032919634063,0.33336373659692065,0.28362868988071027
VRSK,0.0059165103474186674,0.07691885560393281,0.0703437361229489,0.07900242571743454
A,0.47313632688632595,0.6878490582143193,0.5977598162695349,0.6021019985638192
COO,0.07076645094847903,0.2660196439146535,0.23804803069482433,0.21495614899900461
BKNG,0.004656614943582134,0.06823939436705263,0.054361268536006965,0.05240272460829154
EXPD,0.1197211722134865,0.3460074742162176,0.31085588333290703,0.33777749452619893
CBOE,0.02782973137008499,0.1668224546339161,0.14655909016731808,0.1453091906956811
VRSN,0.3373897075312028,0.5808525695313767,0.5279316155175923,0.5803355033235617
GE,0.42423876802287347,0.6513361405778689,0.5779304618037036,0.6116624013442254
EQIX,0.04095389211711544,0.20237067998382433,0.17284509411834414,0.1478955495153643
C,0.08814954400028023,0.29689988885191626,0.27587977448599976,0.2911222601619985
LEN,1.0814936654665492,1.039948876371598,0.9125975015332898,0.8798600222953037
WELL,0.32137016601067303,0.5668951984367773,0.49696787030210926,0.47066079775877073
WAT,0.12960480764942375,0.3600066772289422,0.2950193737211054,0.2973035329111072
AMCR,1.0357181266949793,1.017702376284432,0.8805034199617977,0.9062186520268071
FIS,0.2405430414472221,0.4904518747514603,0.4343552888055722,0.40700889241366406
NVR,0.5664759384469626,0.7526459582346554,0.6439281470726356,0.5714322445820978
WM,0.1097132791682707,0.3312299490811039,0.30620131863817157,0.2990485700165846
XYL,0.1376713233757767,0.37104086483267135,0.30399404352081466,0.28429195594770795
STE,0.3912674273631993,0.6255137307551284,0.5605155310591274,0.4817143794281868
LYV,0.1807546682295797,0.42515252348960564,0.3642381981043049,0.30606095055037125
LOW,0.06820135505682354,0.26115389152150026,0.24068820468185734,0.24251562123140433
BR,0.0805612075224318,0.2838330627718198,0.26604824538002547,0.25621341637522316
EFX,0.1278156491556914,0.3575131454306141,0.314173526169908,0.2881330379532805
NOV,0.04605215505724615,0.21459765855490165,0.16129620225830418,0.16858069719955263
CE,0.1349388928508397,0.3673402957079984,0.3173489515160246,0.30189025127755764
DVN,0.032844214283881325,0.18122972792530845,0.12037326044965635,0.12559709059871307
XOM,0.5117721857634607,0.7153825450508705,0.6223711537352389,0.6429134233153555
ADM,0.2058489884064919,0.45370583907030765,0.4165484425443967,0.38190195477934524
PVH,0.48741970387297884,0.6981544985696067,0.6151569507120507,0.6959530701852671
CTAS,0.8054835479525486,0.8974873525306909,0.8050531359929325,0.7082340491877349
ULTA,0.7681598439838855,0.8764472853422991,0.7347822556562287,0.8989435347499968
FTI,0.011163923759994388,0.10565947075390066,0.07517760888023772,0.08667423796711252
NWS,0.16377393314500144,0.4046899222182354,0.34776909572095105,0.3954343939611629
SCHW,0.2958466963437321,0.5439179132403456,0.466810357275129,0.4320547166389573
IFF,0.034373011951020736,0.1853996007304782,0.1371605248940658,0.12265785816972401
PHM,0.5243459313900702,0.7241173464225741,0.6330515205814515,0.6596419272434809
CPRT,0.09075062156070843,0.30124843827098663,0.2652184175004765,0.28181408063320895
KMB,0.0012419308193986377,0.035241038852432224,0.02779374854047578,0.0263952135268698
MCO,0.6059512992510452,0.7784287374262625,0.6807707697963589,0.5820513549519343
TTWO,0.025786531984968008,0.16058185446982484,0.1360859763564186,0.11282813192545732
APD,0.28204268980929537,0.5310769151538178,0.4648238917399138,0.3975099797899215
ZION,0.3036451384724179,0.551040051604616,0.4670313651176388,0.4847811451448241
TJX,0.3444224243957606,0.5868751352679381,0.5253078450075778,0.559788419805063
GM,0.10561566374491527,0.324985636213226,0.3007216359372034,0.36438734784225624
KR,0.10477943725413152,0.32369652029969603,0.27430071857016125,0.22451446719418341
CMA,0.3732604847194937,0.6109504764868374,0.5229954744611445,0.5164651247640611
KMI,1.2556222025998485,1.1205454933200385,1.0028100884529154,0.9470804460981831
NTAP,0.027690908058286036,0.16640585343757003,0.1525424882604706,0.16586011521882787
SRE,0.04777696333337183,0.2185794211113476,0.19020435199513436,0.16471067527391856
FDX,0.06456571057803863,0.2540978366260497,0.2401298151402368,0.22911201710106868
BXP,0.1510550975626324,0.3886580728128935,0.31463719171018373,0.26869997889375336
GS,0.3209276996340525,0.5665048098948962,0.5154382725977288,0.5141892411551076
UNP,0.016634429215286854,0.12897452932764225,0.10058652949672528,0.07837326770159066
AMT,0.0028641874517391294,0.05351810396248292,0.0459904411564748,0.0405126305785803
HCA,0.2709889221945618,0.5205659633462043,0.4356958879674611,0.32732828556117444
IP,0.3161688514016283,0.5622889394267224,0.5025884382216641,0.4876554936289744
PNW,0.026440687474495107,0.16260592693532147,0.12753117590082408,0.12036877576286187
HPQ,0.010536125354780095,0.10264562998384341,0.0836833739886103,0.0659270898368731
MRK,0.07639612811265187,0.2763984951345645,0.21240834288797733,0.17800693277184834
VTR,0.0017801035855843626,0.04219127380850645,0.03107984281593516,0.031617238173602236
REG,0.20006499846451606,0.44728626008912464,0.390281029320987,0.3535434477966953
MHK,0.38307963265605544,0.6189342716767714,0.5479187554824899,0.5821020207048226
AMZN,0.015782391067613314,0.1256279868007655,0.10282712417007693,0.13016962385575548
TT,0.8336428426320556,0.9130404386619771,0.809332843063922,0.817845428307993
MCHP,0.45309573245723583,0.6731238611557577,0.5629080000836605,0.5424231138877806
ODFL,0.09846807960154734,0.313796238985663,0.2822081370919776,0.22539262938924767
CDW,0.02328023178531574,0.1525786085443033,0.13314243599575618,0.09995663664058654
URI,0.26213558924079505,0.5119917863020803,0.4228780205184142,0.3135216668877489
AEE,0.014229399195739236,0.11928704538104394,0.09823876401702554,0.08737596931948963
WST,0.05113775414650659,0.22613658294602976,0.2064550457887131,0.23315549074151196
ZTS,0.1547374537615135,0.39336681832802506,0.3697319476452477,0.3548612835278872
PWR,0.6169468944421631,0.785459670792946,0.655366785078642,0.6274636431930551
TYL,0.048329757211570464,0.21984029933469992,0.19790878068784684,0.23459232323940482
DVA,0.4735594221428981,0.6881565389814284,0.5861265041305831,0.5085182071357471
OKE,0.09389382867470522,0.30642099907595305,0.21217285694740295,0.19692329865297087
STX,1.2941323697083162,1.137599388936332,1.0130461068279377,0.9577161973312486
LHX,0.6119203265051079,0.7822533646492726,0.6665490653307881,0.6538482351485106
AME,0.8189901674461684,0.9049807552905025,0.7912359193958917,0.8054632337938167
MO,0.11325294246565211,0.336530745201166,0.31579639203928117,0.27472227217272416
QCOM,0.0034419627406713834,0.05866824303378603,0.04932014607497556,0.04783157798600301
WFC,0.15475727395338348,0.3933920105357803,0.33856850868925875,0.29314626646413305
FRT,0.04941451087781612,0.22229374907499339,0.20248763497156827,0.1746341883852292
AIZ,0.19762365037906568,0.4445488166434207,0.3819854568226403,0.3797670888208262
PPG,0.03216570834704645,0.1793480090412114,0.14986945282819833,0.13963198556126244
LH,0.13170888573101194,0.36291718853067834,0.3232803069646709,0.3366415191796027
MPC,0.2925862306314497,0.5409124056919472,0.4696201798794978,0.4847952239864518
RCL,0.597315719257488,0.7728620311915239,0.6836893233746607,0.5187184639391664
PLD,0.0016619717562684252,0.04076728782085491,0.032576293026428546,0.032318679826137946
ADSK,0.4881554337281722,0.6986812103729226,0.6096539507652068,0.5561868440335198
LLY,0.01910084160097033,0.13820579438276215,0.10847812535602386,0.08468400857397937
TRV,0.18107551619077075,0.4255296889651423,0.38831268683311354,0.36774909907659487
MU,1.3771347389711572,1.1735138426840808,1.0255438701766335,0.7634133935983316
TXN,0.012385903789041908,0.11129197540273023,0.09167467625073947,0.08347724642187307
FTNT,0.27360712750222055,0.5230746863519784,0.4291577093962466,0.3685014192430078
DGX,0.07683001450693497,0.27718227668257395,0.2378509109118548,0.24160923769604692
IT,0.6250199644247315,0.7905820415521285,0.702545639828685,0.664388270152959
AMD,1.2013590511341667,1.0960652586110768,0.9018211156931079,1.1436751304624484
NRG,0.011026196365752463,0.10500569682523164,0.07822684223317596,0.07060787204107256
JNPR,0.5154875254465329,0.7179745994438334,0.576320502472636,0.5777729671380322
BKR,0.13370426007099315,0.36565593126735024,0.24821110198784097,0.24265018935792898
ABT,0.19936706498115966,0.44650539188363636,0.39114418506759724,0.35252568977719606
HAS,0.3369305774656185,0.5804572141558915,0.5146253931487876,0.5093312546271312
PNC,0.10886082040450211,0.32994063163621135,0.26878837325184474,0.239926050268113
L,0.22032237933470405,0.46938510770443503,0.41696137920087556,0.4774878184838588
TXT,1.9871369317968872,1.4096584450840874,1.213836099618515,1.1439893969890467
ROP,0.5955921296281326,0.771746156212088,0.6814127026087041,0.6399782371093758
BAX,0.27256491353026263,0.5220774976287167,0.44068593682090995,0.4143597222871648
TROW,0.6686536435646987,0.8177124455239132,0.7168800474915292,0.7306887787696381
RJF,0.5424419684422728,0.7365065976909323,0.6502343730885329,0.6344223639480671
ZBH,0.05717304856942112,0.23910886342714507,0.20532915031637017,0.1848794862552738
TMO,1.1120935123915818,1.05455844427494,0.9061962371304645,0.8306520931449425
FITB,0.3664785888574986,0.6053747507598072,0.5113802458274431,0.5216904252381098
COF,0.6806898881840668,0.8250393252349046,0.7157580026357598,0.6732542269515442
SYY,0.008308267094171732,0.09114969607284344,0.08393707290388089,0.08859478809816362
NCLH,0.6304446346066679,0.7940054373911226,0.7178134322540868,0.7192962356139859
RTX,0.22717662549306222,0.47663049156874365,0.4006925059354497,0.4078069129540701
COST,0.010243023111555385,0.10120782139516385,0.09087541996404053,0.0946834265417487
CSX,0.02429150709462204,0.15585732929388352,0.14595944275863004,0.1339159455289398
VFC,0.4626331958863793,0.6801714459504893,0.6126633363900561,0.5788734788907014
BIIB,0.14511354071886315,0.3809377123872919,0.34049024047286985,0.30877486522309155
T,0.13812615643963652,0.37165327449066893,0.32458653014094807,0.3243154804426194
MCK,0.007032079711983474,0.0838574964566882,0.07671123778728077,0.06650560659381945
EOG,0.2285391974415149,0.47805773442285704,0.3732346738957078,0.3556425920140104
CCL,2.039208935205222,1.4280087307874634,1.2571534214577036,1.2624746230031072
UPS,0.12416001890056727,0.3523634755484275,0.32619089424276193,0.33252681963559466
TAP,0.004299597603190798,0.06557131692432902,0.05397883483532808,0.04542234076834749
MKTX,0.36681967582668334,0.6056564007972535,0.544830128069446,0.6417366919196227
PCAR,0.38862531050377297,0.6233981957816151,0.5270841189523141,0.48639684642705794
HII,1.871515237153596,1.3680333465064352,1.155159922548007,1.0215971523631495
WRB,0.0038251123004862035,0.06184749227322158,0.05297879625399963,0.05401457236189052
JNJ,0.0026328124992842225,0.05131093937245958,0.0449064531483228,0.0415395515175138
ED,0.01050562003009074,0.10249692692998527,0.07289750185364174,0.06768525414896281
NVDA,0.06008095259553092,0.2451141623724156,0.19084577403370237,0.16036322669670625
UAL,0.33962648563506226,0.5827748155463328,0.5062915153570722,0.40061936463492925
MS,0.014206579876326857,0.11919135822838356,0.11058065509222215,0.10629571163030212
MTD,0.017299144437951875,0.13152621198054734,0.1003804675803724,0.0944389990666711
HIG,0.1149850652359944,0.33909447833309586,0.30843675095550616,0.30284517235772557
KEY,0.08465680114345292,0.2909584182378178,0.25272609521581774,0.24993782994181538
MAR,0.12591760427023846,0.35484870616959907,0.31318647480747536,0.2301993735003756
TDY,0.20184563482821777,0.44927233926452426,0.3887415453645167,0.3701944090400737
SYK,0.21263797456901015,0.4611268530122814,0.3948872444134401,0.3477086834547715
DPZ,0.006659541277782286,0.08160601251000006,0.065077064280371,0.05557095796246348
VLO,0.19439014280697398,0.44089697527537425,0.3561179649426543,0.3505599318157547
CI,0.44694588096301663,0.6685401117083526,0.5739260887561893,0.5436865530211619
ARE,0.006247089074292298,0.07903852904939652,0.06518255123130931,0.054939744952230814
VMC,0.3027827247462382,0.5502569624695703,0.46043782670184175,0.4325923178474871
MAA,0.11701461592166634,0.3420739918813857,0.31261324289662834,0.28642014322791687
CTSH,0.6456375180496293,0.8035157235858109,0.6941238737206687,0.7197804409226973
DFS,0.07977402158263219,0.28244295279336,0.24484961276978714,0.21740165149156176
AZO,0.14304724788700215,0.37821587471575296,0.30591174561726986,0.27126206547492576
RSG,0.1329425039843268,0.36461281379612376,0.3101469797070574,0.27959076565668134
PSX,0.3539615408813132,0.5949466706195717,0.49647030669351083,0.4799188044512744
ATO,0.005423939133704987,0.07364739733150784,0.060983026278509565,0.05594822091776729
TDG,0.006308955779205528,0.0794289354026952,0.06660068015395354,0.05443050701079898
DD,1.5969395302672802,1.2637007281264343,1.072006651713755,0.9453611846951002
YUM,0.16073574704769128,0.4009186289606549,0.33493391384665044,0.3507752375072057
CAT,0.4805406565951952,0.6932103985048084,0.5722743098439075,0.5084570011043792
EXC,0.24605032061675813,0.49603459618937684,0.4476262331401096,0.377389648499474
NSC,0.043111726713540285,0.2076336357952157,0.18533428942842536,0.16349528734964483
GOOG,0.20918169929359753,0.45736385875317864,0.38758504424842055,0.39291874295361684
RMD,0.09693162505872431,0.311338441344342,0.2617268952120453,0.29051544146439795
O,0.010455483846706989,0.10225206035433707,0.09159180926153593,0.08491935480261155
IDXX,0.01760680095295133,0.13269062119438332,0.1055999455885407,0.091654837184811
ETN,0.8710207532076728,0.9332849260583141,0.8099695537059417,0.8831678753538976
IEX,0.28181800623199044,0.5308653371920137,0.46050121221662815,0.4467670615721116
POOL,0.14105358632147633,0.3755710136864616,0.3306673430113096,0.330971039109765
LYB,0.16661164831680578,0.40818090146013175,0.2939521699640422,0.25687808343428176
CVX,0.13362472152078997,0.3655471536215129,0.3171347960930885,0.3273908597727334
MOS,0.7899316635879177,0.8887809986649792,0.7526936823760217,0.7871853602148735
ECL,0.028248339588820705,0.16807242364177624,0.142046131552026,0.13867091500617001
NKE,0.006908753939679604,0.08311891445200427,0.06933420371227914,0.06575724726209602
EVRG,0.02581660817431558,0.16067547471321061,0.12397551786098504,0.10616045426514964
AWK,0.04173890200520132,0.2043010083313377,0.17955506720478595,0.15538844892068368
CPB,0.11469491903585799,0.338666383090879,0.2959718240157845,0.28570850294100647
FLS,0.9018637362051997,0.9496650652757527,0.8133227520523502,0.9213333790472993
EMN,0.6728085351812074,0.8202490689913688,0.6900133982234797,0.6859397835024174
GRMN,0.26220974753038634,0.5120642025472845,0.46344608765921563,0.40101253767815415
MGM,1.344658223974367,1.1595939910047683,0.9803785638688272,0.9909589605851159
CBRE,0.08040563781602585,0.28355887892292464,0.2464485416877799,0.21388606322116424
LVS,0.1103020742306843,0.33211756085862776,0.2747361161981689,0.327124025153637
AMP,0.5352528056799489,0.731609735911127,0.6521980720391759,0.6109294591936003
HOLX,0.034080065783849894,0.18460787031936068,0.16481849072807583,0.15486593959634462
TSN,0.015933004663941135,0.12622600629007136,0.09299747789090122,0.07858752059280003
MRO,0.05710462026304261,0.23896573031094356,0.20383054606122503,0.2081790846645981
SPGI,0.55385901177183,0.7442170461443556,0.6537417307901048,0.6063952527350776
TER,0.08295628526937054,0.2880213278029433,0.23750860780050106,0.22038518927384676
COP,0.07395942051736032,0.27195481337413446,0.20637028333125726,0.20790294777820617
PM,0.025150481436765824,0.15858903315414286,0.14742219748522659,0.15463631012188947
UNH,0.26165503933427614,0.5115222764790173,0.44196573024850894,0.3805028800822885
INTC,0.07640359671164923,0.27641200536816274,0.25518273411665326,0.2109466032056129
ADI,0.2046591793243016,0.45239272686936693,0.3916484689278092,0.383896494847231
AEP,0.0023078961267983577,0.048040567511202004,0.03937670681174662,0.03424564004334144
AVY,0.1875617853440363,0.43308403958589414,0.3750227704143597,0.3877428829648537
CNC,0.01528676478229308,0.12363965699682719,0.0944586205272628,0.08273757488406003
CAH,0.1330493111240642,0.36475925090950634,0.3140605252934861,0.28131740428811214
DG,0.0306310549593979,0.1750172990289757,0.16313318048486283,0.16880782426892565
CAG,0.2704168211576394,0.520016173938503,0.4774218949620007,0.48429861987022116
LNC,0.15813948491314106,0.3976675557713265,0.34953153935950426,0.3423070497253878
CHTR,0.004072796035666579,0.06381846155828719,0.047283103328149015,0.04765015649399187
PH,0.890456036105637,0.9436397809045765,0.836334706910492,0.8831204394391569
WY,0.1946264310560576,0.4411648570047909,0.40481130961752193,0.38641511240120846
CRM,0.24950655281004194,0.49950630907931676,0.42627185909153875,0.43061862074745944
XRX,1.6582840500221467,1.2877437827542195,1.1149635122999826,1.0435665573780946
LDOS,1.8079364292455646,1.3445952659613094,1.1841091677254352,1.4771242326917777
ITW,0.4815315751582748,0.6939247618858077,0.614591702823862,0.5816308754127463
LEG,0.5513661391764649,0.7425403283165601,0.6575828023313716,0.561707390232622
NWL,0.17736532728107415,0.421147631218643,0.3867981483461494,0.3782771891836309
NWSA,0.07549609185935248,0.2747655215986032,0.23412459524054752,0.2581181123741567
RF,0.24934693156838086,0.49934650451202806,0.40816570673088726,0.39952180078912286
APH,0.17558418035971413,0.4190276606140866,0.36417864080630746,0.3247442182985458
BBY,0.1351594786708459,0.36764042034418076,0.30169042259502343,0.4107289883778346
ETR,0.001794011999172657,0.042355778816740665,0.03385549171657852,0.029558996861230185
EXPE,0.7706047384901289,0.8778409528440382,0.7664337305593945,0.6519579203236754
MMC,0.07067182101441967,0.2658417217338536,0.235971944970508,0.2150657346259123
BEN,0.44563946612797956,0.6675623312680095,0.5962606155341718,0.6187980429738346
TPR,0.4990572931033743,0.7064398722491351,0.6229002950304017,0.9400596771421442
SWKS,0.6191028904210507,0.7868309160302808,0.6649307660386916,0.3541305095518288
CHD,0.002385301089523135,0.04883954432141167,0.04087417634361243,0.039513640822472884
MKC,0.01061399055611456,0.10302422315220125,0.08669334721095355,0.08621143577812347
BWA,0.1750586548343232,0.41840011332972077,0.3338451157553275,0.3208112324911625
J,1.0460100576556106,1.0227463310399165,0.8775577072657292,1.1135494572404134
ANSS,0.1030084786869263,0.3209493397515039,0.2977168884806113,0.33858601243602227
NDAQ,0.1184018149618359,0.3440956479844462,0.31806099470150323,0.3102992122418552
PAYX,0.801625079888683,0.8953351773993262,0.7996235397324662,0.8215207203537435
AJG,0.01738425251175881,0.13184935537104006,0.11432287275912746,0.11575197471661176
SHW,0.002359241506572554,0.04857202390854795,0.03607624372117118,0.03179976388695118
UHS,0.38568648543352146,0.6210366216524766,0.5217990455300999,0.4266295807102271
PNR,1.6794836265509416,1.2959489289902368,1.116577296298967,1.2491003081923053
PEP,0.03840837820986274,0.1959805556933206,0.17553414609117457,0.16266550540225136
RHI,0.44025970247418367,0.6635206872993363,0.5918256971960728,0.4988204844422015
KIM,0.20369357072057534,0.4513242412286042,0.39963214579092504,0.3578913973590251
ALGN,0.06359483959080006,0.2521801728740784,0.20620214415210436,0.22317864938776752
SLG,0.014080381963198614,0.11866078527971494,0.10241191055713332,0.08931160612645361
SO,0.0012409808056705837,0.0352275574752293,0.026323819378664935,0.024371968032764153
VRTX,0.025764224518350014,0.16051238119955114,0.11980505225490382,0.12092674716164689
UAA,0.01586463384936995,0.12595488815194886,0.10752949080758341,0.08047887938930948
MAS,0.0759927648030736,0.27566785232063895,0.24633931005866042,0.24648593604269586
MCD,0.07129502141300138,0.26701127581621226,0.22766258374692236,0.2295114043574032
K,0.015122673121382013,0.1229742782917713,0.10800820696192441,0.10356704739873085
PPL,0.001070322493766788,0.03271578355727993,0.0267713004457729,0.02383428817904332
STT,0.1904683617087174,0.4364268113999384,0.39928950579477396,0.40919186314181366
MSCI,0.0014084383562489547,0.037529166740669244,0.02803245217932119,0.028280842627549437
