,mse,rmse,mae,mape
DG,0.05218706833900222,0.2284448912517026,0.21333039210010374,0.21863125796266125
SPG,0.0013466670948148935,0.036696963018959666,0.027311851047010102,0.024681675169218834
MAA,0.04045033176597443,0.20112267839797288,0.1873125537552252,0.17699415313405534
CAT,0.37768412418633585,0.6145601062437553,0.5101101861418991,0.4626351368490724
GE,0.24833064352056686,0.49832784742633723,0.44579654197385504,0.4811111468814854
TFC,0.5305257852739775,0.7283720102214098,0.6262695240327082,0.6173797596595346
CB,0.09027701486651339,0.30046133672489944,0.2765749226602841,0.2714787749026001
MTB,0.029228589727717018,0.1709637088031171,0.14751188470426677,0.14118043923245305
AWK,0.06338960688843508,0.25177292723490957,0.21924983580554805,0.19396638028626834
GWW,0.001363433973787066,0.036924706820597314,0.02876667015127388,0.03203057796367166
SYK,0.0635319985714013,0.25205554659915996,0.21225424377967608,0.18904167744097836
GL,0.10669774920138866,0.3266462141237652,0.2855347685385087,0.2809321839784348
FE,0.01652614224857294,0.12855404407708432,0.1171890255800765,0.13283606569105263
KLAC,0.12419912403945348,0.3524189609533708,0.3067893110920326,0.28447173772430034
ESS,0.6145932888204656,0.7839600046051237,0.6999349505903177,0.6106664496790258
EW,0.1000886096373767,0.3163678391325147,0.24205152470081223,0.18027057345517572
DLTR,0.016421295583150076,0.12814560305820125,0.11616766541916654,0.1275593429920423
GILD,0.016731880080590057,0.12935176875709917,0.10156914811186851,0.08088618967415813
MMC,0.015423644173686874,0.12419196501258395,0.11417693092501699,0.10696790609959746
NWS,0.09847880578141494,0.3138133295151991,0.27137895806858525,0.30883124939104156
ZBH,0.02404012203834074,0.1550487730952449,0.1338911090060503,0.12177223720164686
WFC,0.14912247103059464,0.386163787829199,0.332637523545783,0.2935782269925119
BLK,0.5550181501254486,0.7449954027545731,0.6652326927759903,0.6522422807961916
BIIB,0.21380278248587462,0.4623881296982813,0.4189327231374535,0.3815065865321816
AVGO,0.5867434630243665,0.7659918165518261,0.6719639519899425,0.45813696958202665
EQR,0.19366959423311972,0.44007907724989576,0.39128548338750413,0.3342024965570233
ADP,0.20746146681976135,0.4554793813332952,0.4163150638270613,0.40525071096648346
GM,0.2321125203451167,0.48178057281828696,0.4378343172122967,0.5414068779775556
FRT,0.07306614539098609,0.2703075015440491,0.24396325627981164,0.2146564276384679
AMD,0.28937641840885525,0.5379371881631305,0.4309458282581397,0.5574417180775846
