,mse,rmse,mae,mape
AAL,0.042157145696893474,0.20532205360577677,0.17978290085735057,0.12267490703083095
REGN,0.2566331967696509,0.5065897716788712,0.43160334145472934,0.38392362129142865
BKR,0.08607933470280459,0.29339279933700585,0.18774419446546517,0.18780584430551492
DHI,1.6397099295349113,1.2805115889889132,1.1041760816993054,1.0770132739583336
DXCM,0.17033769121124753,0.41271987014347583,0.36035510755252326,0.31090919906539366
MCO,0.6422971243239497,0.8014344167328663,0.7022456040885722,0.6059580706101803
SJM,0.00926191406428841,0.0962388386478578,0.08911537148605525,0.1006690030914731
CCI,0.03473498272964024,0.18637323501415176,0.15563790128839017,0.15186943179947857
IFF,0.11635191569713763,0.34110396611170857,0.2721356753484677,0.24612367257501508
EXR,0.036698839798419806,0.19156941248127218,0.17196991018075064,0.1552019465228618
MKC,0.04638146342553212,0.21536356104395218,0.18907640442752197,0.1893119432511478
WAB,0.5801035962086144,0.7616453217926402,0.661187628672728,0.6092620487693172
YUM,0.2534174279679588,0.5034058283015392,0.42809922281712864,0.454310618941375
PEG,0.00914415613465286,0.09562508109618972,0.07777558632938573,0.06878024652766745
SWK,0.019941739237654087,0.14121522310875018,0.11991662520003263,0.12392015617595344
VTRS,0.06775991292448094,0.26030734320122617,0.2113221352197082,0.18529081588807186
GIS,0.003327428661991064,0.05768386829947402,0.046435510228369996,0.04661713944873471
TXN,0.10564340465161243,0.32502831361531015,0.2849980134357587,0.25989471132521624
AMZN,0.020414960050946274,0.142880929626547,0.12260209766143611,0.1531762730632053
LIN,0.4060373702848405,0.6372106168958899,0.5496430570397821,0.5541521351467406
PWR,0.6822479627265873,0.8259830281104977,0.6922214879775977,0.6622327533295346
XRX,1.5313365557216936,1.237471840375244,1.0878470346245455,1.0322154015296006
CAG,0.46946446536441927,0.6851747699415233,0.6223936235537019,0.6428822161732274
ATO,0.019792557399156863,0.140686024178512,0.11648693052037795,0.1085043070907791
TGT,0.006513525590685951,0.08070641604411603,0.07480224663490695,0.08224321191691626
D,0.022843360171023785,0.15114020038038783,0.1202940002871625,0.1155383816747619
ES,0.015451879757007153,0.12430559020819278,0.10347498402700597,0.09691121107319467
INTU,0.0057682061232452375,0.07594870718613476,0.06099506477856752,0.05626549390640689
LUMN,0.004625550145764871,0.06801139717550927,0.05602321139926736,0.05430981051756289
JKHY,0.06575213100530101,0.2564217834063655,0.22862543587691,0.23216857627089596
FRT,0.027967918337056523,0.16723611552848422,0.15370819528117152,0.13571653615338644
SBUX,0.10397735206224308,0.322455193883186,0.29811154203502555,0.3209048182735678
DTE,0.022263709495411413,0.14921028615819826,0.13164072140830965,0.1180235576125999
EMR,0.43470567027944207,0.6593221293718587,0.5809557069407724,0.6355420295480674
NOV,0.1057851069801668,0.3252462251589814,0.2655493194282503,0.27887864139924334
PGR,0.43951858702412966,0.6629619800743702,0.5987161825640085,0.6701236373640068
NI,0.3419397769264299,0.584756168780142,0.503698463294344,0.4207144099426107
CI,0.3220169626979198,0.567465384581227,0.50492102203729,0.4814531706063215
RJF,0.12836291261156096,0.3582777032018054,0.32017531644275865,0.3159247024451341
CE,0.0688405992190006,0.26237492109384347,0.22458941665272467,0.21597001298061366
TDG,0.02285243194227985,0.15117020851437576,0.1269799108391129,0.11284259809594464
BIO,0.027196563824224432,0.16491380725768365,0.14068898299322793,0.14870703687284323
FCX,1.200767868528006,1.0957955413889975,0.9623186443569457,1.1801813844267435
BK,0.15993219710905718,0.39991523740544965,0.36369124602485736,0.33943437227475887
APTV,0.06377795483233649,0.25254297620867716,0.19792417486891922,0.17486673458142224
TRV,0.07106134280120568,0.26657333475275746,0.24980878620109268,0.24278214240453677
RTX,0.45756679616037865,0.6764368382638387,0.5764498494275275,0.5941624700207756
MHK,0.25967563140948735,0.5095837825220573,0.4555753789945693,0.4846969790060818
KMX,2.1203699361620094,1.4561490089142695,1.243685860629002,1.2663128056799364
UNM,0.27900506373736467,0.5282092991772908,0.46038438715788466,0.4724675295188086
TDY,0.11655843778387025,0.34140655790987706,0.2954615255564386,0.2817260265295495
UAL,0.25536533450533483,0.5053368525106148,0.4412785029510621,0.34916908016796633
AMT,0.034502147366514344,0.18574753663646348,0.16489604670863958,0.1432139868576192
NOW,0.39638829582122664,0.6295937545919802,0.5406579336995538,0.521389647427636
SPGI,0.7406332971359509,0.8606005444664504,0.7564131809695719,0.7080792299209863
QCOM,0.01745006346959094,0.13209868837195524,0.0948498872032256,0.0948217992630339
GWW,0.002354335414190133,0.04852149435240152,0.04110167607505934,0.04478877822258493
