,mse,rmse,mae,mape
AAL,0.04697989743530212,0.2167484658199502,0.1910915045229517,0.12950000695366998
REGN,0.22417240509721262,0.4734684837422789,0.4026208253789179,0.35780606392367575
BKR,0.07160108617766821,0.26758379281576117,0.1701001056567741,0.17056268557472268
DHI,1.637045320070798,1.2794707187234877,1.1029694627085227,1.0758439312862198
DXCM,0.172433025718884,0.4152505577586669,0.3624578630856054,0.31271575720606115
MCO,0.7626105638760727,0.8732757662251213,0.7659685411157889,0.661062937879141
SJM,0.01182340926471549,0.108735501400028,0.10107586665263238,0.1139387167495942
CCI,0.020808963530324655,0.14425312312156244,0.1192540264732854,0.11622035280043647
IFF,0.08681728679316002,0.2946477333921984,0.23135311106535966,0.20930881697281714
EXR,0.025184257641416463,0.1586954871488678,0.14372891314200956,0.1299837079587742
MKC,0.05551221331145187,0.23561029967183494,0.20683772543327916,0.20697558127217483
WAB,0.6942949119662141,0.8332436090161233,0.725631839761072,0.6687665514580748
YUM,0.20020520842410464,0.4474429666718482,0.3800718731416341,0.4035697264128826
PEG,0.006366243313139411,0.07978874176937127,0.06411806703706914,0.05714199376126389
SWK,0.016544030675847077,0.12862360077313603,0.10913447526608026,0.11294118743506856
VTRS,0.0518992430397628,0.22781405364850255,0.1864651696687283,0.16371196550515127
GIS,0.016777358146809303,0.12952744167476365,0.11018542672432209,0.10974172187607684
TXN,0.13663781935464556,0.36964553203663314,0.32487688906067774,0.29600847936124647
AMZN,0.012754479341142346,0.11293573102053374,0.08478281511250133,0.10572346004841382
LIN,0.3839858244409257,0.6196658974325808,0.5344307817801046,0.5388288433459365
PWR,0.8253189363895435,0.9084706579684032,0.7634284475500477,0.7297077822989594
XRX,1.5804471453306745,1.2571583612777963,1.1053234828690077,1.0487989722053457
CAG,0.3794283868694173,0.6159775863368872,0.5611188939045374,0.5800828324872648
ATO,0.0021726336442841232,0.046611518364929105,0.03587585089581662,0.03434943970493303
TGT,0.00816935204368041,0.09038446793382372,0.08372118894212957,0.09276856608664885
D,0.004341514344069396,0.06589016879678937,0.05620058618072235,0.054251196325803
ES,0.011503484848605526,0.1072542999073022,0.0884983612245853,0.0830907146037989
INTU,0.003546475124853354,0.05955228899759735,0.046209478330780235,0.044447442774575144
LUMN,0.004249462993790798,0.06518790527230338,0.05336623834434891,0.05182030531582722
JKHY,0.07208295070011002,0.2684826823095114,0.24008561075727872,0.2437810726634261
FRT,0.030251612410230548,0.17392990660099414,0.15949154455537654,0.14074258411314455
SBUX,0.12284646718383029,0.35049460364437895,0.3225303870785569,0.3468875437393448
DTE,0.02426787852463487,0.15578150893040826,0.1375088410056715,0.12329826042049678
EMR,0.3050616366991654,0.5523238512857881,0.48810943448325134,0.5339996451876822
NOV,0.05189360166628577,0.22780167178114774,0.17941318659678304,0.19061657515916983
PGR,0.39457429979376135,0.628151494301941,0.5682752154583356,0.6362027569771508
NI,0.3224040073904146,0.5678063115098445,0.48838586975481296,0.40784059707994186
CI,0.2736766484844933,0.5231411362954488,0.46712736075892836,0.44596207820809053
RJF,0.1287871264386006,0.3588692330621289,0.3203959936052631,0.31610595428241417
CE,0.08236304349813019,0.2869896226314293,0.24589590678668452,0.23663487241966183
TDG,0.014079732783081689,0.11865804980312836,0.1008649241077572,0.08993637653035061
BIO,0.01854210789961337,0.13616940882449835,0.11666061932398342,0.12328572346324261
FCX,1.3808347029690744,1.1750892319177615,1.0297768383854973,1.2624273944729407
BK,0.17645953862229424,0.4200708733324583,0.3813565063353589,0.35570823828430626
APTV,0.07696330689012773,0.27742261423706566,0.21940849562665315,0.19375504732948262
TRV,0.06761042927834364,0.26002005553099866,0.2439927610035816,0.23724036795727488
RTX,0.5358168445757713,0.731995112398827,0.625106620582163,0.6441214412266959
MHK,0.301807925476413,0.5493704810748508,0.49024495836092474,0.5213446878329446
KMX,2.0881460023024774,1.4450418687022455,1.233878289974715,1.256229577044664
UNM,0.2826212924684492,0.5316213807480369,0.4635589039518872,0.4757190892344526
TDY,0.15228393505521567,0.3902357429237046,0.3392907105437718,0.3233949997739242
UAL,0.27726611143881297,0.5265606436478262,0.4593362298758326,0.3635183089443321
AMT,0.029372686589461603,0.17138461596497395,0.1518104547674428,0.13186512645006127
NOW,0.38222073552404057,0.6182400306709689,0.5317204232493203,0.5130508155570155
SPGI,0.8737543510544623,0.9347482821885592,0.8202983540128279,0.7675730353760525
QCOM,0.015505033250220093,0.12451920835847011,0.08929407882783423,0.08929284187839524
GWW,0.002324243864835831,0.04821041241097022,0.038412670717720046,0.042088757903481364
UHS,0.09210791888743156,0.3034928646400629,0.241682349778792,0.19437734362867679
CMA,0.26582407147388626,0.5155812947284708,0.43973686510145765,0.43867501753988186
NWS,0.15941171876743235,0.39926397128645646,0.3457865642019276,0.39297548127403875
WYNN,0.5860165255859623,0.7655171621759778,0.6182340413976634,0.6544189408149274
CAT,0.5198260362145576,0.7209896228202994,0.5997984668484286,0.5434771660700394
HUM,0.1380184749461471,0.3715083780295501,0.32470869269224467,0.2692213409072986
VZ,0.04761031699821198,0.2181978849535714,0.19695123304996362,0.20633156136813394
JCI,0.9303339344587988,0.9645381975115339,0.8320951639664678,0.793692410004115
COO,0.10038631339227068,0.3168379923435172,0.28283354575993397,0.25433065587717324
GLW,0.06684805942047031,0.2585499166901245,0.2333445711549629,0.2001974542677193
ED,0.007599011478246373,0.08717230912535455,0.06187977421449336,0.06012133550004204
KMI,1.1680674829492825,1.0807717071376741,0.966209035964263,0.9494918639737309
AKAM,0.6862264642619502,0.828387870663224,0.6827539150271035,0.6069350097453571
PH,0.7485291032997745,0.8651757643969082,0.7690501175085196,0.8212412768657866
TEL,0.24413698498602612,0.49410220095242047,0.41674555453806716,0.3786127621192691
HRL,0.004829705978468167,0.06949608606582221,0.055870832048882504,0.050637292300506016
XRAY,0.02866759884893103,0.16931508748168614,0.15763562341618265,0.1633486272916032
UNH,0.464333625113216,0.6814202998980996,0.5951978801642779,0.5166774270744858
KO,0.30441108073372625,0.5517346107810586,0.4944769906186358,0.49191503843219486
ESS,0.46917427654991556,0.6849629745832365,0.6120587350773719,0.5340310013961398
PCAR,0.14692912592486165,0.383313352134858,0.3176245489182499,0.29709716983579293
ETR,0.009234633190159732,0.09609699886135743,0.08251187322653498,0.07485937342419215
HCA,0.2692308941881491,0.518874642074701,0.4298487919176809,0.32172618842540684
DVA,0.468746545484008,0.6846506740550308,0.5847435878837575,0.5074911981248034
AAPL,0.0887994535731894,0.2979923716694597,0.23501334195204926,0.18954272470308642
K,0.010033136031226018,0.10016554313348487,0.07836253318063272,0.07917079466724976
AVY,0.05123900733706236,0.22636034842052696,0.19919933950493218,0.2097129492457982
FANG,1.5979519264737756,1.2641012326842245,1.0255143520569758,0.852418205467705
FE,0.0884198223775078,0.297354708013019,0.26892236730326885,0.3012852096614033
ZBH,0.07999458986411717,0.2828331484534958,0.24355330944116033,0.22000428744222666
PRU,0.5584818939377766,0.7473164617066699,0.6587659584712684,0.7017185968545715
NFLX,0.09422068157047105,0.30695387531430685,0.24256328720009743,0.2465755808837837
MLM,0.23375800673381225,0.4834852704414192,0.36870655940215696,0.31193792479272736
HSY,0.03174592391004835,0.17817385866071472,0.15151204861291043,0.15936263645996193
CBRE,0.07820785665004983,0.2796566763909809,0.24479550527693797,0.21228990366922554
SRE,0.0011874398357858329,0.03445924891499861,0.027355085423285515,0.02472788043605516
ABT,0.39971209255365303,0.6322278802407033,0.5544199354833578,0.5078582586062753
AVB,0.22254270687723893,0.4717443236301195,0.40809083058326884,0.36732977697351304
GE,0.22036746831532475,0.46943313508456636,0.42281029212866994,0.4562558763709683
LOW,0.06194557846715859,0.24888868690070787,0.23007257189443506,0.2345889694321708
SEE,0.6899647167681499,0.830641148010469,0.7439698240705738,0.7218866996730817
CHD,0.0015548962126793232,0.039432172304849286,0.03418894418729086,0.033140731307921896
DE,0.06406955389683529,0.2531196434432446,0.21879073978657276,0.23039768773337949
ACN,2.101806689759908,1.4497609077913185,1.2614457075814085,1.2787187888228317
KMB,0.0016707949415038894,0.040875358610095266,0.03067396448998047,0.02968616122847956
FTI,0.07879221264649587,0.28069950596054827,0.21572562252791128,0.24246258662407802
NTAP,0.08526071465749295,0.29199437435932385,0.26360335304228627,0.288146667733225
LNT,0.016591547579383727,0.12880818133714847,0.1100839546298734,0.09859522273439891
ALK,0.13473909431502723,0.3670682420409415,0.32861618015374416,0.2607045311701429
CL,0.08742122567855079,0.29567080626695424,0.262055988045263,0.261346920280852
AON,0.0050577723609258095,0.07111801713297278,0.05776696174441977,0.056959079464252244
PFG,0.0709422741862192,0.26634990930394403,0.2493787512022143,0.25458642827195016
HAS,0.5701223927805016,0.7550644957753619,0.6696499258753161,0.677150166066851
MAA,0.04281077009035511,0.20690763661681294,0.18572944911667716,0.17530549188787897
INCY,1.0114806689827323,1.0057239526742576,0.8594249340443482,0.8062343568497297
HON,0.5298887191481098,0.7279345569129891,0.6295998602785002,0.6064312918794882
MET,1.085191354406944,1.0417251818051363,0.9058831520034456,0.917400752047499
PM,0.020031276823550395,0.1415318933087182,0.13247266755839485,0.14395290435387983
VFC,0.3006647205464661,0.5483290258106588,0.49771598196314876,0.47566646723242134
TSCO,0.28710077330381434,0.5358178545959572,0.4900201494789988,0.5709151882658701
