,mse,rmse,mae,mape
AAL,0.0485453421346783,0.22033007542021651,0.19476269128216886,0.13155402660512389
REGN,0.22430452777453866,0.4736079895594443,0.4026964622230076,0.3578631134435054
BKR,0.07295398978901159,0.2700999625860981,0.1718777174679786,0.1722909729495729
DHI,1.6481966139916306,1.2838210989042167,1.106739264630423,1.079510863190541
DXCM,0.17611606211295192,0.41966184257441363,0.36609674752375587,0.31574898312562005
MCO,0.7283971138302889,0.8534618408753194,0.7485532366833765,0.646052598109094
SJM,0.008927276772467387,0.09448426732777995,0.0873123679072699,0.09863873266280467
CCI,0.008925985009070478,0.09447743121545207,0.07606552099935442,0.07395033687046977
IFF,0.08928838837477518,0.2988116269069448,0.23535624536374203,0.21293459830247566
EXR,0.024228803970285855,0.15565604379620424,0.1406480105460218,0.1271664444020947
MKC,0.06262669860450787,0.25025326891872535,0.21973506767349962,0.21980122756050063
WAB,0.6958532447753534,0.8341781852670048,0.7260874303604371,0.6691373018140682
YUM,0.23854669381993843,0.4884124218526167,0.4157839160227404,0.44127628165566024
PEG,0.009218373670260125,0.09601236206999662,0.07893152107520975,0.06975219016081738
SWK,0.015570003433751547,0.12477981981775557,0.10592586519641864,0.10967248906275143
VTRS,0.04269179097088972,0.20661991910483782,0.16948288553789206,0.1489032238831625
GIS,0.017066133438104387,0.13063741209203583,0.11120933248238526,0.11075209118255215
TXN,0.12164946709956605,0.34878283658971243,0.3057539493251555,0.27866321588791765
AMZN,0.013971445585265084,0.11820086964682233,0.08468707243168078,0.10644528986390317
LIN,0.39100887836213816,0.6253070272771114,0.5394489991052497,0.5438803293555529
PWR,0.7761004533312669,0.8809656368617717,0.7398856098683615,0.707395251968802
XRX,1.5945685710294097,1.2627622781146932,1.110202145050995,1.0534108905094657
CAG,0.3996295540211327,0.6321626009351808,0.5753882995005488,0.5946983465184297
ATO,0.031275218776799056,0.17684801038405565,0.1491476134377406,0.13862315309719705
TGT,0.006786748936768421,0.08238172695912863,0.0765608583516898,0.08431518958667703
D,0.008158075275528497,0.0903220641677796,0.07471527864571018,0.07195830939108944
ES,0.010432227010747273,0.10213827397575932,0.08406314383896589,0.07900355384190612
INTU,0.004106059840871899,0.06407854430986942,0.050603411102696075,0.04933777960662267
LUMN,0.004346971430505866,0.0659315662676526,0.05402617481252341,0.05239010984159798
JKHY,0.0643860500860989,0.2537440641396344,0.22648931494371588,0.23002424168568159
FRT,0.032151082215294474,0.17930722856397752,0.16430870250168575,0.14496780825354263
SBUX,0.14464989920936022,0.38032867261009945,0.3489641799224897,0.37511957371150284
DTE,0.02110425766124336,0.1452730451984929,0.1283027542476761,0.11504542827379365
EMR,0.3314797356076058,0.5757427686107797,0.5085330275108738,0.5563285487309664
NOV,0.05896260670647507,0.2428221709533029,0.19307812863159798,0.20462775280609619
PGR,0.40018981240185825,0.6326055741153869,0.5728347616049376,0.6413383621560265
NI,0.32711601426355036,0.5719405688212285,0.4919878752233931,0.41085132448491063
CI,0.2647751455825013,0.5145630627848266,0.4586816875666995,0.43776983563409355
RJF,0.2902098054885499,0.5387112449991646,0.47713373388066027,0.46942717758341396
CE,0.10286464073238873,0.3207251794486812,0.2752866273681883,0.26517494575602746
TDG,0.010738195254789277,0.10362526359334039,0.0885301668079206,0.07909176818672106
BIO,0.01933038686404634,0.13903376159784478,0.11911387249296536,0.12587482947508993
FCX,1.3691990673907333,1.1701277995974342,1.0251494332571063,1.256826588080318
BK,0.17323773081536664,0.4162183691469739,0.37792349922813484,0.35252954874144354
APTV,0.08001103563385377,0.2828622202307225,0.22401565021750294,0.19780481570976954
TRV,0.0763146574382541,0.27625107680922095,0.2583267859764951,0.25088583561229677
RTX,0.4759228977215596,0.6898716530787155,0.5882946277004136,0.6063222996451761
MHK,0.31101840377535456,0.5576902399857421,0.4973648034634042,0.5288644303383152
KMX,2.1403904707866364,1.463007337912779,1.2496453755717543,1.2724141754460492
UNM,0.2838370218433966,0.5327635703043111,0.4646461870853081,0.4768348124491556
TDY,0.16312667796207683,0.403889437794648,0.3510379062399565,0.33453470840730076
UAL,0.3217901003215155,0.5672654584244624,0.49538732348813785,0.39248238201368196
AMT,0.03752876764041036,0.19372343079867846,0.17143626045715255,0.1486444654010394
NOW,0.42240459442075234,0.6499266069493942,0.5577491479929932,0.5377816242496375
SPGI,0.7272451499547927,0.8527866966333333,0.749641578479802,0.7017685147556556
QCOM,0.018224850263969302,0.13499944542096942,0.09709155922675469,0.09704943050632228
GWW,0.0023669000982194824,0.04865079750856591,0.03875186185055602,0.04246062418906816
UHS,0.1391536429582048,0.3730330319934212,0.29913468120464587,0.24087653406007833
CMA,0.2737305938865018,0.5231926928833217,0.44652275180000706,0.4454206695540067
NWS,0.16896345661230072,0.41105164713488346,0.35607750580899733,0.40460864790471124
WYNN,0.6388949066531564,0.7993090182483595,0.6468851202113156,0.684353068110907
CAT,0.47792737358168413,0.6913229155623906,0.5737227418963798,0.5199746395389948
HUM,0.11423771119658842,0.33799069690834455,0.29507123411175895,0.2449332781364688
VZ,0.041086007321903734,0.2026968359938155,0.1831705942635633,0.19194807423308416
JCI,0.9581827013425797,0.9788680714695825,0.8444194827871561,0.8054277038648594
COO,0.059203659016883695,0.24331802032912336,0.21795124992610848,0.19712060375433552
GLW,0.06454558584610845,0.2540582331791443,0.22905761588288193,0.19648731873618652
ED,0.00323660541010309,0.05689117163587941,0.03920602202527217,0.038288107476814506
KMI,1.1013674490719767,1.0494605514605952,0.9392428256404748,0.9233210016256186
AKAM,0.5767419203283448,0.7594352640800562,0.6250223455082735,0.5557069412227432
PH,0.7616054896482903,0.8727001143854001,0.775453369760812,0.8280737398098378
TEL,0.216590353238554,0.4653926871348045,0.3916853463955383,0.35592875690997977
HRL,0.0013399216156856513,0.036604939771643544,0.027915571948258708,0.025761117762245107
XRAY,0.02788615682193869,0.1669914872738688,0.15536912977307654,0.16103584374051835
UNH,0.5358974720462812,0.7320501841037138,0.6393400437046972,0.5548112346206442
KO,0.34840221685813694,0.5902560604162713,0.5278747228030052,0.5249847664350252
ESS,0.526479892050107,0.7255893411910811,0.6473739656995884,0.5647083250979739
PCAR,0.12825284026132636,0.35812405708263495,0.29537950781465877,0.27645841109829583
ETR,0.00923690627938686,0.09610882518992135,0.08241680002300075,0.07476484592383012
HCA,0.23671591434670666,0.48653459727619236,0.401389329470232,0.2999393278620068
DVA,0.4829239619671694,0.6949273069661095,0.594065781176216,0.5156316287573943
AAPL,0.08650387437112608,0.29411540995181823,0.23219321364058962,0.1873729582779984
K,0.008169235968111832,0.09038382581032865,0.0708864612974601,0.07164176368732958
AVY,0.10389579372030205,0.3223287044622338,0.2829336082520723,0.29740914532058027
FANG,1.4065146049405672,1.1859656845543918,0.9563513825746147,0.7963303147610007
FE,0.059664421198722735,0.24426301643663278,0.22219502957326198,0.2494308096325921
ZBH,0.0846579208251971,0.2909603423581934,0.25043068397970647,0.22616433564836258
PRU,0.41068132104097055,0.6408442252536654,0.5646194470689897,0.6015209530656517
NFLX,0.0959328358053095,0.30973026297943423,0.24504315071216637,0.24896879038860018
MLM,0.2305205502258464,0.4801255567305769,0.3664448647200067,0.3100512900540711
HSY,0.03042856716919439,0.17443786048101598,0.14844110453858858,0.1561346606577199
CBRE,0.06678195508991416,0.25842204838193306,0.225675186096235,0.19591942664136258
SRE,0.04117555127802009,0.2029175972606124,0.17454831362689915,0.15411742298118908
ABT,0.41774866747398004,0.6463347951905266,0.5668628749323028,0.5192485272356551
AVB,0.23998923556128204,0.4898869620241817,0.42589427750636916,0.38368001665651635
GE,0.2744204865825105,0.5238515883172548,0.46871591297729637,0.5058002409441021
LOW,0.043327261894186536,0.20815201631064384,0.19092499160883405,0.19644701985032392
SEE,0.692700902871745,0.8322865509376833,0.7450021813049057,0.7228274993651707
CHD,0.002005781191635532,0.04478594859591044,0.03863294494781087,0.037708310130027345
DE,0.04211017029292497,0.20520762727765499,0.17578264266620733,0.18543397100199005
ACN,2.249230160027972,1.4997433647221021,1.3052623164452732,1.32310161668774
KMB,0.0018477063920681145,0.04298495541544872,0.031557967913672096,0.030465626520960697
FTI,0.04381168981104624,0.20931242154025698,0.15352163379326003,0.1745326932769604
NTAP,0.05353938253677539,0.2313857872402179,0.210529658128898,0.23091862900823293
LNT,0.015886350501632368,0.12604106672681079,0.1075813790529083,0.09634098277119088
ALK,0.13478975935113802,0.36713724865659986,0.3288405592613524,0.2609053834438334
CL,0.06658749603396562,0.25804553093197646,0.22861840866535313,0.22814136670228582
AON,0.004330391741323463,0.06580571207215573,0.052518008466342914,0.051946364769894025
PFG,0.07299343349149151,0.2701729695796593,0.25287531444168937,0.25812118940322565
HAS,0.57917697792932,0.7610367783026784,0.6765251634372932,0.6840694038370538
MAA,0.06220656719496535,0.2494124439456968,0.225762440380038,0.21319282642504578
INCY,1.0660507008403266,1.032497312752109,0.8816235099881021,0.8265901110137549
HON,0.5476899233879309,0.7400607565517381,0.6401543496645128,0.6165904135706773
MET,1.1149237402252794,1.0558994934297863,0.9177745413291107,0.9293997255342586
PM,0.012660657861514964,0.11251958879019672,0.10461708600974935,0.11401192890826421
VFC,0.30244695698916413,0.5499517769670029,0.49897744892254736,0.4768352760914008
TSCO,0.2455444139381653,0.4955243827887436,0.45512027246530085,0.5307138589621027
LKQ,0.0811272536435536,0.2848284635417493,0.22145641740544064,0.27069755351573743
TJX,0.2321483052295582,0.48181770954330666,0.4372229797247569,0.4702432537945924
LEG,0.3957862197437562,0.6291154264073933,0.5627994022290469,0.49162976258357827
UDR,0.166567703833743,0.408127068244368,0.3548989512632937,0.3100121323140704
ICE,0.2598055237753025,0.5097112160579778,0.45826761319886034,0.5141435890884127
ROST,0.17213793915497785,0.4148950941563154,0.3811950760421928,0.4215930099096805
DUK,0.020668060589817534,0.1437639057267767,0.11331312227136335,0.10768523045219462
GM,0.06716814687937137,0.25916818261386054,0.2425284556108337,0.2993095590696223
JNPR,0.8108719141333744,0.9004842664552082,0.7301007957268615,0.7334495955831175
TSN,0.01576410154783094,0.12555517332165544,0.10870983731654316,0.09278204977791732
HES,0.4964703047608106,0.7046064892979702,0.592427311826168,0.5892535134331375
STZ,0.015859287984061884,0.12593366501480802,0.11886715725051256,0.09797671881115219
MAS,0.38244067635795465,0.6184178816608997,0.5522626578317537,0.5560269066258401
EQR,0.2091616335154204,0.4573419218871373,0.3983991764824868,0.33908550189204434
VNO,0.0036492649540079748,0.06040914627776141,0.05249367154731879,0.04536020273073335
MDLZ,0.006431840484447373,0.08019875612780646,0.06329081235065935,0.06344280658572354
