,mse,rmse,mae,mape
AAL,0.07771143278101762,0.27876770397773415,0.24984430554479614,0.1653622984935135
REGN,0.2595997402359229,0.5095093131984173,0.4340165769206357,0.3860658193897806
BKR,0.058580476127457926,0.24203403919171768,0.1554419935700775,0.15572839609676392
DHI,1.4274132770824348,1.194744021572167,1.0292812459785938,1.0041795379579166
DXCM,0.169024931438379,0.411126417830792,0.3590445635721912,0.30984566177385897
MCO,0.7591710409618179,0.8713042183771509,0.7641835819828965,0.6595160337832225
SJM,0.012510387234706197,0.11184984235440923,0.10408016818247488,0.11728531521480412
CCI,0.01983727899897716,0.14084487565750187,0.11454414545763829,0.11150394585011063
IFF,0.08579259619224279,0.29290373195342323,0.2295073268062263,0.20762930715235164
EXR,0.024029498155551856,0.15501450950008472,0.13876370700997082,0.12530213816404737
MKC,0.058841724918871144,0.2425731331348778,0.21321629520673102,0.2133141920247874
WAB,0.3164625980272414,0.5625500849055499,0.4875689748765129,0.4496716557987018
YUM,0.25595034601870337,0.5059153545986753,0.42936206597787757,0.45570212104106234
PEG,0.01370482922184818,0.11706762670289417,0.1003003169598282,0.08846642754161946
SWK,0.014455082050485407,0.12022928948673617,0.10151255100244283,0.10510883747132327
VTRS,0.09305319707058533,0.30504622120358305,0.24681167847227387,0.2162372796747074
GIS,0.013599949972080725,0.11661882340377443,0.0987145746371581,0.09841088014596029
TXN,0.15992591173283924,0.3999073789427237,0.35104559628570575,0.3196588683388163
AMZN,0.022771519550998914,0.15090235104529987,0.13003823811878348,0.16242140747124748
LIN,0.401405305368164,0.6335655493855107,0.5467311902699316,0.5512124241445672
PWR,0.7879521645850983,0.8876666967871997,0.745971306081935,0.7131457409340577
XRX,1.5852457430080866,1.259065424435159,1.1056176886040052,1.0488151608361784
CAG,0.40923217403250417,0.6397125714197777,0.5819463547296491,0.6014036946470882
ATO,0.0037592357855580913,0.0613126070686779,0.05018340199162201,0.047582180001761815
TGT,0.005204422127895857,0.07214168093339562,0.06068215985316245,0.0651731591962876
D,0.025198419563348534,0.1587401006782739,0.1264611708552519,0.12144434409554798
ES,0.01643604045289828,0.12820312185316815,0.10720584714481343,0.10036279085147845
INTU,0.0038043688187609464,0.061679565649905045,0.04796124900721356,0.04515806351080215
LUMN,0.0032395358835997238,0.05691692089001059,0.046322916742402666,0.0452005626196812
JKHY,0.07492250879730222,0.27371976325669695,0.2444826384820225,0.24820278717089106
FRT,0.022138098915192347,0.14878877281297923,0.13716015720555844,0.12123210207892628
SBUX,0.1731830778981098,0.41615270982910807,0.3800530786165496,0.4082001191302328
DTE,0.01587019692514708,0.1259769698204679,0.11172463664565939,0.10021316306222726
EMR,0.515352407795558,0.7178804968764356,0.6331170310778477,0.6924667885958187
NOV,0.0640482973411316,0.25307765081320716,0.20117702837759444,0.21281501611791478
PGR,0.4555083377476487,0.6749135779843585,0.6091605783306027,0.6817576101992057
NI,0.2860661268726489,0.5348514998321019,0.4600831105425143,0.38423857362414937
CI,0.28314490314177376,0.5321136186396415,0.474927207055731,0.4532983550279228
RJF,0.33916907008402103,0.5823822370952096,0.5151715620904944,0.5066362999467593
CE,0.06623312727689061,0.2573579749626784,0.2204197035544896,0.2119232236537442
TDG,0.024471443576317316,0.1564335116792988,0.13090229819841623,0.11627849198425896
BIO,0.030916020798786217,0.175829521977358,0.149412633254746,0.15797624748741135
FCX,1.2204925313580504,1.1047590376901428,0.9696728524902022,1.1892121788791683
BK,0.26776598139821983,0.5174610916757122,0.46696684173153585,0.43465521569481097
APTV,0.06849054238930066,0.2617069781058592,0.20562170831005688,0.1816289102868671
TRV,0.10098982601908428,0.31778896459613615,0.29499951368244814,0.2858284622978825
RTX,0.44616741174121366,0.6679576421759195,0.5689780871390766,0.5865007472863496
MHK,0.26539693084460075,0.5151668961070779,0.46048508587966885,0.4898924844513831
KMX,2.0297335123311644,1.4246871629698796,1.2162821690234888,1.2382303912567925
UNM,0.28241450660042233,0.5314268591259029,0.46327515827572013,0.47542845412606
TDY,0.14040794224233874,0.37471047789238393,0.3257837575466305,0.31057708510189297
UAL,0.2553041064987194,0.505276267499988,0.44095785027985035,0.3488578586370416
AMT,0.011720531630213396,0.10826140415777635,0.09524746492796432,0.0834964010371508
NOW,0.38307689381333265,0.618932059125501,0.5317875890358564,0.5128784015507355
SPGI,0.7343625872162773,0.856949582657158,0.7530812083300485,0.7049504359972465
QCOM,0.013564959974755911,0.11646870813551558,0.08437367398733815,0.08432128669404108
GWW,0.0026555054475890013,0.05153159659460399,0.04116914386720654,0.045192422613377775
UHS,0.09214871957110089,0.30356007571994853,0.24142986906891684,0.1941380341317774
CMA,0.30198696614398157,0.5495334076687072,0.4694147379150218,0.46817483445943414
NWS,0.1865507798926724,0.43191524619150967,0.37389860994561513,0.4247919576818473
WYNN,0.5992145809401835,0.7740895173945863,0.6258282336481157,0.662305708900344
CAT,0.49439508688787265,0.7031323395264029,0.5840573195526635,0.529287728389018
HUM,0.10505293631676144,0.32411870713792723,0.28248886466732903,0.2345846815731348
VZ,0.0837411864335619,0.289380694645586,0.25904218452893124,0.27098389063224837
JCI,1.2622722401632491,1.1235088963436155,0.9701283228379731,0.9251717228377833
COO,0.12105875568412955,0.3479349877263417,0.31026076550396586,0.2785565036815021
GLW,0.07683284210471071,0.2771873772463507,0.2486475459975737,0.2134992882074217
ED,0.006461255508758897,0.0803819352140697,0.056603055391409585,0.054967243990588915
KMI,1.153714223846602,1.074110899230895,0.9602046009761271,0.9435654167684285
AKAM,0.5458312635699746,0.738803941225258,0.6074187860640806,0.5400509239348985
PH,0.753787970981793,0.8682096353887078,0.7726994347648148,0.8250586024376463
TEL,0.20701824192843615,0.45499257348712424,0.38211060919682416,0.3472555656361302
HRL,0.006722903065644695,0.08199331110306922,0.06509879703712368,0.05889116318375724
XRAY,0.0265230978378485,0.16285913495364177,0.15146732747469693,0.1570859035413365
UNH,0.5352055731926444,0.7315774553611151,0.6394098787189237,0.5549452464402306
KO,0.3123019266159345,0.5588398040726291,0.500422396341473,0.49778064891848756
ESS,0.5367102261606279,0.7326050956420027,0.652643071274079,0.5691436486949255
PCAR,0.1341639219743119,0.366283936276643,0.3027008253817246,0.2832518917981778
ETR,0.012276642519085026,0.11080001136771163,0.09478106661773264,0.08564435036111236
HCA,0.2988804296641396,0.5466995789866127,0.4533590339592349,0.3394838288262893
DVA,0.4768589185558341,0.6905497220011273,0.590446022084082,0.5125057933823455
AAPL,0.09304492689733412,0.3050326652955944,0.24027685966672885,0.19362258133482846
K,0.008367353339933303,0.0914732383811424,0.07166590619648659,0.0724337064521636
AVY,0.09086899342328222,0.30144484308623065,0.263125643000978,0.27682736110387735
FANG,1.236299147832327,1.1118898991502384,0.8901048973657879,0.7425672932691776
FE,0.056843442689153444,0.23841862907321953,0.21774020643983463,0.24454232661984512
ZBH,0.07624874571180144,0.27613175426198533,0.23720250725515118,0.2142630507415912
PRU,0.6800816280286919,0.8246706179006815,0.7243388121270916,0.7713152992401241
NFLX,0.1166261647963196,0.3415057317181069,0.2731166590735792,0.2760111086288931
MLM,0.2341042699970933,0.4838432287395302,0.3695826306145228,0.3126711673519733
HSY,0.03325477852621685,0.1823589277392715,0.1550986013788133,0.16312431015840057
CBRE,0.0885262324344617,0.2975335820280825,0.2612265998334385,0.22642464406235369
SRE,0.007320516536291721,0.08556001715925331,0.07340257492533005,0.06518430106762056
ABT,0.25633719049749154,0.5062975315933227,0.4438125051139834,0.4066437955981034
AVB,0.2649102159786129,0.5146942937109493,0.4450576139145812,0.40060038881203613
GE,0.2684373892637528,0.5181094375358867,0.4639699597281696,0.5006764904083151
LOW,0.06079450016879138,0.2465654074861098,0.2278109652199272,0.2323493843676607
SEE,0.6618324943510027,0.8135308810063713,0.7292678602065757,0.7077775494936264
CHD,0.0014184499638107753,0.037662314902442935,0.03156435465521734,0.030504925395529736
DE,0.056196206691682654,0.23705739113489513,0.20536932118555914,0.21628008849535912
ACN,1.1209392697499216,1.0587441946711782,0.9215025404543379,0.9344292135734209
KMB,0.0053946718151818155,0.07344842963046803,0.058526623803520424,0.058394664334410915
FTI,0.18183334487708264,0.42641921260314086,0.3487354469337887,0.38772063376184257
NTAP,0.08642203122256376,0.29397624261590216,0.2648583820225831,0.2893887412147046
LNT,0.011503120939876559,0.10725260341770991,0.09122255289462027,0.08167105731814055
ALK,0.06242614966154456,0.24985225566631286,0.22235612852677902,0.1759579331833295
CL,0.09384103619267102,0.3063348432559885,0.2705724665295798,0.2698048403166607
AON,0.011081102693118069,0.10526681667609251,0.09081708991389986,0.08840278465735808
PFG,0.14472827127208324,0.38043169067794974,0.35030155889504894,0.35538478788165917
HAS,0.4821602630486957,0.6943776084010023,0.6196192975972357,0.6266469047057764
MAA,0.06917028836097928,0.2630024493440684,0.23493723589729645,0.22178590480067223
INCY,0.933534445682385,0.9661958630021064,0.8264068991481627,0.7758689462849101
HON,0.5382814900291043,0.7336766931210943,0.634397745278749,0.6110441259430247
MET,0.90842394655599,0.9531127669672619,0.8281813101177078,0.8387979924722541
PM,0.014986541050601992,0.12241952887755284,0.11383056065205682,0.12395161087163686
VFC,0.3496999227300297,0.5913543123458471,0.5355542044341208,0.5115227176494032
TSCO,0.33013040750449185,0.5745697586059432,0.5250749084829374,0.6112314369454935
LKQ,0.07622127964381066,0.27608201615427735,0.21529831592779067,0.26319052397916554
TJX,0.10202598178749644,0.3194150619296098,0.29394020163952805,0.3177842804475023
LEG,0.1353810766477054,0.36794167560593816,0.33241972953832566,0.29221100599283695
UDR,0.12044909773919929,0.34705777291280954,0.2980249163256097,0.25981351320800505
ICE,0.27310889602512306,0.5225982166302551,0.4694655043293465,0.5266082263464837
ROST,0.13973087713791493,0.37380593512933274,0.3438812528262214,0.38125563144969904
DUK,0.019046445501378063,0.1380088602278059,0.10849599273404979,0.10305775494367905
GM,0.0714125735257037,0.2672313109006946,0.24980143460254767,0.30832024239824307
JNPR,0.8265729296450707,0.9091605631818126,0.7380265975008339,0.7412601440945611
TSN,0.018871861284571356,0.1373748932104093,0.12344888462121514,0.10570218253888802
HES,0.47087488240742376,0.6862032369549299,0.5759852738835858,0.5732037224541904
STZ,0.01776102585702559,0.13327049882485467,0.12617960840427542,0.10393664170009362
MAS,0.368955173681355,0.6074168039175036,0.5435223076790641,0.5474161538084881
EQR,0.22930231846791777,0.4788552166030122,0.4172581928266292,0.3551568224949146
VNO,0.002570566049388835,0.05070074998842557,0.04295180649295929,0.03742608985002764
MDLZ,0.0052465672985850835,0.07243319196739216,0.0567148952599444,0.05702844613502074
CBOE,0.11792168439363357,0.3433972690538374,0.2985711099854612,0.29593118741260616
AFL,0.17142025968432698,0.4140292980989715,0.3653750061682368,0.4060047908803204
PSA,0.029720003665342134,0.17239490614673664,0.15662826459516857,0.15474068750536668
GOOG,0.03301149696998393,0.18169066285856278,0.15194111401847915,0.15506236932111447
CPB,0.04104029368266403,0.20258404103646474,0.17951623790571422,0.17733775378285768
TTWO,0.08501193256506873,0.29156805820437315,0.2322105957913106,0.1781042631545234
CPRT,0.05447161852833994,0.23339155624902103,0.20638009849248376,0.21963129698576916
WRB,0.0672546771697209,0.2593350673736988,0.2425883054960382,0.23195741991611088
EIX,0.028886963388529394,0.16996165270004113,0.15394321771088595,0.13096059823194925
TT,0.7707613769588406,0.8779301663337697,0.7753613871931436,0.7908400734713579
BAC,0.021388418005430985,0.1462477965831656,0.12602152349702275,0.12322150947713549
TPR,0.5556623373329685,0.7454276204521594,0.6583597004819132,1.0193682178226107
ARE,0.01628756266918741,0.12762273570640698,0.11521430043179771,0.09822042705504216
KLAC,0.1384889527359261,0.37214103876880616,0.32688731703446333,0.30367374310914236
PNR,1.626787988747699,1.2754559924778663,1.0983296734780945,1.242382517232485
NEM,0.12104255535620592,0.34791170626497453,0.3112959945623008,0.3808183932350201
LHX,0.6127412501433821,0.7827779060138208,0.6699603238074054,0.6670365782306338
