,mse,rmse,mae,mape
ALB,0.4230529702347526,0.6504252226311281,0.5816231250687238,0.6400073340099437
VRSK,0.028151132110420602,0.16778299112371492,0.15642312541062886,0.17421906865079378
WMB,0.4568118459215554,0.675878573355862,0.5607756478828629,0.43351818567503175
AME,0.06457242834773583,0.2541110551466343,0.22131122492261637,0.2266976403413772
WELL,0.07494761160352968,0.27376561435565583,0.24215117302814604,0.24046503800306845
LNC,0.046284208312038846,0.21513764968512333,0.1979472471350567,0.19790763031817313
XRX,0.29835093079083397,0.5462150957185584,0.4962562544139716,0.4752194256963063
DFS,0.04883077068152788,0.22097685553362342,0.19205536009494897,0.17275073629496568
MCD,0.04444100120227345,0.2108103441538708,0.1767255902175151,0.1839688561514112
SYY,0.06287232724622598,0.25074354876292626,0.22673185729779913,0.2421980362887129
RMD,0.0470247505594546,0.2168519092824746,0.17979932589757053,0.19887560688176453
RJF,0.5528080703139792,0.7435106390052392,0.6540920301944225,0.6423948464737941
LVS,0.16335330436296633,0.40416989541895165,0.3291017631457203,0.40029591506334145
ED,0.002057017093372085,0.045354350324661084,0.039336140723996944,0.04077820193181493
MKTX,0.2900104086148859,0.538526144783042,0.49415797306885423,0.5891264561339564
K,0.021562321657485266,0.14684114429370695,0.11787451313714455,0.11859511409414057
BMY,0.35828836980284395,0.5985719420444329,0.5335760972623166,0.5493189130559721
EW,0.10609493076212456,0.32572216805450094,0.2503917385179262,0.18682252577000166
HPQ,0.04327852003297502,0.20803490099734473,0.1738183132581926,0.1399474532577453
MU,1.186770547068294,1.0893899885111364,0.9517654522564946,0.7082451036782845
TJX,0.18145766805894156,0.42597848309385483,0.38771420194065254,0.4175509911406925
RL,0.06310370207050717,0.2512045024885246,0.2390921488908004,0.26355248015300586
VRTX,0.06815055879454256,0.26105661990178025,0.22941758772773727,0.21114570571931307
MET,0.5592348048170299,0.7478200350465545,0.6608984852314341,0.6703391811244356
EFX,0.15351345313520556,0.39180792888251453,0.3459482269657301,0.3203023469551333
BEN,0.5189947792990376,0.7204129227734866,0.6395454786208679,0.6665430528791019
CE,0.03614628334707739,0.19012175926778446,0.1641216863418966,0.1574463881343309
MKC,0.05596540039690826,0.2365700750240999,0.20815640890701315,0.2082776458267761
DLTR,0.026614818477690098,0.16314048693592312,0.1521289374710961,0.16490102977850535
ISRG,0.3515272151213303,0.5928973057126591,0.5089196287354589,0.45480066624560356
MHK,0.336178027029589,0.5798086124141215,0.5157552084999334,0.5482638971682707
EXPD,0.046506481761817604,0.21565361523011295,0.1943049737592934,0.21500395416116336
MTD,0.0035993586710993224,0.05999465535445072,0.0448422331850338,0.043150684970656536
PNC,0.12804185252476355,0.35782936230103246,0.29929871657625273,0.2720167619397276
LUMN,0.012840288869975184,0.11331499843346063,0.0983543870232629,0.09163287294996639
BXP,0.0072452666596926635,0.08511913216012404,0.07759206945057344,0.0698848341032852
PNR,1.3845852707782753,1.176684014839275,1.0140307125810966,1.146936160074066
MDLZ,0.026032197887771034,0.16134496548628666,0.13727727758386601,0.13521778313313065
KR,0.11561670377580639,0.34002456348888443,0.2865909697008837,0.2372470727698444
WBA,0.010141012782183304,0.1007025957072771,0.0902536900673039,0.08264680089648142
CHD,0.01177101128030029,0.10849429146411478,0.09646653981601075,0.09278721255671393
FITB,0.2204572479335353,0.4695287509125882,0.3954500260766541,0.4094009892405231
ANSS,0.1541546951947199,0.39262538786318935,0.36060928090928446,0.4089964643889788
LDOS,1.2405027574393703,1.1137785944429757,0.9840862593464517,1.2586024023978701
CBOE,0.041978969053735465,0.2048876986393655,0.1805416949382619,0.1815555568672064
TGT,0.005258693508145105,0.07251684982226617,0.06299443351576643,0.06800203504012184
MCO,0.24409536193756484,0.4940600792793978,0.44048646550873594,0.3821541980189418
LRCX,0.12555643061152127,0.35433942853078215,0.32891786868588596,0.26747848222769466
GRMN,0.014630575676755787,0.12095691661395716,0.10053230790003828,0.08813751246810514
PM,0.1181223942130333,0.34368938623855305,0.3089695155277821,0.33348376596594054
BA,0.11326259418081487,0.3365450849155502,0.30131072755175403,0.33097255400347775
MOS,0.8915664747899592,0.9442279781863907,0.8091808681085733,0.8608359315472022
GM,0.13906800667861283,0.37291823055277523,0.3418884798577512,0.422644292913559
IFF,0.020771651086225393,0.14412373533261408,0.10617960482383827,0.09657006827740679
ULTA,3.45962222337009,1.860005974014624,1.5993726283006335,1.9761549488357257
META,1.1224195858953379,1.0594430545788376,0.9168241613826225,0.7454742702340762
NKE,0.055660863989586855,0.2359255475559755,0.22168192816251053,0.2193579670175136
PH,1.064111724202783,1.031557911221073,0.9100955673181143,0.9717317433585075
CLX,0.007827635881117222,0.0884739276912539,0.08258650335391496,0.0875466434969163
KLAC,0.23888591279367272,0.48875956542422033,0.4271321413834449,0.3946591586517539
MSCI,0.15655581860741014,0.3956713517648329,0.3497441655175021,0.3433413766251926
LIN,0.28137291505358114,0.53044595865515,0.45859641325548106,0.4623945179385029
DHR,0.04695407981276695,0.21668890099118354,0.19509793072776277,0.19394357687051547
BKNG,0.061565797490833206,0.248124560434539,0.22508142443822687,0.2245569919035663
OMC,0.6001333212981244,0.7746827229893051,0.6786340662705125,0.7017982035546627
APD,0.20513284955891517,0.4529159409414899,0.3999153282312413,0.3494302997959707
FTNT,0.14307539503277203,0.3782530833090089,0.31648957954982176,0.2737447811815163
EA,0.03739690380826937,0.19338279087930593,0.147668712166532,0.10944075904001882
NI,0.2630490633111191,0.5128830893206746,0.4425691822087725,0.3698289450321577
REGN,0.21915553007988842,0.4681405024988635,0.3982448754343817,0.3539374142950584
DOV,0.7269581807577107,0.8526184262363268,0.7324821129256702,0.726497526214013
BIIB,0.09910292023249025,0.31480616295188735,0.28701800239882963,0.26075634497304967
HRL,0.0012797560407590417,0.03577367804348669,0.026189661815851428,0.024799989695639416
WAB,0.023342484931365558,0.15278247586475865,0.13043648676181327,0.12191324986013823
ETR,0.02016825495128565,0.1420149814325434,0.12126775554422159,0.10883810356421943
BKR,0.09376431151047047,0.3062095875547833,0.1981360715385379,0.1976518781410828
NOC,0.3563783474786191,0.5969743273195415,0.522823845483252,0.4667955530146433
GOOG,0.1691844321642577,0.41132035223686375,0.3446680731025296,0.34939040653998826
PAYX,0.371536950297187,0.6095383091301046,0.554379617153469,0.5846063856318132
HIG,0.15890985842005503,0.39863499397325247,0.36463978212353976,0.36138971541462367
TSN,0.05511016539614231,0.23475554390928088,0.21890865796176623,0.18640819583083165
CME,0.2182544962446085,0.4671771572376035,0.3710719380706846,0.3917682607302402
ALK,0.055632617520952096,0.2358656768606914,0.2095516895809648,0.1658947876913821
MGM,0.9013102675331761,0.94937361851548,0.7888872854721245,0.7993745515456441
TXN,0.10538601749993172,0.32463212641377887,0.28438324927130915,0.2593189722395496
APH,0.09657465157350752,0.3107646240702238,0.2729747050636691,0.2451432452424995
KMI,1.3021897439445829,1.141135287310222,1.0183302403430479,1.0001355394442915
AMP,0.22123942566064245,0.4703609525254434,0.4257097116536131,0.405806572124402
HBI,0.007858386117152633,0.08864753869765721,0.07372747389909312,0.053961390588852
EMN,0.9057183971238152,0.9516923857653875,0.8079297652772156,0.8143757250526886
