,mse,rmse,mae,mape
AAL,0.4264935918960873,0.6530647685307234,0.6119011801464946,0.40514677302620516
REGN,0.42295264508633656,0.6503480953199883,0.5611018313898453,0.501795046604933
BKR,0.13493529470176507,0.3673353981060974,0.33687225111147345,0.3013796109817859
DHI,0.006349837240091871,0.07968586599951005,0.06494962512147943,0.06388717011324994
DXCM,0.09730637575356292,0.31193969890599516,0.27567697631302623,0.2433006120530129
MCO,0.0015484328331079188,0.039350131297213216,0.03223085389982985,0.028981431551577563
SJM,0.005150761577808911,0.07176880643990752,0.06554484551680476,0.07317732646039751
CCI,0.021059437749610867,0.14511870227372786,0.11834731392656947,0.11536216446782001
IFF,0.04706763281343539,0.21695076126493631,0.19555155570501637,0.17609580194720656
EXR,0.2545622183712726,0.5045415923105573,0.45629258457919986,0.41252499208365667
MKC,0.15472769756229723,0.3933544172400982,0.3359087779256039,0.3326585013399761
WAB,0.1666309979298541,0.40820460302384404,0.3645141793477913,0.33465976009014553
YUM,0.0021669681425374133,0.04655070507025015,0.036272372766587506,0.03801404331225244
PEG,0.12460047084064137,0.352987918831001,0.31612928998594214,0.27935558962740153
SWK,0.06566317131827007,0.2562482611029196,0.21529211129096854,0.2190059599077139
VTRS,0.011036995354873484,0.10505710520889809,0.08306012348770962,0.07390576065677497
GIS,0.019522531995075327,0.13972305462977586,0.12273207678116188,0.12080798417333274
TXN,0.026990145444764344,0.1642867780582611,0.1471526662451692,0.13574509723186554
AMZN,0.024818087838769123,0.1575375759581476,0.1435627351877394,0.18002398898010782
LIN,0.0006837170322703233,0.026147983330848352,0.021502215240011203,0.02172517714200545
PWR,0.07427097058498025,0.27252700890917264,0.20582154469884392,0.20080086765284866
XRX,0.05039738900706905,0.22449362798767597,0.20925443278130795,0.20323779236484432
CAG,0.04463417326919127,0.21126801288692823,0.20093495506344347,0.21161893828873385
ATO,0.0668269194594172,0.25850903167861894,0.22693021172234162,0.20854056753471023
TGT,0.023132224003692213,0.15209281378057352,0.10368764496572946,0.10557435108557946
D,0.07851589916434662,0.280206886361393,0.25304841334314276,0.2420393624571599
ES,0.03262006854266839,0.18061026699129923,0.15513537242664477,0.14226248276377362
INTU,0.002955935476198241,0.05436851548643057,0.04085649744882091,0.0375744488855394
LUMN,0.06660317752752941,0.25807591427238885,0.21793716365444576,0.19036401436399764
JKHY,0.013999383080210162,0.11831898867134624,0.10726563266239383,0.1098397308420839
FRT,0.17121368125833966,0.4137797496958251,0.36863289146554534,0.32386625468141833
SBUX,0.12030204741742447,0.3468458554133586,0.27944256848340787,0.2957240724177049
DTE,0.18651719200449263,0.43187636194227236,0.38080909493000414,0.34183917798108665
EMR,0.0012219373203089514,0.03495622005178694,0.02858067739912871,0.030716360773188827
NOV,0.0708046174344344,0.2660913704621674,0.22358224465397245,0.22352037456717688
PGR,0.008612952318424011,0.09280599290145013,0.08386982144488432,0.09680512234150203
NI,0.0927374486899591,0.3045282395607329,0.27448656342244765,0.230735376318572
CI,0.05357116725252014,0.23145446042908774,0.216902095787077,0.2121559094430203
RJF,0.00996332643284925,0.09981646373644605,0.09030543337306217,0.09018581607064644
CE,0.025245531573755572,0.15888842492062022,0.13674179959791297,0.13141584918618754
TDG,0.10680005842551671,0.3268027821569405,0.2986833711243472,0.2624036215523345
BIO,0.033688758515186205,0.1835449768181799,0.1675368143943854,0.17440577395740428
FCX,0.03159907466930741,0.1777612856313416,0.13775170748360724,0.1779732877742604
BK,0.007296389223619798,0.08541890436911374,0.07194560830111921,0.06652129339257935
APTV,0.059350332175179106,0.24361923605327043,0.22578095166050696,0.19844313757959267
TRV,0.027765095313977733,0.1666286149314629,0.1335252475256729,0.12561149520036677
RTX,0.03930439802828701,0.19825336826467038,0.16194010262162606,0.16795573238289543
MHK,0.05522865111513645,0.23500776820168404,0.21249579786803463,0.22736095258115885
KMX,0.03763137383923555,0.19398807653883152,0.1404709387086093,0.1373700042407562
UNM,0.028710273725490038,0.16944106268992187,0.150391793120451,0.154985436127256
TDY,0.0918569307275969,0.30307908328948885,0.2691200747744553,0.25471606324546997
UAL,0.025460716237394997,0.15956414458579032,0.12017775037237824,0.09282098794978982
AMT,0.05894345132091862,0.2427827245108651,0.20524476025785332,0.17467239311722507
NOW,0.05183630399250503,0.227675874858328,0.19786650470674402,0.18067825392914136
SPGI,0.029989838264002002,0.17317574386732687,0.15136090257238774,0.14300927222647986
QCOM,0.02169067639704089,0.14727754885603198,0.11173014764019774,0.11129874372839804
GWW,0.004591794990464073,0.06776278470122131,0.059046282407068634,0.06531031103012742
UHS,0.0294451218402745,0.1715958095067432,0.13891773882579436,0.11370141280739496
CMA,0.00508471257176644,0.07130717054943661,0.06032203109234363,0.05856921029805104
NWS,0.009928349200293396,0.09964110196246023,0.08455485493648658,0.09333361907938059
WYNN,0.38763169590741486,0.6226007516116687,0.49786724216489436,0.528562038001348
CAT,0.016591575426838014,0.12880828943370848,0.08432491377588548,0.07827480224358772
HUM,0.15763121206841713,0.3970279739116844,0.3385026044238904,0.2747623475549429
VZ,0.06540682455666799,0.25574757976698037,0.2151477537912292,0.2233852879323045
JCI,0.0028576958925080405,0.05345742130432444,0.04382570539474123,0.041646680459005186
COO,0.3282072283478313,0.5728937321596661,0.4897524719519436,0.4296863950038138
GLW,0.01505672001337589,0.1227058271370023,0.09240856791703787,0.08203423160555672
ED,0.14043422970990319,0.37474555328903264,0.3122454938954923,0.30909973256002626
KMI,0.46047778944107703,0.6785851379459154,0.5752585660271602,0.5565486667921247
AKAM,0.25721682827428666,0.5071654841117312,0.4671513701640983,0.41486136148237407
PH,0.04057454440163998,0.20143123988507836,0.17786533030506455,0.1915925739937723
TEL,0.005299933508859387,0.0728006422283443,0.0641414354989483,0.05796017389834814
HRL,0.018442143670139258,0.13580185444293189,0.12300542969228577,0.11423889491363587
XRAY,0.031325562823461266,0.17699029019542645,0.1662392865885011,0.17214593520301635
UNH,0.006634900255783395,0.08145489706446996,0.06855798311818562,0.06373601914584497
KO,0.029198103648000188,0.17087452603591965,0.1610031043040524,0.16162428967464643
ESS,0.5337002971434296,0.7305479430834294,0.6477748246842207,0.5643485210782592
PCAR,0.004202886397155878,0.06482967219688743,0.048533814210962034,0.046224288553829776
ETR,0.13242775636678483,0.3639062466718383,0.3128354228032569,0.2726490708170891
HCA,0.06381297913885343,0.25261230995114514,0.1923284169515356,0.13977921305095814
DVA,0.0030726725807960925,0.0554316929273867,0.04871296643407786,0.043244350983546724
AAPL,0.011334992085741612,0.10646591983231823,0.090677589763314,0.07943454663704454
K,0.004761464647409554,0.06900336692806774,0.059325921157933656,0.058224117797547485
AVY,0.04484857933859613,0.21177483169299446,0.1826720968669694,0.19252636269706427
FANG,0.08128927567729613,0.28511274204653875,0.23039634900562708,0.17224990757033623
FE,0.019289100892068423,0.13888520760710416,0.10796358135182761,0.11782342596883293
ZBH,0.008263910035113838,0.09090605059683232,0.07675058291613045,0.07074040119185876
PRU,0.03236696420586194,0.17990821050152753,0.1659073531852128,0.17851698574784866
NFLX,0.033932462895509066,0.1842076624234428,0.13525746975930591,0.13962132323020082
MLM,0.03429703300061432,0.1851945814558685,0.13203675494784736,0.11330498969581576
HSY,0.0021081417852889146,0.045914505173081356,0.03857187638724175,0.03961913873827384
CBRE,0.003926693453926301,0.06266333420690524,0.04867976941034481,0.043050994856451655
SRE,0.10960419093852815,0.33106523668082116,0.293631373340932,0.2596542567633085
ABT,0.009916883925651501,0.09958355248559624,0.08346867463234352,0.07613800364244014
AVB,0.06279820412274019,0.2505956985319983,0.21655174939453234,0.1948023474511889
GE,0.041621523933505135,0.2040135386034592,0.18902919194742251,0.20414959327233514
LOW,0.04227300658611999,0.2056040043046827,0.13860699481590033,0.126019021060867
SEE,0.14797306368435834,0.3846726708311345,0.3523903506402418,0.34497906960728414
CHD,0.028072998828647715,0.16754998904400953,0.13553875540295665,0.12675648694266056
DE,0.11671827327974905,0.3416405615259246,0.29608834093812714,0.3110231737893851
ACN,0.007827108696319435,0.08847094831818768,0.07446744967998684,0.07451984207890835
KMB,0.03963499669699775,0.19908540051193546,0.17350239972537973,0.16987553259871097
FTI,0.07580909028684252,0.27533450616812,0.24186032191883536,0.25621186668601303
NTAP,0.0074405168574200285,0.08625843064547388,0.0665754488353461,0.07665216422416206
LNT,0.1357610719261395,0.3684576935363672,0.3197620671388524,0.28764769564200865
ALK,0.2622974387802625,0.5121498206387097,0.46391639071461305,0.36995085056332055
CL,0.0011234676010576754,0.03351816822348255,0.02760134068744515,0.028133509530718734
AON,0.0018709786341777833,0.0432548105322146,0.03546163827911252,0.033847327056207493
PFG,0.09416179474085072,0.3068579390220346,0.24920500538959,0.24635247858006737
HAS,0.021914524354218493,0.1480355509808995,0.13016652467790563,0.13267567015654458
MAA,0.04968927754878777,0.22291091841537905,0.2034209835500091,0.19197133654919926
INCY,0.15001448801335704,0.3873170381139423,0.3497690195215177,0.33515347301084786
HON,0.0007573652806307463,0.027520270358968972,0.020897502758722746,0.020277906373803313
MET,0.002111656295959945,0.04595276157055139,0.03886336804901707,0.04013002548469605
PM,0.004908713540144113,0.07006221192728726,0.06514241549395203,0.07151460700971213
VFC,0.02055987359950855,0.14338714586568962,0.13245856635091985,0.12821489777258516
TSCO,0.020579953155420265,0.14345714745323868,0.12270948274445354,0.14765829502788316
LKQ,0.00999345613750731,0.09996727533301741,0.08376939219256975,0.10453983454490626
TJX,0.014355391655925023,0.11981398773066951,0.08170738963270749,0.08373041511975139
LEG,0.23862455208264186,0.48849212079893556,0.4165211084456291,0.35760787870835636
UDR,0.016148814059006023,0.12707798416329252,0.10955641172564994,0.09566913436545355
ICE,0.08637189665457846,0.2938909604846302,0.2711326769618313,0.3055276958763601
ROST,0.08009859544459018,0.283016952574559,0.21148688076860025,0.21862215396251924
DUK,0.10768324813733868,0.3281512580157795,0.2780330861877912,0.26690752878590174
GM,0.19271761340874644,0.43899614281761795,0.3987123099955177,0.4931820979375643
JNPR,0.08109595675770652,0.284773518357495,0.23166320815868474,0.23178128931592382
TSN,0.15991848856740992,0.3998980977291714,0.31695046957550543,0.2747071035286089
HES,0.027882285933446126,0.1669798967943331,0.13072787329401214,0.11830685369782618
STZ,0.009107271247702062,0.09543202422511042,0.08087318346472001,0.06641128746508444
MAS,0.004277947884233872,0.06540602330239832,0.05404117008609189,0.05628719077439326
EQR,0.1116338064490971,0.33411645641766446,0.29061362254203277,0.24714047307372408
VNO,0.07971052265442394,0.2823305202319153,0.25125183831655096,0.21501139148838677
MDLZ,0.004719072048303707,0.06869550238773793,0.05389913486826591,0.05394646692131485
CBOE,0.10818684572281047,0.328917688370222,0.2767693091498198,0.2642565728490406
AFL,0.0010929326964694108,0.03305953261117602,0.027972938116210516,0.03062223814147914
PSA,0.22828646455356222,0.4777933282849,0.4238456649973184,0.41851007173172516
GOOG,0.07230670391696677,0.26889905897374716,0.2243610312060857,0.22783034493066012
CPB,0.004414682249743384,0.06644307525802357,0.04996067787701937,0.04991308452325386
TTWO,0.2011670669829699,0.4485165180714863,0.3934420317186069,0.30906727503425585
CPRT,0.21067110465984915,0.4589892206357892,0.4026900350606632,0.42744012625464034
WRB,0.03651764617378955,0.19109590831252654,0.15212945086580398,0.1404404213965274
EIX,0.21792158030330824,0.4668207153750873,0.41516161377771604,0.3520852950015028
TT,0.004439979315997053,0.06663316978800463,0.055801332484086495,0.058029759721306085
BAC,0.09493363473945972,0.30811302267099927,0.27422685687624415,0.2629293828370877
TPR,0.25332419719188554,0.5033132197666633,0.4576970838702615,0.7024696797515768
ARE,0.25982446451784025,0.5097297955955098,0.46220568024343034,0.39410546373915006
KLAC,0.05958960670752478,0.24410982509420792,0.20491746934073263,0.18440809345554907
PNR,0.14528606173180458,0.3811640876732809,0.31524851756490513,0.3593758069431254
NEM,0.3365228894291414,0.5801059294897281,0.5190469686505239,0.6420252473625567
LHX,0.06256282079660935,0.2501256100374557,0.1997568567329036,0.2003533721092438
WU,0.12032793892539803,0.34688317763390897,0.2892753610973732,0.3263947616092198
BMY,0.03687388565208628,0.1920257421599674,0.14849888799647723,0.14690991099696266
MO,0.021002969879648305,0.1449240141579314,0.11378065887066131,0.09727366101382552
TYL,0.02554990310501045,0.1598433705381942,0.12451472489788708,0.13445361758652158
GD,0.08498918902066166,0.2915290534760844,0.2596534166845725,0.1987427574879267
VRTX,0.11328747277793287,0.33658204464577857,0.26620438626314286,0.20572657182043053
AAP,0.04544776091321492,0.21318480460205158,0.1842832067665801,0.15184756478874875
CCL,0.009628144301777306,0.09812310788890304,0.07623008795253819,0.07528058788554262
DPZ,0.009752975366516715,0.09875715349541377,0.06505338746925965,0.05383823606267841
GRMN,0.044533440407492964,0.21102947757953855,0.1939341901832229,0.17183585119910375
WFC,0.15036115441273554,0.3877643026539905,0.3491772100413679,0.30869030101092576
IVZ,0.05751903441240815,0.23983126237504598,0.2223311747886222,0.21458933692352217
BIIB,0.008494110662906456,0.09216349962380148,0.074704041856308,0.06884034135596537
BR,0.007820844401526136,0.0884355381140757,0.07476760875250373,0.07156536463197483
BSX,0.01448641497334329,0.12035952381653597,0.11430691931942707,0.10883428116755477
PEP,0.027961898913926867,0.16721811778012233,0.13392179367042786,0.12457236329579592
AMD,0.07780050021198794,0.2789274102916168,0.19583166338940286,0.2661368506754128
BA,0.008568110121397281,0.09256408656383577,0.0857900740015388,0.09434553228781281
LLY,0.07705275376250206,0.27758377791668964,0.25175610848805646,0.20369964554148157
CB,0.007811013378028957,0.08837993764440523,0.08466642358453098,0.08475140957300141
KR,0.35281847208803946,0.5939852456821124,0.5021658203148853,0.4150590469305159
AEE,0.08763422496449823,0.2960307838122553,0.26483106226889275,0.23993644077645948
CHTR,0.04350068419403805,0.2085681763693542,0.17215136783665025,0.1545690369038998
ULTA,0.9275028251538011,0.9630694809585657,0.794896271433474,0.9688662431915425
WM,0.386395523416768,0.621607209913759,0.5191270851082935,0.5116423257507047
ORLY,0.12915063001214874,0.3593753330602265,0.31916452946046475,0.26624438563188746
STX,0.03906149258866899,0.19763980517261442,0.18313678053017488,0.18073832576759702
AME,0.005253123718665428,0.07247843623220239,0.06605714347170683,0.0668393491391519
SWKS,0.20663695891859074,0.4545733812252877,0.37100484654738203,0.1953537067154127
CVS,0.051385683678240895,0.22668410548214643,0.2063728195193743,0.18439316115057705
HII,0.07994806428894739,0.28275088733538467,0.2333230176095571,0.20847269243849137
LDOS,0.05324451832851971,0.2307477374288201,0.18251530959247,0.22679566737779258
ALL,0.036425758249908013,0.1908553333022371,0.1527159830795684,0.133410402172486
SBAC,0.002296372957507798,0.047920485781216764,0.03628087625464524,0.03286484388664032
FLS,0.13108706594881048,0.3620594784684009,0.29651269978200595,0.34138370868800794
CNC,0.3201237626745115,0.5657948061572424,0.47054934912364915,0.3817275069246194
F,0.08208449010858147,0.2865039094123874,0.2469430116670616,0.27601687743129966
BAX,0.001475514280952999,0.038412423523555485,0.032904403562495514,0.03146639091570695
DOV,0.007686383827930228,0.08767202420344945,0.07401110895596531,0.07117127988645867
WAT,0.10743851310834082,0.3277781461725916,0.29766130928454254,0.29557125931863343
XEL,0.17718535348592074,0.4209339063153748,0.36850577480983876,0.33427442109052247
EFX,0.0014670815351499088,0.038302500377258776,0.03056618504599887,0.029319643049959394
TROW,0.01963309701807323,0.14011815377770728,0.12084754787126734,0.12381308078304186
ODFL,0.1159740912322775,0.34054968981380307,0.28683759846793255,0.22238896358696844
ADM,0.032120930163192354,0.17922312954301506,0.16729837766802938,0.15765491989189873
BXP,0.4430377720118935,0.6656108262430033,0.6003706670519086,0.5384935777843782
WDC,0.03886860454778945,0.19715122253688777,0.16708808506725287,0.14695840154447676
J,0.012498792157084316,0.11179799710676536,0.09375331404258241,0.11901912775990979
MTB,0.005158373293763712,0.07182181628003925,0.06269426187403121,0.05952590007478554
GOOGL,0.06580710217484896,0.25652894997416753,0.21263393296252397,0.2133321557268676
MMC,0.7233742388988074,0.8505141027042452,0.7300441628968165,0.6691190374802075
DLR,0.5215026641150967,0.7221514135658095,0.6402537151932141,0.595080327436718
IPG,0.012205710631438,0.11047945796136946,0.0953530945289486,0.09268457008814375
NUE,0.031259785247742665,0.17680436999051427,0.16767520309686618,0.17762853135958293
TFX,0.025960357187357577,0.16112218092912464,0.14226521948812135,0.12875523249237808
LNC,0.01794802753619813,0.1339702486979782,0.12376649603217205,0.12481939096529203
ISRG,0.02247478621424821,0.1499159304885515,0.1245722369681661,0.11805326565535997
EQIX,0.028904737590902636,0.17001393351988134,0.15033556227133307,0.12779271130249545
SLG,0.099464932416911,0.3153806151571637,0.2795202138573589,0.24886329814203131
DAL,0.19925363996590545,0.44637835965233064,0.40387559411437285,0.3007686580335323
PG,0.01711660972362676,0.13083046175729396,0.09779341007682547,0.09761321923945668
ECL,0.08871041697749223,0.29784294011692175,0.2573414894521331,0.25104331072219316
LVS,0.30611851536407764,0.5532797803680138,0.46241097956358457,0.5585595844452882
MOS,0.00691442160015568,0.08315300114942142,0.06179387649812855,0.06713431460131677
RMD,0.15867727708802554,0.3983431649821866,0.3321046154981438,0.3684045359706733
DHR,0.00719461790365762,0.0848210935066132,0.06468449765194191,0.06250130945004782
ILMN,0.033820075499930165,0.18390235316583137,0.13449121788175994,0.09114400478497366
CMS,0.20290141063988756,0.4504457910114019,0.39668942228946436,0.36068876095662505
APH,0.006230622837643483,0.07893429443305035,0.06563318440273287,0.05839090513488746
AMGN,0.08101473061228,0.28463086728652603,0.21589031468191303,0.1779349899508153
BEN,0.0039546815658666095,0.06288625895906522,0.052509334862690715,0.05560213679414514
APA,0.13132090025873056,0.3623822570970198,0.308310248779035,0.33644216428595985
CLX,0.011196313157194212,0.10581263231388874,0.09918783194998794,0.105380662020277
PAYX,0.01324399033801579,0.1150825370680356,0.08299029789492803,0.08488018428424102
SCHW,0.01578847914712479,0.1256522150506102,0.10739590107731471,0.1016621873817281
VTR,0.24173567112533142,0.4916662192232973,0.4377423305237848,0.4443955476104867
CME,1.057609177494837,1.028401272604637,0.8751171549922555,0.9348340605102758
MSI,0.010179961961698918,0.10089579754231054,0.08659965744078472,0.09214053060732286
AIG,0.04097095786548276,0.20241284016949804,0.1768095776726076,0.17246369631906616
NEE,0.04218505704667645,0.2053900120421547,0.18764652632516954,0.16991935411860626
EA,0.8157198949686858,0.9031721292027814,0.7956523176079751,0.5701331783014403
RSG,0.19045787061103336,0.4364147919251058,0.36910405385633405,0.34048091000578945
SPG,0.10938067975512501,0.33072750075420854,0.29174719673350613,0.2588688012834528
FMC,0.23410123735864724,0.48384009482332824,0.40701368646279584,0.49376227651848587
ALB,0.003304040222234667,0.0574807813293684,0.04222626693065222,0.04446003791817403
SNPS,0.01756263199138792,0.13252408079812483,0.11794987884396861,0.12093291313923478
RF,0.002757936588273972,0.05251606028896277,0.040727137763881496,0.039370038193782715
LUV,0.4836141539500886,0.6954237225965826,0.5914804108159286,0.35535974777520535
AES,0.00405021445401186,0.06364129519433008,0.053668466022821486,0.05847560824636372
MAR,0.03146366318095603,0.1773799965637502,0.15208421319849896,0.1108142077195203
WEC,0.12420927550440489,0.35243336321126706,0.3139082449297139,0.2861834916672615
ADBE,0.006235806064343835,0.0789671201472096,0.06386099116007833,0.05539334244788218
SYY,0.06939073603362696,0.2634212140918551,0.23818708097226501,0.25440982078258967
EXC,0.008279556346389876,0.09099206749156695,0.07289480155929343,0.06419896470959133
V,0.009299619529225827,0.09643453494068309,0.07907018320682552,0.08188289770131814
MSFT,0.012181441610754504,0.11036956831823935,0.10655390948596341,0.0975292786994872
STT,0.019786860083744726,0.14066577438646805,0.13179643420767503,0.13952036102948304
WMB,0.12978521717126382,0.360257154226344,0.3075868214750572,0.22555848144254914
PRGO,0.13474955800959604,0.3670824948286094,0.32922683837631594,0.34502080162850823
NTRS,0.028537048242800473,0.1689291219500074,0.14581739660448373,0.13870526322843973
LYV,0.09410369702703433,0.30676325892621875,0.2781259502873181,0.2312690437716234
DFS,0.0011769669680336602,0.034306952182227735,0.02806596897471679,0.026104443144703574
BKNG,0.007025035999193239,0.08381548782410826,0.06704935530219112,0.06741893728291594
ALGN,0.1489520719017058,0.38594309412361016,0.34925906244386073,0.3856905377933212
AEP,0.15414118159133255,0.3926081782023046,0.3468857512396877,0.3073662079899045
EMN,0.008402400353639301,0.09166460796642999,0.07994967740468943,0.07747833893572621
HBAN,0.0060206264458802046,0.07759269582815256,0.06868892946109857,0.06904824983051791
ABBV,0.02127888580093966,0.145872841204042,0.13270544111777932,0.13064147055106598
GL,0.0019942972678235926,0.04465755555136883,0.037308643020539024,0.03641982752467559
CAH,0.13015537062144056,0.36077052349303784,0.32112989760637123,0.29352669349362864
ITW,0.012924561490815223,0.11368624143147324,0.10178966218260017,0.09862148196040331
AMAT,0.12903383564231097,0.3592127999421944,0.31230159975315713,0.25662719665858086
CMG,0.01400070770820657,0.1183245862372084,0.09755821885155223,0.08557242301673368
HD,0.008374981264411642,0.09151492372510421,0.07450568669590316,0.07548127882042711
RHI,0.005071244541086249,0.07121267121156352,0.05872490198681914,0.053893849452191944
OKE,0.03435109916823065,0.18534049521955703,0.1083549790250842,0.10718494455367891
ADI,0.012626784647531739,0.1123689665678729,0.08742830685124946,0.08934790592316007
FDX,0.012556409182909126,0.11205538444407358,0.10191655058520589,0.10042095699187048
USB,0.08518438795865643,0.29186364617515564,0.258543443282593,0.24671808722043198
UAA,0.2054276177157678,0.45324123567452224,0.40589775496354213,0.27893396295256956
DXC,0.004198253566673186,0.0647939315574629,0.054521468872360694,0.05006892360769069
BWA,0.03086460162540613,0.17568324230104057,0.16007232166097088,0.1473048004723973
CDW,0.03644828782839007,0.19091434683750216,0.16357904972117343,0.12190546679896526
ZTS,0.027616170218686484,0.16618113677155566,0.11718641827957975,0.1038852167059491
UPS,0.21279649748503165,0.46129870743915125,0.37812061801631125,0.38627249402425834
SO,0.03316040328910114,0.18209998157358814,0.15735765821132264,0.14704693845218628
HST,0.04413869213099324,0.21009210392347744,0.1876855440231023,0.16463919149326334
VLO,0.32150896511118743,0.5670176056448225,0.4683417473486766,0.4659166766466589
NVR,0.08500261785860576,0.2915520842981675,0.2699121217914492,0.2392338680032891
MMM,0.001898360100744745,0.04357017444014592,0.034901217153378294,0.033757186189219066
AVGO,0.07595671720622826,0.27560246226445123,0.23619574337937257,0.1589617894300058
MCK,0.047724406372036024,0.21845916408344151,0.19377895016352842,0.16633037053127925
IT,0.06431226418694033,0.2535986281251149,0.23024934717025136,0.22019620637612472
PNW,0.10157907556498058,0.3187147244244931,0.2647240113151343,0.2629840224531751
MDT,0.12178984271388897,0.34898401498333553,0.291583389582825,0.2595415451034942
ROK,0.009165702902444409,0.09573767754883346,0.08675118706739637,0.08622840979723397
MA,0.42599667476831327,0.6526842075370854,0.5867784020712296,0.6315418228365148
AZO,0.04199373250752112,0.20492372363277297,0.1699944057461068,0.15125579585998844
PLD,0.10838718237044011,0.3292220866989943,0.29603259413990174,0.29458475840837584
PSX,0.12308344633551414,0.35083250467354665,0.28292601611706375,0.2796975097648852
DRI,0.09605928190422995,0.30993431869386445,0.2908900962310758,0.31820513214973883
ROP,0.0028843758287612174,0.05370638536302008,0.041552842198184836,0.03917372801587047
LYB,0.02229802374954258,0.1493252281081217,0.12553611587112107,0.10661693396679454
EW,0.7197137559857815,0.8483594497533351,0.7176596360321036,0.5589918413920395
XYL,0.09146313823957726,0.3024287324967277,0.25409108034954575,0.239934895408637
MPC,0.35896454520074716,0.599136499639896,0.5253015884615749,0.5489230055784295
EVRG,0.038838289627856,0.1970743251361171,0.17325155995764316,0.1514165037152902
JBHT,0.0026844822031107823,0.051811988990105196,0.043931290558569244,0.04565838181772942
