,mse,rmse,mae,mape
AAL,0.2673685040657094,0.517076884095305,0.48577751633517735,0.321948870765696
REGN,0.423733634732898,0.6509482581072769,0.5616733996391539,0.5023223930235916
BKR,0.14321750805320346,0.3784408910955626,0.34749895887717885,0.31130717396117996
DHI,0.007257041962551493,0.08518827362114749,0.06724929529653674,0.06692557447953054
DXCM,0.09790422055725571,0.3128965013502959,0.2764989552219953,0.24402719216119925
MCO,0.0014613876220360828,0.038228099900937826,0.029452054462459704,0.02711385452953765
SJM,0.005272057391872398,0.07260893465595263,0.0662255428383938,0.07390869981458577
CCI,0.024654423778790943,0.15701727223076747,0.12839944942577594,0.1251939421446698
IFF,0.039320648044607005,0.19829434698096415,0.17730970747602845,0.1594837831830018
EXR,0.28689828648132015,0.5356288700969358,0.4819948462040311,0.4353064060586722
MKC,0.002733973869963931,0.05228741598094068,0.040259005341782055,0.03979570823935867
WAB,0.1973779141287958,0.44427234229557416,0.3972180824784277,0.364833540863218
YUM,0.0019131387059887848,0.04373944107997706,0.032932655886277404,0.0340532432075077
PEG,0.13379527247799192,0.365780360979088,0.326739314672993,0.2886499286963354
SWK,0.07187706688427795,0.2680989871004326,0.2244100772863869,0.22820137455785017
VTRS,0.012650386192701937,0.11247393561488785,0.09001137937879045,0.07991496323686569
GIS,0.041040323762955404,0.202584115277964,0.17673168822456414,0.17399670987215352
TXN,0.039156223434700224,0.19787931532805603,0.17787238463786417,0.1635081068763606
AMZN,0.022779664975498683,0.1509293376898563,0.13615618568163051,0.1709513083614517
LIN,0.0006053871114071358,0.02460461565249772,0.020256918674833774,0.020429645019882925
PWR,0.07517268427912516,0.27417637439999304,0.2064722301375348,0.20145652387317634
XRX,0.044343021170237217,0.21057782687224508,0.19670640453813248,0.19134705330428275
CAG,0.05230805125401677,0.22870953468103766,0.21752139709341373,0.22869851910168518
ATO,0.11145412429245419,0.33384745662121523,0.29423863489157803,0.2706776140033581
TGT,0.0259926229877878,0.1612222781993475,0.11119598221097485,0.11337061113206087
D,0.034527932815144616,0.18581693360709786,0.1679019690565469,0.16044386402488053
ES,0.028604016188602897,0.16912721894657554,0.14368354767194166,0.13154141559363358
INTU,0.013116468124953217,0.11452715016516048,0.0901814362240098,0.0808949842489919
LUMN,0.05871444284848703,0.2423106329662135,0.20475025001909977,0.17898191990766793
JKHY,0.018872609359769164,0.13737761593421674,0.12463451489748242,0.1273732405847721
FRT,0.15836065755517514,0.39794554596725307,0.35399447233364467,0.31091394784902976
SBUX,0.13370649644864255,0.3656589892900796,0.2978859479188828,0.3154985775987602
DTE,0.19053243883994656,0.43650021631145447,0.3848658643731207,0.3454694503082008
EMR,0.004129581510973332,0.06426182000981089,0.055288884366205805,0.060828714326134896
NOV,0.03837513970292881,0.19589573681662603,0.161416660724222,0.15994769312832544
PGR,0.008943763795255869,0.09457147453252418,0.08594735659116853,0.09914757112530673
NI,0.08935210189285354,0.298918219406,0.2697816194333692,0.22684027573478793
CI,0.05539830395351172,0.2353684429856979,0.22051147436083213,0.21554694470477567
RJF,0.005024108681232194,0.07088094723712568,0.05777872628389027,0.055671813303847864
CE,0.023284487397603946,0.1525925535457217,0.1314818796694062,0.12636212963354035
TDG,0.0033223599983763794,0.057639916710352554,0.04948694431861555,0.044743672023425655
BIO,0.03596263094356179,0.18963815793126074,0.17380017813405976,0.18090727512787588
FCX,0.038725842208048436,0.19678882643089377,0.15491090054583587,0.19927220388267103
BK,0.0038313031592679073,0.061897521430731836,0.050571175311534135,0.05032928510696655
APTV,0.05506525014687694,0.23465986053621726,0.21779906138935767,0.1914310472751941
TRV,0.06642148069787528,0.25772365180145046,0.20940415024110723,0.19707733539386876
RTX,0.06077653853416229,0.246528981124253,0.20393397395336296,0.21112399182113833
MHK,0.05133000140790765,0.22656125310367536,0.20513564465746578,0.21957067949165648
KMX,0.03331156071073159,0.18251454931246328,0.13225069711973322,0.12946439639371649
UNM,0.039153051363429364,0.1978712999993414,0.17655272106711076,0.18179345414051787
TDY,0.12169733082578395,0.3488514452109722,0.30999137796873394,0.2935460791751027
UAL,0.023682688255358304,0.15389180697931357,0.11473783334979641,0.08865866849019385
AMT,0.041931299306168075,0.20477133419052598,0.17178680736420218,0.1460117145468484
NOW,0.046503664155557005,0.21564708241837405,0.18736583569175527,0.17111509329249483
SPGI,0.03372956624594075,0.18365610865402968,0.16018601224925882,0.15116202026529835
QCOM,0.018224280529444546,0.1349973352679398,0.10034348239425064,0.1001200811862493
GWW,0.007215419277704433,0.08494362411449392,0.07132912064224069,0.07763126045312964
UHS,0.018088747461135382,0.13449441423767525,0.1107929819457148,0.09282899268711983
CMA,0.004143769984113424,0.0643721211714623,0.05390776682683237,0.05233223902873445
NWS,0.010652144620436415,0.10320922739966817,0.08710752081405185,0.09630446029296492
WYNN,0.41539857923849427,0.6445142195781985,0.5167045577527707,0.5481699635605221
CAT,0.01213294673661723,0.11014965608941876,0.07609571044343766,0.07044469007657854
HUM,0.1392493822030928,0.3731613353538826,0.31767106912114323,0.25787514814331125
VZ,0.05747655804438916,0.2397426913263242,0.2008984490564716,0.2085275023061925
JCI,0.0026425010081082834,0.05140526245539734,0.041960627401307175,0.039962907634716674
COO,0.24504457825054843,0.49501977561562976,0.4201797242198201,0.36788724816879265
GLW,0.010337993398276497,0.10167592339524878,0.08230822267514916,0.07292724561335592
ED,0.09350600095010317,0.3057875094736591,0.25040049402439724,0.24725902468719752
KMI,0.34843803053914263,0.5902863970473508,0.5003778106909261,0.4838710127980133
AKAM,0.26910026869060627,0.5187487529533024,0.47798556369381373,0.4245775103265109
PH,0.03858182539127712,0.19642256843671788,0.17369601720756211,0.18713301776626542
TEL,0.008796280922204169,0.09378849035038452,0.083806339747583,0.07521583485214836
HRL,0.007412105823946435,0.08609358758900941,0.07704923141684507,0.07211733361768595
XRAY,0.04224190707768943,0.20552836076242478,0.19313534158632106,0.1994977498242962
UNH,0.005630833953141066,0.0750388829417194,0.06348493085310793,0.058977933894434766
KO,0.003321742809707453,0.05763456263135388,0.05133777068801329,0.05273686444019414
ESS,0.4615563325669918,0.6793793730803076,0.6007785929944012,0.5230830894816206
PCAR,0.005493603485322817,0.07411884703179629,0.06468142363910037,0.05924391930605184
ETR,0.13429390858049164,0.3664613329950264,0.3151473686609502,0.27469477056718283
HCA,0.07227595374205267,0.26884187497868084,0.2070977422256927,0.15108479804194597
DVA,0.003109089647917679,0.05575921132797413,0.04877493683973958,0.043203452147410254
AAPL,0.01614464320684896,0.12706157250266092,0.10807439411815142,0.09252717191700666
K,0.0019758187861057485,0.04445018319541269,0.03929666982258277,0.039041439041146146
AVY,0.03509530673936106,0.1873374141472041,0.16101717084741898,0.16983786954016492
FANG,0.08710874647181405,0.2951419090400651,0.23952810685313558,0.17884270669128077
FE,0.04656351290161518,0.21578580329024238,0.17223902304994818,0.1883925655600833
ZBH,0.0105453452671666,0.10269053153609928,0.08830908972189475,0.08121570133869237
