,mse,rmse,mae,mape
AAL,0.2530445661585209,0.5030353527919493,0.47254467940807554,0.31323802080541563
REGN,0.4307000477497169,0.65627741676041,0.5661337370136066,0.506295952624639
BKR,0.18230649068632043,0.4269736416762988,0.39343342550962235,0.35406818425579717
DHI,0.006414953517325449,0.08009340495524865,0.06540822345332274,0.06431198402745118
DXCM,0.1006702126294058,0.3172856955953196,0.28040975000134144,0.24719289388472868
MCO,0.0014840452992117184,0.038523308518502386,0.03142540831917569,0.028206257254141588
SJM,0.003404634682079585,0.05834924748511831,0.05331090423767795,0.059938910524766555
CCI,0.023222818536885417,0.15239034922489486,0.1243637414182015,0.1212441640899715
IFF,0.04115634880302957,0.20287027579965866,0.1831717336885372,0.16493939671485938
EXR,0.29006520331380303,0.5385770170679427,0.48398715894226213,0.4369732992571798
MKC,0.19623257190011292,0.44298145773848474,0.3796674357555369,0.3761996146881221
WAB,0.14089227843863472,0.3753562020782855,0.3368607765302731,0.3093690635858677
YUM,0.007429166873616196,0.08619261495984558,0.07015475864308272,0.07512404362285101
PEG,0.16392306930884878,0.40487414008411154,0.3626777833450411,0.32068010565925037
SWK,0.041703691730642076,0.2042148176079348,0.16838239663613588,0.17081056157521862
VTRS,0.015177531019500408,0.12319712261047498,0.10068391094813275,0.08928366756653952
GIS,0.2131430825030768,0.4616742168489343,0.41189340115244083,0.4084417233081151
TXN,0.03604693256307183,0.18986029749021208,0.1703026502736862,0.15669054400241866
AMZN,0.1378595499131224,0.37129442483441955,0.3363036413916296,0.4224103729954101
LIN,0.001323517574701795,0.03638018107021727,0.02824478175335622,0.028693356092853332
PWR,0.06075654430214613,0.24648842630465662,0.1839975255188115,0.17992144625864567
XRX,0.042344155253231174,0.20577695510729857,0.19215941297232197,0.18696780832526036
CAG,0.038080058117023766,0.19514112359270602,0.18550981099378044,0.19581081153280971
ATO,0.03725597485126958,0.19301806871707525,0.16874795621932717,0.15487539012196552
TGT,0.015156074614337826,0.12311001021175258,0.08422173498993973,0.08597285321433995
D,0.06830296730967689,0.26134836389324667,0.23826985319597527,0.22800098880273606
ES,0.023374744599172555,0.15288801326190538,0.1312034828799479,0.12023163210667213
INTU,0.003831590964667854,0.06189984624106795,0.051517438483131575,0.049986274489554824
LUMN,0.07581662722599203,0.27534819270514926,0.23293241473930956,0.20341842143852937
JKHY,0.014182663126583277,0.11909098675627504,0.10835212519339953,0.11091275294104777
FRT,0.15669042023331717,0.39584140793165784,0.35185715949941865,0.30899945486757885
SBUX,0.10898614017602097,0.33013048961890956,0.26547905997118804,0.280857687857832
DTE,0.17641816531919585,0.42002162482328914,0.36965104336619553,0.331722640924257
EMR,0.01056730718527378,0.10279740845601984,0.09037831491059686,0.09925405955310415
NOV,0.0511808733351981,0.2262319016743618,0.18800905524299333,0.1871078042083149
PGR,0.012783264936483347,0.1130631015693597,0.10748585404339613,0.12317630366722547
NI,0.0936855375546079,0.30608093301381567,0.27631141648953084,0.2323292932106244
CI,0.06809874365183366,0.26095735983457846,0.24387596018419777,0.2376069921198703
RJF,0.006999119170965943,0.08366073852749534,0.07504982868152425,0.07527200998981293
CE,0.0220164043042527,0.148379258335701,0.12776064596599535,0.12274453581988502
TDG,0.0043377603968802955,0.06586167623800881,0.05883110477688368,0.05301790541053251
BIO,0.05553750427419849,0.23566396473410714,0.2139669975411214,0.2232171742565663
FCX,0.03850383961304315,0.19622395269957016,0.15527537101402744,0.19946681976138053
BK,0.002508460771528127,0.05008453625150309,0.04273971117451036,0.041664662433337864
APTV,0.05393912723126339,0.23224798649560643,0.21585869726111756,0.18972568388086972
TRV,0.04167315289130526,0.20414003255438473,0.16365664776000044,0.15380642593433064
RTX,0.03851882912533003,0.1962621438926265,0.16122793367449537,0.16720546483758783
MHK,0.0586734981044689,0.24222613010257357,0.2187677339902025,0.23395969721100487
KMX,0.01279246357813557,0.1131037734920262,0.08497806739196757,0.08604244026309883
UNM,0.04032070396165278,0.20080015926700054,0.17970455268027968,0.18502463280382214
TDY,0.08106840076237781,0.2847251319472481,0.25215063009480776,0.23854292790514034
UAL,0.01686125250430748,0.12985088565083983,0.09973872671144783,0.07912197646775444
AMT,0.06376706097641141,0.25252140696664,0.21511226442415288,0.1833351020506136
NOW,0.04095234203047418,0.20236685012737185,0.17565264850227744,0.16046013443032967
SPGI,0.04392694819296197,0.2095875668854476,0.18338681308227162,0.17285987166195574
QCOM,0.0252585604748648,0.15892941979024777,0.12201896306161074,0.12141185540625166
GWW,0.004966192029061282,0.07047121418750554,0.058496840726269705,0.06357596861176958
UHS,0.02156720032529343,0.14685775541418788,0.12072181388121637,0.1002908721076917
CMA,0.002457704094708368,0.049575236708546015,0.041383893338553655,0.040595329903217764
NWS,0.0024360816954548913,0.049356678326796785,0.03719796563643397,0.04030883698389345
WYNN,0.3868937197250275,0.6220078132347113,0.497762222190857,0.528431995808173
CAT,0.0187244269134608,0.13683722780537758,0.08821500090662303,0.08195760224767686
HUM,0.1391134500055572,0.37297915492096495,0.3187586569143268,0.25885862455166725
VZ,0.061503840461667646,0.24799967834992778,0.20854567011255595,0.21652256614712842
JCI,0.002682362193369149,0.05179152626993289,0.04220893342520607,0.040341254238173176
COO,0.32221978828716336,0.5676440683096788,0.4839066518442363,0.4242747894189863
GLW,0.018362921000498772,0.13550985573196797,0.09832873783361334,0.08741741932848185
ED,0.22364665470275602,0.4729129462202912,0.3968284358064759,0.39326222664025695
KMI,0.3403332106423713,0.583380845282369,0.49418983158752017,0.47782832443381523
AKAM,0.257597979553602,0.5075411111955385,0.46792640622273707,0.4155982988474598
PH,0.040409720852679465,0.20102169249282392,0.17798929123584947,0.1917041026888597
TEL,0.007200224182817073,0.08485413474202111,0.07610267047528786,0.06850069109060115
HRL,0.014986135955309609,0.12241787432932173,0.10950427926194743,0.10169291681813623
XRAY,0.02657885674056196,0.16303023259678542,0.15306001512441453,0.1589249327274588
UNH,0.0053615078914411715,0.07322231826049468,0.06142659506551127,0.05709932807482973
KO,0.00340786665760046,0.05837693600730052,0.05225041016159505,0.05358655331725855
ESS,0.43915602413040167,0.6626884819660002,0.5874511074627007,0.5117046607051277
PCAR,0.004189273646954256,0.06472459846885306,0.055846062670417515,0.051768526623447206
ETR,0.14433338428624234,0.37991233763362087,0.32702239531844773,0.28512681474579016
HCA,0.07546695867545776,0.27471250185504437,0.2125302537786424,0.15527006787930245
DVA,0.0014433731692481638,0.0379917513316794,0.03139170218139423,0.028041131668036574
AAPL,0.11093949669253084,0.3330758122297848,0.2610477857292177,0.20912619886124986
K,0.0018396654225694405,0.04289132106346738,0.0379655619346473,0.037742295657804445
AVY,0.05949238694735799,0.24391061261732339,0.21110482365582925,0.22230871155593268
FANG,0.08880288270396886,0.297998125336333,0.2417355231582572,0.1803347057863669
FE,0.04423943166812916,0.21033171816948854,0.16749790204730347,0.1831988665671064
ZBH,0.014550012821291763,0.1206234339641007,0.10503297664527295,0.0962271289401255
PRU,0.03666382678258473,0.19147800600221618,0.17640226547449162,0.1896369233501087
NFLX,0.03570211768159529,0.18895004017357417,0.1375972740368272,0.14232623150610393
MLM,0.011285675746259046,0.10623406113982015,0.0912661395628452,0.07713791580540545
HSY,0.0039425368629674475,0.06278962384795315,0.054547875088852955,0.0571260407572379
CBRE,0.0035404913330091556,0.05950202797391998,0.046419656860345486,0.04092596660091955
SRE,0.09920360675647871,0.31496604064006445,0.278696154355546,0.24635888401243153
ABT,0.012317789148922835,0.11098553576445372,0.09349443449462996,0.08524463355214235
AVB,0.07745965088748791,0.2783157395611824,0.24081530914051058,0.21667801137506867
GE,0.062129211672542525,0.24925732019850996,0.22914725161110733,0.24738973491764868
LOW,0.03917193582011904,0.1979190132860384,0.132113023970757,0.11984425584982142
SEE,0.15829348723693987,0.39786114064701,0.3637393338439532,0.35586518693048597
CHD,0.002336837681062887,0.04834084898988522,0.03213612091685231,0.029817928955193584
DE,0.18312650232782482,0.4279328245505652,0.36944156709118836,0.3878470818719284
ACN,0.006315551473988654,0.07947044402788155,0.06563152449046689,0.06556942673855562
KMB,0.041188699097121986,0.202949991616462,0.17730138989537314,0.17363078569735388
FTI,0.07873136626198164,0.28059110153741806,0.24740073638334759,0.26222613410488155
NTAP,0.006204834527016012,0.0787707720351655,0.06622171779623051,0.07488703257808532
LNT,0.10873221607786804,0.3297456839412277,0.2851036710850473,0.25629831906015277
ALK,0.25565014992863816,0.5056185814708931,0.45619255983648,0.36336649660839154
CL,0.0013033885143669097,0.03610247241349143,0.02995913743688703,0.030646796397032248
AON,0.008857121688895303,0.09411228234877371,0.07973021922710856,0.07780804204629217
PFG,0.09554829274611211,0.3091088687600408,0.25066974898499506,0.24777578614984289
HAS,0.02191562317983531,0.1480392622915803,0.1302880589656928,0.13280163184036048
MAA,0.1337896091545428,0.3657726194708166,0.33250269011157263,0.3142487817913073
INCY,0.1642184312952224,0.4052387337054818,0.3655124458698429,0.3498214116863802
HON,0.007570789674389764,0.0870102848770751,0.07342684694688839,0.07120764029976938
MET,0.012765250807287357,0.11298340943380739,0.09932193044526827,0.10227044090351452
PM,0.02990506258484895,0.17293080288036874,0.1429983233281841,0.1529662293052305
VFC,0.024554478963292003,0.1566986884542816,0.14389494024622726,0.1388931385495429
TSCO,0.021744324155195057,0.14745956786589012,0.1270069919842139,0.15266389171309624
LKQ,0.009591009478932124,0.09793369940389327,0.07851395643631325,0.09601664478530769
TJX,0.016467459655734637,0.12832560015731326,0.08646338906130761,0.0882635873854632
LEG,0.17994736343374465,0.42420203138804585,0.35763223412595757,0.3061966166775267
UDR,0.00194071244270968,0.04405351793795451,0.034778427494433,0.031711651514066276
ICE,0.07803207141031555,0.27934221200941967,0.2576198451927775,0.29044088809625884
ROST,0.06102916292356382,0.24704081226300204,0.17618425907411703,0.18020160221624856
DUK,0.18671813259812153,0.43210893603132244,0.36802167224096866,0.35363932519468333
GM,0.18728751656845524,0.43276727760824896,0.3929132643400925,0.4860617306826504
JNPR,0.09074997653265608,0.3012473676775551,0.24506395133173217,0.2454261293415032
TSN,0.12891223899754606,0.3590435057169898,0.28321604782967696,0.24548082098301402
HES,0.02485947626904999,0.1576688817397079,0.12277195299903448,0.1111055283291702
STZ,0.010732743576674846,0.10359895548061691,0.08729071349256676,0.07152558507336713
MAS,0.005267900243456838,0.07258030203475897,0.06152374009912794,0.06385236455535104
EQR,0.010439554790060257,0.10217413953667659,0.0862859785125745,0.07332201935368925
VNO,0.08067313290801015,0.2840301619687778,0.2536384516060595,0.21717820845636093
MDLZ,0.014025657455454657,0.11842996856984576,0.09972033966242191,0.09883681336274168
