,mse,rmse,mae,mape
ALB,0.3832210258604752,0.6190484842566656,0.5542384974015739,0.6096228880047496
VRSK,0.01977635883478321,0.14062844248153789,0.13156197461459435,0.14670492021480389
WMB,0.5362252944656084,0.7322740569387997,0.6109533870644724,0.4715140542338125
AME,0.06518877165725662,0.25532091895741055,0.22243570204176183,0.22784450800816874
WELL,0.08622010440749374,0.29363260106380173,0.25976530509007734,0.2579874245651338
LNC,0.013466638175488715,0.11604584514530762,0.10618931860486244,0.10769109855193866
XRX,0.2651279609121591,0.5149057786742727,0.4686788536268201,0.4491242771817612
DFS,0.050119456308946625,0.2238737508260998,0.19458332521642496,0.17501126997959368
MCD,0.04417115214478429,0.21016934159097583,0.17615069974781472,0.1833741860596178
SYY,0.04716241089243094,0.21716908364781332,0.1970518926218486,0.21061792029154486
RMD,0.06644888967461227,0.25777682144563013,0.21517625824661568,0.23834631389041144
RJF,0.5187540636999666,0.7202458356005723,0.6338839248898123,0.622624742626275
LVS,0.20247376400005035,0.44997084794467557,0.3687771119426985,0.4477395332551688
ED,0.001934004704795508,0.04397732034578173,0.038361574867997246,0.03966061300008838
MKTX,0.342264027224651,0.5850333556513261,0.5353382591730668,0.6374229614066884
K,0.02002034457684307,0.1414932668957893,0.11303598609091525,0.11378694898722587
BMY,0.3560603817085283,0.5967079534483584,0.532012091864315,0.5477312572645822
EW,0.01142945823710598,0.10690864435164249,0.09357662675387758,0.08369299527553134
HPQ,0.043183656359996304,0.20780677650162496,0.1736639413766188,0.13983353426792325
MU,1.1714001990405098,1.082312431343422,0.9455927250108245,0.7036330645299186
TJX,0.18589097364588075,0.4311507551261864,0.39232417582507373,0.4224588052581787
RL,0.05811185122739257,0.24106399819838834,0.22977935132856075,0.2534621427706866
VRTX,0.05992069672417878,0.24478704361991624,0.2134372139056742,0.19813952085945544
MET,0.46872737721267876,0.6846366753342088,0.605774401664298,0.6145923143072975
EFX,0.1553433241134316,0.3941361745811105,0.3479800544827143,0.322174813096602
BEN,0.5216920556745261,0.7222825317523096,0.641156163660859,0.6682170895732508
CE,0.026857799542595866,0.16388349380763112,0.14129227353618742,0.1353976451120131
MKC,0.06008983643475022,0.2451322835424788,0.2157297247905219,0.2158087836352731
DLTR,0.020320206833991626,0.1425489629355178,0.1310757718974397,0.14310467252665915
ISRG,0.0609354021802247,0.2468509716007306,0.21745338973899817,0.19796398221859357
MHK,0.32240887919080025,0.567810601513216,0.5052964896028811,0.5372069627172367
EXPD,0.06083759535979945,0.24665278299625862,0.2222841987072077,0.24554663751303768
MTD,0.0042978113492305675,0.06555769481327549,0.046957986464518965,0.04459542170354117
PNC,0.16502610071400695,0.40623404671938435,0.3414778404314309,0.3102866501395282
LUMN,0.011586567574943632,0.10764091961212349,0.09283949238841958,0.08676065038017243
BXP,0.0027918387489214783,0.052837853371626275,0.047750976619081995,0.04342142826752628
PNR,1.384905385044465,1.1768200308647303,1.013933293841615,1.1468632636461846
MDLZ,0.02710793729944878,0.16464488239677777,0.14029870891753043,0.13815035068023937
KR,0.13367994959781646,0.36562268747688026,0.3081995906176364,0.2549951164187158
WBA,0.010168670793511962,0.10083982741710719,0.09031527274777376,0.08272588155920117
CHD,0.004934127981574472,0.0702433483083948,0.060046279984143254,0.05830942916500358
FITB,0.1997876134599311,0.4469760770555076,0.37579724671608133,0.3891529092189916
ANSS,0.059041412927045595,0.24298438823728077,0.22756657182741483,0.25886806362262565
LDOS,1.2283400569722556,1.10830503787191,0.9789015054709178,1.2520509837769467
CBOE,0.04485722145497322,0.2117952347315048,0.18673972197780886,0.1875915617156782
TGT,0.006035635579284578,0.07768935306259525,0.07166426330149801,0.0784466268455756
MCO,0.2978196568006074,0.5457285559695474,0.48560043731483904,0.42099771356548354
LRCX,0.1439669877769477,0.37942981930384395,0.35129726167607644,0.2850041042123141
GRMN,0.011927191454714868,0.10921168186011453,0.08963910073455744,0.07881513568695157
PM,0.0826731782005502,0.28752943884157356,0.25969081210573447,0.28050301922051274
BA,0.1152771372976686,0.33952486992511843,0.3039949789249999,0.3339083879842134
