,mse,rmse,mae,mape
CDNS,0.012612707380903497,0.1123063105123817,0.0906768105656568,0.07786888088655787
XRAY,0.008543016630869524,0.09242844059524927,0.06582951032981085,0.06458462316201878
V,0.3391423069320112,0.5823592593339709,0.5109995345786237,0.5068959076594708
WHR,0.20560826420196532,0.453440474816668,0.4207593456273289,0.42896477638011976
EL,0.1630186477624813,0.4037556783037005,0.3583793362256366,0.3641237461222634
SBUX,0.025241174510903044,0.15887471325199315,0.1503217895102552,0.16169514904790028
INCY,1.0561941559172072,1.0277130708116966,0.8670081506796093,0.8113443834878495
PSA,0.018815422639743538,0.1371693210588415,0.1253377928068127,0.12061309113390702
HUM,0.012332449169406604,0.11105156085983936,0.09397713301087121,0.07849169311080627
UDR,0.009419555799104104,0.09705439608335165,0.08234027426714775,0.07021058409853065
HON,0.4782744362329874,0.6915738834231577,0.5972895368963239,0.5680313423901756
AON,0.017795254802316574,0.13339885607574217,0.1162531152017348,0.11179401750644326
TGT,0.11174426845940591,0.3342817201993042,0.3071498816162424,0.32563863742703014
VNO,0.002415316413647162,0.049145868734280826,0.04147047503669774,0.035487640513935645
ALL,0.01798013244930648,0.13409001621786196,0.11846698164177533,0.1059304556130046
MSFT,0.01978204093658191,0.14064864356467113,0.12865924200694262,0.11278376461169035
VRSK,0.01248966864915748,0.1117571861186451,0.10469595776918193,0.11699269723748586
A,0.3853793716073766,0.6207893133804548,0.5391445029255875,0.5431363685930144
COO,0.009707081592964106,0.09852452279998165,0.08068533699411724,0.07075439825011723
BKNG,0.33026148391059246,0.5746838121181007,0.5130431931439342,0.5160732037063644
EXPD,0.11539401281076864,0.33969694259850003,0.30908244120170103,0.33579030117729536
CBOE,0.08908716178782569,0.2984747255427596,0.2575836886511389,0.2502062772574564
VRSN,0.007365371676983759,0.08582174361421328,0.07508447692957243,0.08359640393740508
GE,0.24021451940129457,0.4901168426011236,0.4385278454825739,0.4643140270888339
EQIX,0.03039263006597016,0.17433482172523698,0.14770216398528666,0.12692342115106894
C,0.054921749423103704,0.23435389781931024,0.1776435502456117,0.18206308951971756
LEN,1.8968736683519163,1.3772703686465908,1.2049587074727501,1.1603256670302062
WELL,0.11496988801020229,0.3390720985427764,0.29843660475697825,0.282668969643373
WAT,0.17579713478143363,0.41928168906050933,0.34588645408583873,0.34825519523105164
AMCR,1.0639121786898473,1.0314611862255638,0.8926908453224653,0.9188030190624902
FIS,0.1471256328003394,0.38356959316444705,0.3377713403649933,0.3165528543786676
NVR,0.065254269154873,0.255449151799087,0.2215354667592789,0.19747333594029565
WM,0.0035601004553400695,0.059666577372429114,0.051150423854261155,0.05292606987183257
XYL,0.11605250198106509,0.34066479416145296,0.2774418545166527,0.2595486409110599
STE,0.01112960131560235,0.10549692562156657,0.07749676383230127,0.06473466844184411
LYV,0.24261965097686686,0.4925643622683911,0.4221424097475305,0.3540083352867709
LOW,0.09066031801001369,0.3010985187775152,0.2778851210934338,0.2783065972904837
BR,0.016803509337486037,0.12962835082452465,0.10516741969861013,0.09814676494201115
EFX,0.11957730672189529,0.34579951810535436,0.3065252057718544,0.2816591983772802
NOV,0.13595768195128566,0.36872439836724347,0.30471736788553183,0.3140696385285403
CE,0.060217459617047144,0.2453924603916085,0.21076712637018155,0.19981176071702209
DVN,0.10772191447814496,0.32821016815166615,0.24768360812379533,0.2529257084686749
XOM,0.3597746556689479,0.5998121836616425,0.5190343677190992,0.5365526531414757
ADM,0.1258786180275606,0.3547937683042933,0.32836359413784866,0.30246156446636185
PVH,0.48531524964664163,0.6966457131473943,0.6145415954653661,0.6951666020298263
CTAS,0.011973316318688833,0.10942264993450321,0.06700578056587093,0.054790528448741056
ULTA,0.9456845269724099,0.9724631237082514,0.8171771749967042,1.000777747567223
FTI,0.03135451086398147,0.17707204992313572,0.1500759235555108,0.15683891413576243
NWS,0.129833159311879,0.36032368685930016,0.31139931052134723,0.35412975001210606
SCHW,0.009609165061833127,0.09802634881414857,0.07930646000629019,0.07480180913935412
IFF,0.09714693311599788,0.31168402768829506,0.24585606065272955,0.21940289104287472
PHM,1.0395126002062482,1.019564907304213,0.8922977170652157,0.9287081806847836
CPRT,0.1422396587448747,0.3771467337056954,0.3328615828978356,0.3531311398146515
KMB,0.0015939541513979288,0.03992435536609112,0.030129241327779093,0.02971873105703845
MCO,0.052580788197662084,0.2293050112789995,0.20555603299444522,0.17744879999398902
TTWO,0.7262897574830545,0.8522263534314428,0.7365388849061179,0.5770662377034189
APD,0.007217914515993477,0.08495831045868013,0.065317451982976,0.057368229514595734
ZION,0.19597648058646647,0.442692309156672,0.37452158639004457,0.38898922657220947
TJX,0.16734967031818662,0.409083940430551,0.3686298888149466,0.3943177653983188
GM,0.07449261327439434,0.27293334950935244,0.25408005075730367,0.3078683859931997
KR,0.09893755139972625,0.31454340145634313,0.2661563439235928,0.21779344144897927
CMA,0.037158624402196104,0.19276572413734788,0.15702142807049246,0.15600629283799017
KMI,0.2835775758877049,0.5325200239312179,0.4852090216508209,0.46110307073336987
NTAP,0.028813491060875475,0.16974537125022135,0.15570779954205252,0.16927153316269672
SRE,0.014304945050322477,0.11960328193792374,0.10309293238670444,0.08953558062785097
FDX,0.08641769379285959,0.29396886534607636,0.2769404602614165,0.2619980059213842
BXP,0.01449327906505245,0.12038803538995248,0.10464000797697297,0.09071587070172431
GS,0.011490538128449532,0.10719392766593419,0.09796895327804699,0.10187252248334526
UNP,0.04722643486198118,0.21731643946554338,0.18129336175454588,0.1413974533940365
AMT,0.0676536121903753,0.2601030799325054,0.23071545776278665,0.19769654375467674
HCA,0.06244870008097639,0.2498973790998545,0.19377701978276457,0.14190950692595247
IP,0.009479274516023007,0.09736156590782118,0.08696167489086128,0.08701881158458118
