,mse,rmse,mae,mape
CDNS,0.34491116120747756,0.5872913767521856,0.4862117901988565,0.4089679431412279
XRAY,0.04202017907824575,0.20498824131702226,0.1900759484323536,0.19533509206507335
V,0.34957891664349877,0.5912519908156748,0.5211708943786242,0.5172169708157159
WHR,0.06618317853875996,0.2572609152956585,0.24205464616210223,0.2512616229326563
EL,0.22236821436250126,0.47155934341554645,0.41834968889141333,0.4246444547472313
SBUX,0.13000508140785588,0.3605621741223778,0.33147340106251966,0.3531065525080909
INCY,1.2317543030219702,1.1098442697162383,0.9288121201531669,0.8671613974691769
PSA,0.02780817675440616,0.16675783865955496,0.15138422510186422,0.14555257382227993
HUM,0.2218988070475688,0.47106136229536894,0.4057763122149032,0.3324086213504282
UDR,0.10941775740337557,0.3307835506843948,0.28873351978474593,0.24508777022859501
HON,0.5618789468888985,0.7495858502459198,0.6451964878655616,0.6134506214509806
AON,0.00631733329519867,0.07948165382777758,0.06615248888668915,0.06452304477633122
TGT,0.006456398078008394,0.08035171484174058,0.0738895718286638,0.07945936784188704
VNO,0.002262430497762002,0.04756501337918451,0.03975327701491598,0.03409302811162952
ALL,0.09295156474479312,0.30487959056780617,0.2721743457591372,0.24015918479331005
MSFT,0.0012355281007584793,0.03515007966930487,0.030393403909180588,0.028037428919626062
VRSK,0.002952079987599935,0.054333046919898896,0.043990261338172604,0.04913301231789819
A,0.47436725403455215,0.6887432424601726,0.5949974874304654,0.5992460263070473
COO,0.1358894272230411,0.3686318315379738,0.3294653136336414,0.2958915122804989
BKNG,0.02802667538372995,0.1674116942860622,0.15490362015336578,0.15359339432040184
EXPD,0.04543846250725702,0.21316299516392853,0.19703714036473652,0.2154706189210054
CBOE,0.12380941721411902,0.3518656238027793,0.3046094835202016,0.29485779363100184
VRSN,0.022017745487716598,0.14838377771076122,0.1375016169149496,0.15463624921372415
GE,0.40828389721944697,0.6389709674307957,0.5689145799266581,0.6020989626969073
EQIX,0.02385226872322397,0.15444179720277787,0.1304750305930749,0.11288380401899643
C,0.0731646427136418,0.27048963513162905,0.2473185294678804,0.26040923667106647
LEN,0.8982536838122462,0.947762461702428,0.8374028299000746,0.8079523286022668
WELL,0.13327611601836525,0.36507001522771665,0.3204991514325773,0.3034035972623274
WAT,0.18901169763231052,0.4347547557328275,0.3629585134995151,0.36538693445152753
AMCR,1.0547209080089743,1.0269960603668227,0.8875250144410197,0.9133367596155542
FIS,0.3200427950100745,0.5657232494869505,0.49394159404667043,0.4620063044574782
NVR,0.6176572310250318,0.7859117196129803,0.6698898262751063,0.5940936586223103
WM,0.014909277378102546,0.1221035518652203,0.1185448744147102,0.11833528836294951
XYL,0.09396400078459972,0.30653548046612766,0.2462824873116553,0.23045711471461533
STE,0.32286560396894254,0.5682126397476058,0.5104905392645679,0.43922737883315566
LYV,0.0852898224032324,0.29204421309663436,0.25082778450941806,0.21200001256276538
LOW,0.0974334465177394,0.31214331086496055,0.28838488504091875,0.2883459048131688
BR,0.00949690132640433,0.09745204629151884,0.08305791433405892,0.0788515165209485
EFX,0.09613269930617632,0.31005273633073505,0.27591160341884874,0.2538260095981417
NOV,0.04438945208982988,0.21068804448717512,0.16351347862644744,0.17144870600560977
CE,0.08820968274313773,0.2970011493969977,0.25456576094348743,0.24164877894132886
DVN,0.0954356217071792,0.3089265636153343,0.2248469087517791,0.23086324590455795
XOM,0.5691932427591403,0.754448966305303,0.6527545526035744,0.6742726499671254
ADM,0.20454655230532834,0.4522682304842209,0.41722166551645967,0.3827940849993593
PVH,0.6060616625503175,0.7784996227040303,0.6820035490917128,0.77138478860233
CTAS,0.011040159721843107,0.10507216435309166,0.09380750939712626,0.0874663622466257
ULTA,0.7007478497692673,0.8371068329486191,0.7055661583046082,0.8640684532468668
FTI,0.13280917113199273,0.36442992622998555,0.28232521294692653,0.3146292818509118
NWS,0.1326360237084204,0.36419228946865473,0.315552851744469,0.35875958866856833
SCHW,0.247138337190343,0.49713010086932274,0.4204294889656255,0.38877901637596957
IFF,0.14933797481391559,0.386442718671106,0.30840505921304034,0.2748065166179761
PHM,0.9848544437679144,0.9923983291843625,0.8716506824446691,0.9073475043963036
CPRT,0.07373503713712119,0.2715419620189874,0.24084712258054805,0.25593844427571366
KMB,0.0012928660079497265,0.035956445986077744,0.02762242957954414,0.02614987754612361
MCO,0.780077151027155,0.8832197637208732,0.7669519000152579,0.6545682408266433
TTWO,0.011479790494463913,0.1071437842082494,0.08370932264370586,0.0651728321351901
APD,0.39014115420629675,0.6246128034280891,0.5401275874149724,0.4606478101041889
ZION,0.3359808961309989,0.5796385909607804,0.4911270356278552,0.5098201235458945
TJX,0.1941828063859855,0.44066178230700415,0.4000852742156606,0.4277096668800536
GM,0.062151661912717183,0.24930235039549303,0.2338252661488363,0.2831607631439757
KR,0.12930605669382506,0.3595915136565726,0.3032184720392739,0.24746232016177103
CMA,0.26312128477992175,0.5129534918293488,0.4367247886318778,0.4315091946996358
KMI,0.8802465116086963,0.9382145338933395,0.844009107416741,0.7984862335677726
NTAP,0.06840307312248445,0.26153981173520113,0.23608445667752678,0.2541645747386263
SRE,0.08225270138998192,0.2867973176129476,0.2476993210114255,0.21398496121421026
FDX,0.08888797442337798,0.2981408633907435,0.2816808225549605,0.2667861972599695
BXP,0.15393243449449864,0.39234224153728164,0.32101912800012994,0.27412945074694206
GS,0.032639243045070446,0.1806633417300545,0.17156935918939917,0.17456367222737448
UNP,0.07730922916107281,0.2780453724863495,0.23233070338018702,0.18076303102985597
AMT,0.048404485663659104,0.22001019445393685,0.19547562053255177,0.1674827902091982
HCA,0.2823467893868901,0.531363142668825,0.440845170414348,0.3301341638233269
IP,0.12278184246474923,0.35040240076910034,0.31396834811228547,0.30546169667249595
PNW,0.025661359687220466,0.1601916342610327,0.1254201515054857,0.11833522796676567
HPQ,0.003679376688663729,0.060657865843299574,0.04720186578783087,0.03752760361089454
MRK,0.07504933692197213,0.2739513404274053,0.2092850659584336,0.17531634014548958
VTR,0.0020385302552706685,0.04515008588331443,0.03490122109635282,0.03520270601114258
REG,0.10375400372425084,0.3221086830935342,0.2779568579489215,0.2511760198844782
MHK,0.3548607142499946,0.5957018669183392,0.5280430373534031,0.561177536078762
AMZN,0.009308227270219386,0.09647915458905817,0.0679554882645676,0.08487002775900328
TT,0.6650800156994883,0.8155243808124244,0.7249376303421328,0.7327524791965613
MCHP,0.7650474316893006,0.8746698986985322,0.7346237770861882,0.7070862993258662
ODFL,0.0028829371616770397,0.053692989874629254,0.045327389887200496,0.03668260443562117
CDW,0.03685843187692553,0.19198549913190197,0.16908085695167394,0.12647174655938734
URI,0.22923308803143583,0.4787829237049248,0.3959496282961209,0.29425712489682443
AEE,0.03598538626906092,0.18969814513869376,0.15368612721632363,0.13589078780605984
WST,0.07253184758745657,0.2693173733487251,0.24728421613652005,0.27735123274182555
ZTS,0.11678310245743523,0.3417354275714405,0.32130357981391683,0.30936151350919755
PWR,0.758033795885584,0.8706513629953059,0.7326504141108255,0.7006099650027189
TYL,0.05176250547093268,0.22751374787237075,0.20606239696255158,0.24369470705024876
DVA,0.5183907760728991,0.7199935944665752,0.6098976713511735,0.5288018078923173
OKE,0.17034610943319245,0.4127300684868894,0.3081192741613585,0.28145655295701133
STX,1.1340449619305433,1.0649154717302887,0.9511442699807907,0.8999924366510255
LHX,0.7266588287358514,0.8524428595136753,0.7272806546985351,0.7132212721607157
AME,0.03686401095031771,0.19200002851645026,0.16802363289369998,0.17166800440756308
MO,0.07468887105783285,0.2732926472809557,0.25927307694466717,0.22699580777201975
QCOM,0.00966603731793753,0.09831600743489094,0.07153824114788805,0.07046379801404237
WFC,0.001441318784355152,0.03796470445499546,0.03173198499278204,0.027788279703916802
FRT,0.02365626113239856,0.15380592034248408,0.14152404138631725,0.12237914115054854
AIZ,0.30188169281889304,0.5494376150382253,0.4669040301770483,0.46396994822933496
PPG,0.056510919301706576,0.2377202542942157,0.2075833139237767,0.19297356938802881
LH,0.0704729210663676,0.2654673634674658,0.21129844459843033,0.22020679156926284
MPC,0.3401394589518846,0.5832147622890599,0.5035625009249253,0.51963796041174
RCL,0.2060990292859721,0.4539813094015789,0.41158193424420425,0.318151294147213
PLD,0.01440773297768104,0.12003221641576498,0.09504659541318741,0.09287584173485927
ADSK,0.44672689518601627,0.6683763125560452,0.5818587566658956,0.5307069023004861
LLY,0.04040235335290261,0.20100336652131628,0.16203512275583148,0.12641679097007932
TRV,0.10671609591226612,0.3266742963752522,0.3036605140706977,0.2889164315582627
MU,1.3017436160086162,1.1409397950850064,0.9956897342010529,0.7407058488824294
TXN,0.1006097338494195,0.31719037477423473,0.27796653792994935,0.24891445236058576
FTNT,0.34553800305117494,0.5878248064271998,0.4788482338432951,0.4103646385519613
DGX,0.0008565303221781459,0.029266539292819468,0.02379052354329035,0.02556190817927541
IT,0.719929115510659,0.8484863673098461,0.7466026449610431,0.7049057181334388
AMD,1.2716821562364349,1.1276888561285134,0.9220090032350583,1.1702503999168075
NRG,0.021102910174119468,0.14526840735039215,0.11655897033479382,0.10512206639623126
JNPR,0.8947517337335168,0.9459131745215925,0.7571351222025846,0.7591899254739989
BKR,0.11727840923929933,0.3424593541419176,0.22942520292028107,0.22509179007849225
ABT,0.3251051808166628,0.5701799547657413,0.4961337426719583,0.44653237079914176
HAS,0.587552684307484,0.7665198525201314,0.6822103088196426,0.674847968424302
PNC,0.19369664443106083,0.4401098095146947,0.36985674693061477,0.3300922065411735
L,0.17325047106203115,0.41623367362820507,0.372201258479502,0.4261706259107159
TXT,3.358276740057003,1.8325601600103072,1.5840916142846946,1.4921200433239643
ROP,0.6075248906749785,0.7794388306178865,0.6811370158634541,0.6386737454619047
BAX,0.5597159482565015,0.7481416632272938,0.6368213525764126,0.5981012114802349
