,mse,rmse,mae,mape
CDNS,0.33108550169521317,0.5754002969196429,0.47568440444948895,0.4000515725030665
XRAY,0.0482223119544419,0.2195957922056839,0.20328645436659737,0.2086405418015239
V,0.3783117374851143,0.6150705142380948,0.5417587331861703,0.5374246486305528
WHR,0.09857512517328974,0.31396675807048385,0.2952908952956202,0.3042593128156768
EL,0.219078035116561,0.4680577262652129,0.41520230255630713,0.4214582192851658
SBUX,0.1678541185502245,0.40970003484284023,0.37503944649895743,0.39918369486052574
INCY,1.1848991995985283,1.0885307527114374,0.91129185041799,0.8510375003957267
PSA,0.02987307110199833,0.17283828019856692,0.15687584582703115,0.1508308280699564
HUM,0.19297166061714202,0.4392853976825795,0.37776167248935666,0.30961397702134796
UDR,0.10068433583509895,0.3173079511060177,0.27705539873222096,0.2351848502193191
HON,0.5464101170374864,0.7391955878098072,0.6358759016684734,0.6045853564872574
AON,0.006715207872600042,0.08194637193067209,0.06868988431412983,0.06692600948696954
TGT,0.006552102083915614,0.0809450559572085,0.07460086333310892,0.08028789171932027
VNO,0.0027576136032417408,0.05251298509170604,0.044489323500834815,0.03801291938044539
ALL,0.0878700007610694,0.2964287448292918,0.26476092428207915,0.2336838123873641
MSFT,0.0036912698082005664,0.06075582118777234,0.053713846536752215,0.04857480534539885
VRSK,0.004253853134431315,0.06522156954897142,0.05342617626003838,0.059163213848762886
A,0.38537733181226047,0.6207876704737784,0.5356675797142966,0.5395681474315783
COO,0.09632195074676748,0.31035777861488745,0.2774254612686146,0.24963992466684168
BKNG,0.0035115558972703123,0.05925838250636202,0.04587909112784332,0.044586179503257765
EXPD,0.017542658383029715,0.1324487009488191,0.11832025361092505,0.13075948782272778
CBOE,0.12455825904907804,0.3529281216467144,0.3052157923534977,0.29540854041906794
VRSN,0.015163142358929245,0.12313871186158008,0.10907921315438436,0.1241753381956371
GE,0.4094344790433235,0.6398706736859594,0.5697636667145853,0.6029967558440226
EQIX,0.026151002543211774,0.1617127160838373,0.13727953919054073,0.11863151599769278
