,mse,rmse,mae,mape
CDNS,0.040417221866664035,0.20104034885232375,0.1735790955557744,0.14612541887818709
XRAY,0.026812274361978795,0.16374453994554686,0.15409934722333604,0.15949663843223524
V,0.014636871830966866,0.12098294024765172,0.09151052111647243,0.08697817836888992
WHR,0.016453239556046634,0.12827018186642847,0.11217174214190057,0.11997796122096543
EL,0.002533210270309938,0.050331007046451375,0.039861482072338125,0.04181574178552005
SBUX,0.1460928833116914,0.3822209875342946,0.31190338591454686,0.32680856827540977
INCY,0.15991595383174897,0.39989492848965835,0.3619491414526453,0.34696765179991695
PSA,0.266797535815576,0.516524477460242,0.4589611494190737,0.44086976748136497
HUM,0.021816618434021814,0.14770449699999597,0.1278201471707696,0.10457617324830873
UDR,0.03293749521877563,0.18148690095644818,0.15665229504071818,0.13275101747805937
HON,0.0052365089555478,0.07236372679421507,0.06163563895754508,0.059252976969845675
AON,0.005833305178330802,0.07637607726461737,0.0628112831880741,0.06113392424525912
TGT,0.04494432101379163,0.2120007571066472,0.15315323216865237,0.15347925333629417
VNO,0.03760591845688961,0.1939224547516084,0.17001218106439234,0.141910550846359
ALL,0.054743349044524256,0.2339729664822931,0.1889902736310303,0.16272550356900084
MSFT,0.00718582375930897,0.08476923828435036,0.07650636916010209,0.0710584214010281
VRSK,0.00719865169026163,0.08484486837906952,0.06767781807544986,0.07453124480500292
A,0.0047864484804031335,0.06918416350873322,0.05686321827705696,0.057704689376144286
COO,0.3598653961020128,0.5998878195979752,0.5126027845986353,0.44950099591371284
BKNG,0.025361464263360174,0.15925283125696754,0.1421560661889866,0.1402338520568521
EXPD,0.03967198571428288,0.19917827621074263,0.16139964917424537,0.17110301874482634
CBOE,0.3123185588559271,0.558854684919011,0.4801633546685054,0.45098933677246844
VRSN,0.025195963043036593,0.1587323629353403,0.12066655853468795,0.12771704977811155
GE,0.0168373457144502,0.1297587982159599,0.12138788749609725,0.12892028379659867
EQIX,0.11801019630107035,0.3435261217157588,0.301326566475788,0.2526031772574196
C,0.054269480668667734,0.2329581092571532,0.1847466477226336,0.18988176308702667
