,mse,rmse,mae,mape
CDNS,0.04125788922469533,0.20312038111596614,0.1782992834755766,0.1505875397136864
XRAY,0.030958799518656804,0.17595112821080974,0.16589553214783295,0.17127543077179247
V,0.007868857472991141,0.08870658077612473,0.06564928502625147,0.06211452824141025
WHR,0.015810905500841858,0.1257414231700988,0.10944959100030383,0.11706514167329553
EL,0.0025101890582922563,0.05010178697703562,0.03997941806649874,0.04211344511560168
SBUX,0.09854672881918124,0.3139215329014262,0.25159425709988953,0.26314833172192226
INCY,0.19078703016052195,0.43679174690065053,0.39297927494385665,0.37529915264904584
PSA,0.2331345821064552,0.48284012064704734,0.42921846161568883,0.4122306976355127
HUM,0.12862224701212513,0.3586394387293806,0.3063349705690356,0.24692049666344984
UDR,0.014658790385614098,0.12107349167185234,0.10375703238538282,0.0880079972277728
HON,0.003579256635466668,0.0598268889001147,0.04956647853755657,0.04772232404618726
AON,0.0053214380644836246,0.07294818753391769,0.05887325655327901,0.057447219212551165
TGT,0.025642658596370698,0.16013325262533917,0.10921392669415579,0.10856755241799707
VNO,0.11873645266351958,0.3445815616998675,0.30700852322523536,0.25704158591862925
ALL,0.034907259675286004,0.18683484598780284,0.14952318201819723,0.12860636913095436
MSFT,0.0032619777361173334,0.05711372633717164,0.04688952764905349,0.04474733919549895
VRSK,0.003471362345834969,0.05891826835400858,0.04629939591817205,0.05111144508462988
A,0.009512743452882033,0.09753329407377787,0.08226761508851684,0.08325215425791786
COO,0.4466173222209573,0.6682943380135412,0.5722772040233675,0.5022788392523598
BKNG,0.00558397356351014,0.07472598987976098,0.05979879585477952,0.058470552993887905
EXPD,0.027236109199472558,0.16503366080734122,0.13506442467175983,0.1431369623229791
CBOE,0.13770275099622498,0.3710832130347922,0.3144748305065332,0.293698368691097
VRSN,0.009581746521217956,0.09788639599667544,0.08517875499011894,0.09268960215782068
GE,0.07113587172799951,0.2667130887826833,0.24390826579930386,0.2583444189597368
EQIX,0.054888638179158004,0.23428324348778767,0.20428232826912185,0.17101116250432924
