,mse,rmse,mae,mape
CDNS,0.3344493817777544,0.5783159878282412,0.4776596570329157,0.4016429470599656
XRAY,0.03920799239585307,0.198010081551049,0.18382360038564471,0.18905115212939952
V,0.36173984365600914,0.6014481221651699,0.5321620839726005,0.5282000164618058
WHR,0.10381652531377956,0.32220571893400585,0.30324227868489795,0.3122447453838879
EL,0.23786591886728517,0.48771499758289694,0.43276927711899316,0.4392374772809393
SBUX,0.16198112932789974,0.4024687929863628,0.36841372167830605,0.39212815448513977
INCY,1.2209092943484068,1.104947643261167,0.9228474575915298,0.8612693863455861
PSA,0.02718288288050876,0.16487232296692117,0.14971500759819945,0.14395103701116377
HUM,0.20159744644648142,0.4489960427960155,0.3856157014103581,0.3159121793954646
UDR,0.11725903491721867,0.34243106593476397,0.2991485353228221,0.25396650102115886
HON,0.5351965073403442,0.731571259236135,0.6299659831470324,0.5989887102247267
AON,0.011283399855194762,0.10622334891724494,0.09156456901389462,0.08849762498438712
TGT,0.005769152296144398,0.07595493595642351,0.055708891309329066,0.05737390002228075
VNO,0.002726734497417366,0.052218143373901814,0.044505669016193426,0.03798686810472244
ALL,0.08634080508494375,0.2938380592859675,0.262724584235405,0.23193550859967274
MSFT,0.001157450156700736,0.034021319149920334,0.029523263866492726,0.027191140849073543
VRSK,0.003512791215353545,0.059268804740382146,0.048881243249543245,0.05431130838226946
A,0.4853565305333937,0.6966753408391844,0.6018496149307414,0.6061391898174494
COO,0.0809715873612641,0.28455506911890377,0.2546339394559329,0.22957950914294348
BKNG,0.006567200758428794,0.08103826724720115,0.06788118132499009,0.0657300383421603
EXPD,0.03307646170937575,0.18186935340891205,0.16745187631685488,0.18364126361244082
CBOE,0.11696256288509992,0.3419978989483706,0.2922634175921921,0.2828500807936235
VRSN,0.08816136808781765,0.2969198007675097,0.27490000536732256,0.30383536386919924
GE,0.40029864128920856,0.6326915846518022,0.563730132187984,0.5966180858244798
EQIX,0.020576535022321932,0.14344523352946215,0.12020450863132601,0.10427184354093438
C,0.1932050332963395,0.4395509450522653,0.3948418114962815,0.4142857263100394
LEN,0.6955569037272795,0.8340005418027494,0.7374091914954707,0.7119024316137061
WELL,0.11928789696726178,0.3453807999400977,0.302920959428395,0.2866926016952638
WAT,0.21944891508978956,0.468453749146903,0.385732175782506,0.3881867578708137
AMCR,1.0293828751180185,1.0145850753475623,0.8765944919112976,0.9020583948610219
FIS,0.22669209232590293,0.4761219301039419,0.4216926820833134,0.39517355158753564
NVR,0.7518970095859173,0.8671199510943784,0.7446866693763238,0.6606727188974277
WM,0.08599900642796963,0.2932558719411593,0.2726798643650057,0.2666976184383733
XYL,0.09216590347574517,0.3035883783608081,0.2439828433896021,0.2283151683214724
STE,0.2528767167952239,0.5028684885685559,0.45382669629282346,0.391245302160878
LYV,0.07606371980478469,0.27579651884094675,0.23687787381104675,0.20045105164183025
LOW,0.06832031006599258,0.261381541173038,0.24177168581876335,0.24367322769678915
BR,0.012241825499621451,0.11064278331469003,0.10372093677513171,0.10292198595922383
EFX,0.1389769340544373,0.37279610252044926,0.3311004655953104,0.3042637634364438
NOV,0.029141066349705612,0.17070754625881543,0.1259460448890218,0.13330055769987126
CE,0.08723722946267272,0.29535949191226735,0.25303112720614596,0.24017636719928548
DVN,0.11464512788483489,0.338592864491907,0.25272875666455535,0.2581624042888369
XOM,0.5768880337660245,0.7595314567323888,0.6563457826929546,0.6779954451247019
ADM,0.16903649805720114,0.4111404845757726,0.3801080476869364,0.3491689313516878
PVH,0.6012827848811163,0.7754242612151856,0.6785236097235547,0.7675300175765076
CTAS,0.5806263082132406,0.7619883911276081,0.6841884455023927,0.602492539440113
ULTA,0.8012209503359708,0.895109462767527,0.7558797717026248,0.926428806547407
FTI,0.2142577413760286,0.4628798347044604,0.36415225046424937,0.4039604577833874
NWS,0.14786346405514134,0.3845301861429624,0.3331000448877204,0.37861714066001195
SCHW,0.2600851107182877,0.5099854024560778,0.43698411534560533,0.4044186640882488
IFF,0.16137002675836098,0.4017088830961558,0.3210410488261653,0.28603133482217674
PHM,0.7687962245561699,0.876810255731632,0.7689664901989249,0.800749464463692
CPRT,0.06862537496390533,0.2619644536266425,0.23264230892019894,0.24724554633267687
KMB,0.0011722444447789073,0.03423805550522557,0.026740885588887,0.02538586788870552
MCO,0.8396889790285194,0.9163454474315456,0.7952694731485731,0.6786175260951354
TTWO,0.010457699432522036,0.10226289372261102,0.08120433342885358,0.06377048940240283
APD,0.493363893140803,0.7023986710841664,0.6117133839916101,0.5221436972699643
ZION,0.23281810947078443,0.4825122894505221,0.4072468226557217,0.422980060996148
TJX,0.25154287433186034,0.5015405011879502,0.45252031931502035,0.48304020221062743
GM,0.062464674877570577,0.2499293397694048,0.23430037476214025,0.28376025135728766
KR,0.13069405951765795,0.3615163336803165,0.30472795254554336,0.24865683538610533
CMA,0.21191675814205452,0.46034417357239843,0.39051035899697795,0.3860019004897001
