,mse,rmse,mae,mape
AAPL,0.016834096888412836,0.12974627890006263,0.10896624424946427,0.09223105338376726
NRG,0.03162315107317883,0.17782899390475906,0.13658176067175135,0.1362257539342767
LVS,0.19717839269409504,0.4440477369541422,0.3636539960527714,0.4416108800372247
BWA,0.15274613250873786,0.390827497124675,0.3104706939517789,0.30047229113908314
MCO,0.3188340980229745,0.5646539630809072,0.5020300361426239,0.4351280989387621
PVH,0.35757507048479514,0.597975810952914,0.5366552034714845,0.6067042278566481
SPGI,0.7590111697623739,0.8712124710783093,0.7653789677200953,0.7164021155783499
XYL,0.0202797381314983,0.1424069455170579,0.1136947576296123,0.10791684148317705
DGX,0.0015577784827172621,0.03946870257200333,0.03356627711079555,0.035469410058310516
NFLX,0.11900759500316041,0.3449747744446837,0.2760804553417665,0.2787180875434971
TMUS,8.660429029836049,2.942860688146153,2.557422909423715,2.894796146699088
META,1.1391021471476035,1.0672872842621164,0.9241804106554737,0.7515286472585543
KLAC,0.2067510690419276,0.45469887732644293,0.39711230451238555,0.36716789031378466
BKNG,0.009490858694896558,0.0974210382561003,0.08484300992835905,0.0827326490619112
ECL,0.04529121167290941,0.2128173199551893,0.18365361088127533,0.18085358243711447
CHTR,0.009095541028787808,0.09537054591847426,0.08007426832063647,0.07865462704992118
DVA,0.1967780460434541,0.4435967155462877,0.3792023814857803,0.3293237375407552
WYNN,0.7320994740001376,0.8556281166488965,0.6921256943363422,0.7319759803860965
AIG,0.09576587440414844,0.30946061850282086,0.273532563513135,0.26929575517955245
ORCL,2.008673066344561,1.4172766371970438,1.2294627050607245,1.1553763815686435
TPR,0.07732355624136071,0.27807113521788035,0.2544671834840985,0.3904595979346873
MMM,0.5870569252762332,0.766196401242027,0.682936331930002,0.6559019519472837
GLW,0.03157853551712737,0.1777035045156042,0.12425719448904822,0.1100886124750252
MRK,0.06242885034571055,0.24985766017016678,0.19637397021835537,0.16866660826366867
AEE,0.03270843998588501,0.18085474830892612,0.1466919010404461,0.13441573439231627
DD,0.21229134397151078,0.46075084804209615,0.3796624590265278,0.343091240227274
HST,0.46411350007862084,0.6812587614692532,0.5939138298937415,0.5222299375182765
GIS,0.037427732266786966,0.19346248284043852,0.16246238662944842,0.1615261253304467
ILMN,0.23770921871158257,0.48755432385692427,0.4107866711258475,0.2674150763429455
VRSK,0.01709285449710981,0.13073964393828602,0.12245319307677269,0.13662403099468323
NUE,0.31553155664379934,0.5617219567043817,0.5017964016915677,0.527776752219407
CSCO,0.39715716124404643,0.630204063176402,0.5492227181405765,0.5245967490418881
WY,0.26338933018729416,0.5132147018425077,0.46515071317401485,0.4515840931780618
BMY,0.369997498051032,0.6082741964369621,0.5421366495707677,0.5580583456022967
COO,0.058149327486929615,0.24114171660442665,0.2152565272374883,0.19440560181916294
ALGN,0.05366044533600773,0.231647243316228,0.2100388702828683,0.23273136684891232
EXR,0.003653228536380955,0.0604419435192231,0.054857565503922755,0.05085645191951405
ODFL,0.003806188575007387,0.06169431558099488,0.0506254076684876,0.04345249109010897
QCOM,0.0072933382710732905,0.08540104373526877,0.06208109361639519,0.062043343462651834
NOV,0.031610854345316304,0.17779441595650947,0.13492467078934728,0.14523673315951222
ATO,0.04799322265323394,0.21907355534896022,0.18433137651896112,0.1709868105157813
TFX,0.004784374921998147,0.06916917609743625,0.061767024470599466,0.05619821218783984
PNR,1.4311673269705452,1.196314058669606,1.0310555459730026,1.1661529033153244
AAL,0.03527271070324515,0.18781030510396693,0.1617532570518094,0.1134843495679164
EBAY,0.3106914964202657,0.5573970724898595,0.4872687514527746,0.5098904453440549
UPS,0.11169143902928425,0.33420269153506865,0.30729498226144436,0.318643575494885
VLO,0.24790512314244117,0.4979007161497573,0.40569680269641123,0.4045328112336689
WMT,0.10232982809487623,0.3198903376078687,0.2891049844313233,0.3017453241663231
MAS,0.3027961305951618,0.5502691437788982,0.4879024814679797,0.4909848931084088
K,0.020206031079630798,0.14214791971615623,0.1136233118679674,0.11437034328970169
AIZ,0.1115837791562614,0.33404158297472697,0.2925908025405884,0.29397172036483127
JBHT,0.0872376064184961,0.2953601300421167,0.26752842983287456,0.27061656659211514
TSN,0.053149869901950995,0.2305425555118859,0.21489247671953024,0.18294892331143076
TT,0.9354175658115884,0.9671698743300415,0.8504649230968254,0.8670551398590776
LHX,0.6380375859797023,0.798772549590747,0.6831065920365376,0.6801595460462942
ROST,0.19940640271479856,0.44654944039243694,0.4093941541614653,0.4519979970020726
O,0.04391586361472958,0.20956112142935668,0.19073208747481712,0.18460878647760384
BKR,0.1191693508246452,0.34520914070262565,0.23101866387998224,0.22865312383447386
ETN,0.7067283124451027,0.8406713462733832,0.7302058430649299,0.8116058260897646
MCK,0.0015930524717121205,0.03991306141743728,0.03301957181994738,0.029716309270450228
IVZ,0.13191110948974616,0.3631956903512845,0.32963227097902614,0.31607713349646926
GS,0.020385265093363726,0.14277697676223478,0.13545814891834024,0.13963246479594205
DXCM,0.03030536724576139,0.17408436818325013,0.14841328489837716,0.13497431975392907
DRI,0.9893818923507885,0.9946767778282494,0.8908765188073469,0.9621319453310406
PPG,0.0723984420521456,0.26906958589209895,0.23260925925169001,0.2177774109824893
VTRS,0.010197452156617007,0.10098243489150481,0.07732877175969667,0.06882828340116157
MCHP,0.5273495872953278,0.7261883965578958,0.6145596787964913,0.6041663977291934
PSX,0.3227353490111412,0.5680980100397652,0.4756798769372147,0.46757352717652084
FDX,0.09710924218855352,0.31162355846205453,0.29215924550161876,0.2763311395879818
WHR,0.23982527548758042,0.48971958862963655,0.4496652780038152,0.46239902652409487
KO,0.3753995748823956,0.6126986003594227,0.5461952371235139,0.5430123613933033
IRM,0.17792946083016328,0.421816856977247,0.4000731346323965,0.3662356386328003
UDR,0.001447196101461177,0.03804203072209969,0.031577898963487026,0.02854479056323459
OMC,0.5976660451271936,0.7730886398901445,0.6772706703318849,0.7003888203953712
GOOGL,0.1514629695296982,0.3891824373345979,0.324618881960525,0.3250096657385412
HPQ,0.04868540989296359,0.22064770538794096,0.1852315852395249,0.14914472989007072
CCL,0.5820032760676664,0.7628913920524116,0.6722740328344591,0.6877902737312033
NEE,0.030054630369099476,0.17336271331834732,0.13438172555000213,0.12160282478000167
LYV,0.324036029318766,0.5692416264810278,0.4815007396211038,0.40241016104598065
SPG,0.028909444695277738,0.17002777624634668,0.14869764706492425,0.13160040554661256
TAP,0.019522031332624253,0.13972126299394896,0.11878605330872895,0.0986805407223312
ITW,0.21126435525722922,0.459635023967092,0.41025553526799957,0.393238947543563
BAC,0.00779928856456788,0.08831358086142742,0.07255746453916295,0.06834302718390567
AMZN,0.2735574675255806,0.5230272148995505,0.47238775577441977,0.5928246286127842
SRE,0.041918882513293836,0.20474101326625752,0.17506359080992034,0.15445013321539316
GL,0.09058019142012229,0.3009654322677644,0.2631870295432363,0.25899962737701016
XRX,0.316352014917846,0.562451788972038,0.5107759614713432,0.489007412371015
JNJ,0.0016702757092018747,0.040869006706817264,0.03572943275564204,0.033481161874982714
RMD,0.0645687644958968,0.25410384588962204,0.21191954510034505,0.2347009862181103
MGM,1.0058897021280406,1.0029405277124066,0.8354971672847841,0.8461574978462999
PGR,0.2607527788408186,0.5106395782162,0.4688492636326477,0.5257219174014672
NKE,0.043912392246203705,0.2095528387929968,0.19697973089836326,0.1958105776004315
BK,0.14619548835394666,0.3823551861214212,0.34859853689022313,0.32561206109665175
MHK,0.33618654855897134,0.5798159609384441,0.5157793872720602,0.5482896776064631
LIN,0.3249197824548039,0.5700173527663908,0.4931453671614471,0.49718906667581403
CE,0.05238990890191125,0.22888842020056685,0.19770630530987296,0.18993582052041744
AWK,0.024491971641370274,0.15649911067277755,0.13565093079504237,0.12017927981938545
GPN,0.12472049630148199,0.35315789146142834,0.3051001687233593,0.26796526574875235
MPC,0.15397797795129398,0.3924002777156178,0.34333471357515105,0.3598366928786981
APH,0.06874048461426661,0.2621840662860095,0.2304620488926682,0.207155998543315
LYB,0.11243324845676254,0.3353106745344719,0.23297849350374422,0.21063737705347838
ADI,0.3314826472152894,0.5757452971716654,0.4985172724306703,0.49670756796388105
HD,0.12797789007361546,0.3577399755040181,0.3301303859126694,0.31246911269177013
TER,0.515524118645756,0.718000082622388,0.6017581008844022,0.5585178001365766
FFIV,0.4974762324553569,0.7053199504163744,0.5891785406821265,0.45657260491707385
MAA,0.006451470559647168,0.08032104680373114,0.07163643370053495,0.0677290798587447
PM,0.09580658391491673,0.3095263864598893,0.2789417988831308,0.30119723272726756
DAL,0.6021859421380508,0.7760064059903441,0.6965722812603122,0.5185378129219759
SYK,0.1331901880824306,0.3649523093260688,0.3106293525847937,0.27623931579729843
MTB,0.08806140954242823,0.29675142719526765,0.2581051839600145,0.24653686108855602
MO,0.016987976093928246,0.13033793037304314,0.12573467838914157,0.11623183035394893
TSLA,0.29997903880010557,0.5477034223008886,0.4378608730250332,0.3538136147998462
DUK,0.002494394722561338,0.04994391577120619,0.03243103752029882,0.030273415646793346
NEM,0.038562927861558995,0.19637445827184094,0.17707452647529118,0.21138948931778329
ZION,0.17637333411222486,0.4199682536957107,0.3579402661441879,0.3731067219336848
CBRE,0.1694506188364635,0.41164380092072744,0.3568478444016948,0.3069232492852277
LRCX,0.18665737361611034,0.43203862514375996,0.39800432431800564,0.3215609057973306
EW,0.11971864872879596,0.3460038276215972,0.26933695734304297,0.20202466208415307
AEP,0.001597157756323166,0.03996445616198432,0.03337733234102039,0.029853425605107262
FCX,1.9141607540971204,1.383531985209276,1.205679141126367,1.476677281129194
SNPS,0.49424571566393,0.7030261130739953,0.6215309206548317,0.629113175352293
KMX,2.0674911800731035,1.4378773174624822,1.2278137228775294,1.2500633893677775
AAP,0.13024878035144907,0.36089995892414434,0.30792444304325234,0.25194432248785653
PFE,0.0171699423311028,0.13103412658961328,0.10990085051204034,0.11882202819923084
EOG,0.20934305346534005,0.4575402205985175,0.35450438551603825,0.33959695938738477
BLK,0.5394718430335785,0.7344874696232595,0.6560212336071808,0.6432484807470654
ES,0.022726891666242127,0.15075440844712346,0.12624340309332616,0.11791158007202589
DE,0.0300420084879019,0.17332630639317825,0.15077741211650553,0.15897776535064212
RJF,0.37928720587378256,0.615862976540872,0.5426966571863142,0.5333840094939373
EXC,0.1771100353683845,0.420844431314452,0.38121901360343835,0.333227564544348
LLY,0.05544668608677275,0.23547120012174047,0.19437317222633557,0.15555650045637937
IEX,0.12402910930728693,0.3521776672466426,0.3049630138461439,0.2995877555974265
TDY,0.15180947229850816,0.3896273505524325,0.33802001283960526,0.32214604875301617
CBOE,0.030806445369448137,0.17551764973770625,0.15387600219788575,0.1555639711154871
CTAS,0.12139185836912547,0.34841334413183067,0.3179705268775033,0.28742790424027037
SNA,0.149010636225905,0.38601895837627587,0.3450096917318325,0.306356109130268
PG,0.002245213341303044,0.04738368222608964,0.03530243329355499,0.03556783522392907
WU,0.06771258383532709,0.26021641730553263,0.23801092271974442,0.2733350215076255
WBA,0.009717465000425585,0.09857720324915688,0.08914060385635526,0.08124420091126698
FAST,0.010001852699512587,0.10000926306854074,0.07808091032311261,0.08869137195466968
DLR,0.06635848453778279,0.2576014063194974,0.2196878506766619,0.20398953042159942
FTNT,0.16499427922434076,0.4061948783827053,0.33983688390366407,0.29378643426612316
AJG,0.07511634140942292,0.2740736058240978,0.241299754424969,0.25062610064727137
ADM,0.3697286168901001,0.6080531365679319,0.5480857873977025,0.5056966388777888
AVGO,0.5736070995603003,0.7573685361568041,0.6643725870026803,0.45300553844072594
CVX,0.31910090650332074,0.5648901720718115,0.4940026153856971,0.5202227955275603
JCI,1.0468566924749358,1.023160149964284,0.8832194017346339,0.842400418252834
NTRS,0.7499040146511492,0.8659699848442493,0.7586175129769916,0.7165565228739557
NWSA,0.09855110011835344,0.31392849523156297,0.2687993318124062,0.2959604134547562
TXT,3.300416821471906,1.81670493517024,1.5780738398888163,1.488137398478419
VTR,0.012516371957379622,0.11187659253561319,0.08968755551608469,0.09183367329069307
LNT,0.0074557258475704,0.086346545081841,0.07219126951825845,0.06460399810026007
ADP,0.1931170692893157,0.43945087244118164,0.40239541470198004,0.3919196026219354
ZTS,0.06729401918521277,0.2594109079919593,0.24575317840856234,0.2423786391932815
BAX,0.3451135759338394,0.5874636805231788,0.506114874483372,0.48399091962939567
URI,0.41571282257975467,0.6447579565850697,0.5373137686236213,0.39706508240250915
HSIC,0.07640963204170907,0.27642292242451433,0.2422036301695832,0.2304465569636333
ABT,0.22167961460631194,0.4708286467562397,0.41660064309485706,0.3822972331681452
RCL,0.5870356445830891,0.7661825138849679,0.6767018669976947,0.5186634058585798
ETR,0.016130957261546647,0.12700770552036064,0.10760028838080664,0.09682889334931363
