,mse,rmse,mae,mape
FITB,0.7435124461570096,0.8622716776961943,0.7235225329821563,0.7383981311669058
EVRG,0.013470443403497775,0.11606223935241718,0.101266434717928,0.08612066032121614
C,0.11041404097541728,0.33228608302999585,0.3055994130393074,0.3218118392447149
RSG,0.2705329964834198,0.5201278655132984,0.44296253410949443,0.39948581767222835
LDOS,1.5470155133461105,1.243790783591079,1.0944345747745312,1.3664047073757628
MSI,0.06815858232427163,0.26107198686238176,0.2356584549146243,0.24582656099798172
SO,0.0010488972538021154,0.032386683278812535,0.023434691250694854,0.021614989098225842
MOS,0.2113184448440511,0.45969385991554323,0.383642483406256,0.4020461745065562
PSX,0.4618171836550519,0.6795713234496081,0.5674860982536654,0.5479123710772743
GS,0.3523691575922915,0.5936069049398697,0.5382511077340575,0.5364545160465527
HON,0.46428358192477015,0.6813835791422994,0.5870612187929107,0.5584507691744116
ADBE,0.18324782673582002,0.4280745574497742,0.3617207781495493,0.31487016879080487
LLY,0.013703944999555054,0.11706385009709468,0.10536898954694346,0.08358474589395322
FLS,0.3138862071405076,0.5602554838111873,0.4836280607978492,0.5485830982955878
HCA,0.2894481343306426,0.5380038423010031,0.44812622929906437,0.3360676847220139
LVS,0.14007369639247153,0.3742642066675245,0.3077097559461296,0.3669756366948603
DUK,0.04973289067131786,0.2230087233076721,0.18307120293299434,0.16786241150418038
EXPD,0.026034436656126696,0.16135190316859202,0.13691111851691554,0.14693143233968498
AEE,0.017580379277873603,0.13259102261417854,0.10845629683041938,0.09629982872098165
ESS,0.9121679262623662,0.9550748275723564,0.848600030154939,0.7227126538206984
ETN,0.4843140821173429,0.6959267792787851,0.6100973971416185,0.6643270259509713
O,0.01264427458791002,0.11244676335008501,0.1022730466386014,0.09487266782972695
MCO,1.3883917974399522,1.1783003850631435,1.0122575148394841,0.8621021411497869
NFLX,0.16756597529176617,0.40934823230565703,0.33165001812260547,0.33189052435423677
COST,0.020594183214626433,0.14350673578137868,0.10046939943715068,0.09589296348079974
TYL,0.018349549776590247,0.13546051002631818,0.1079370101490076,0.125091489179746
TTWO,0.005736548847574533,0.0757400082359022,0.058632983050625864,0.050557205016587725
CSCO,0.04968651433549957,0.22290472030780228,0.1968935679620423,0.18475783468435972
VMC,0.12590499266342167,0.35483093532472854,0.2989659696526591,0.28067245198789936
EOG,0.21242735262383733,0.46089841898604655,0.3577148037980916,0.3411727202340239
WMB,0.1938121848051391,0.44024105306654343,0.35171627460878735,0.27271546960583193
AMD,1.4469765155062841,1.202903369147449,0.974335147400464,1.2371803581232657
PCAR,0.25449891675693237,0.5044788566004846,0.4246218855873791,0.3922301550792423
AEP,0.029049225887521866,0.17043833455981042,0.14881889174755947,0.12805768960139322
