,mse,rmse,mae,mape
FITB,0.3883301192590933,0.6231613910208922,0.5262363862839015,0.5369193333091485
EVRG,0.011255167866184858,0.1060903759357316,0.09218497631981681,0.07836827157825522
C,0.13823241506466719,0.37179620098202615,0.3402413663024185,0.3579584762214607
RSG,0.26647183255196505,0.5162090977036002,0.43954811370302027,0.39639209389235874
LDOS,1.4371513624308372,1.1988124800947133,1.0574353224538697,1.320011194436654
MSI,0.0672932548041177,0.25940943468601463,0.2343630137551582,0.24445947915508087
SO,0.0015251551900608618,0.039053235334103396,0.029149009045542844,0.026945070911019407
MOS,0.27559609078047886,0.5249724666879958,0.440965463952851,0.4617475247501719
PSX,0.2083849943583344,0.45649205289723765,0.3790511626292333,0.3672807424921524
GS,0.3006504669824435,0.5483160283836718,0.49962428886160903,0.4985960341162248
HON,0.45706610198411557,0.6760666401946746,0.582467156688438,0.5540839796315501
ADBE,0.17059514562668776,0.41303165208817566,0.34876481271674376,0.30367255583934505
LLY,0.021365441678349032,0.14616922274661323,0.13092046035947605,0.1035842701308067
FLS,0.3157531606426512,0.5619191762546026,0.48505310181499034,0.5501995339178133
HCA,0.29170641904777633,0.5400985271668275,0.4496867548562873,0.33718784535871865
LVS,0.12495992492804771,0.35349671133979127,0.2912342270119927,0.3471526469377584
DUK,0.04889985549178799,0.22113311713035655,0.18131155481151678,0.16622351242441827
EXPD,0.02555695988668554,0.1598654430659908,0.1358668417446593,0.1458236217691907
AEE,0.02226659043425674,0.149219939801143,0.12142779339207702,0.10765374643350212
ESS,0.8868530236054186,0.9417287420512441,0.8369800524445696,0.7128583455111889
ETN,0.46386891928989704,0.6810792312865641,0.5970846887342974,0.6501926611735005
O,0.00990295776530061,0.09951360593054906,0.09014425660775971,0.08365308227050233
MCO,1.2110475982192985,1.1004760779859317,0.9483514723771885,0.8082347679784121
NFLX,0.1609547096016345,0.40119161207786297,0.32473561870349116,0.32533015971671686
COST,0.017078888151123017,0.1306862202036734,0.09082440203095836,0.08662041302810436
TYL,0.020131220621013367,0.14188453270534238,0.1167911531850695,0.14000798951787535
TTWO,0.007713038084367087,0.0878239038324253,0.0729260060035282,0.059281664674559184
CSCO,0.0385550942714695,0.19635451171661297,0.17376193308783525,0.16327414076562044
VMC,0.11093007447590553,0.33306166767718187,0.2814714481287324,0.26419004801206647
EOG,0.22718277786938754,0.4766369455564555,0.3742370092602882,0.35654991097333805
WMB,0.2394402152370796,0.48932628708979,0.3977333040834911,0.3068460002470705
AMD,1.3497466750622555,1.1617859850515737,0.9413084304285311,1.1958240645551304
PCAR,0.2603575393139586,0.5102524270534718,0.42929171344651235,0.39654782965567514
AEP,0.025712308619936567,0.16035058035422436,0.14009734422299633,0.12055084364441396
AMP,0.8208291493972595,0.9059962193062725,0.7966522356819595,0.7446512451212526
WYNN,0.6834256527126565,0.8266956227733739,0.665790914610683,0.689925685178525
NI,0.08352458306598179,0.2890061990096091,0.25063313017685174,0.20586021073015096
CDW,0.04618298803294592,0.21490227554157243,0.1910422317623357,0.14297921013592213
WDC,0.858946779419486,0.9267938171025344,0.7896530550097927,0.6792487573125553
SLB,0.024641148933323018,0.15697499461163558,0.1003294631313498,0.10026080660183082
HII,2.526671604867309,1.5895507556751087,1.330254515910012,1.1760345749008325
LRCX,0.11269264318556987,0.33569724929699657,0.3158241704659684,0.25463039584415154
SWK,0.0852663476354234,0.2920040198959997,0.2404458536653605,0.24195486322861023
TSCO,0.035762651100626895,0.18911015599545916,0.17245879316946827,0.20099956418669906
BAC,0.2673661026842272,0.5170745620161827,0.4359128647827825,0.42181583028454195
GILD,0.06896155351868984,0.26260531890784283,0.20667180994424322,0.1592646062304199
AZO,0.18054737911547772,0.42490867149950906,0.34470431560396675,0.3058761976079685
TSN,0.12533465935335217,0.3540263540378769,0.2790943442998598,0.24035868611986969
WBA,0.02030727763212921,0.14250360568115183,0.12269438348009173,0.10619170670614089
FANG,0.32094710321685893,0.5665219353360106,0.41138768339501675,0.355383231480361
RF,0.45503432647929176,0.6745623221610378,0.5509260698120303,0.539552407303778
XRAY,0.036453416750093615,0.19092777888535134,0.17750789785883087,0.18269280433702653
NVDA,0.11025994014808527,0.33205412231756026,0.2526823095885092,0.21190593102499797
CHRW,0.06263102835071839,0.25026191949779014,0.1985187632972224,0.1759421506601272
STT,0.057581247887947884,0.23996092991974316,0.22553099236829394,0.23349338814574128
VTR,0.0008454611982586806,0.029076815476573092,0.02321149947551254,0.02348939462325499
ABT,0.08968609006109418,0.2994763597700062,0.267681112394469,0.24227787713472826
BWA,0.14827449362908612,0.38506427207556676,0.30558528270453433,0.2939833052127908
GWW,0.13699671202494848,0.37013066885216156,0.3142671535204622,0.3381290243013888
CCI,0.3034027689288869,0.5508200876228888,0.47368580085063494,0.4589348605077519
DE,0.9347929306523326,0.9668469013511564,0.8263248927217629,0.8559759980528499
MAA,0.33009790768191344,0.5745414760327695,0.513711824677184,0.47015158256602807
T,0.062147949375170736,0.24929490443081812,0.22077272854615304,0.22103651031776017
EQIX,0.029689843674930168,0.17230741038890396,0.15008218921331545,0.1290263344880597
LEN,0.40812254073494453,0.638844692186563,0.5696135875245372,0.5501889768274573
VRTX,0.050886956313755644,0.22558137403995845,0.1915498283861776,0.18156156323133898
PAYX,0.4546140144453867,0.674250705928727,0.6142383910264286,0.6330494382764825
DOV,0.47979890293088384,0.6926751785150698,0.5960477086700268,0.5852532063752232
DLR,0.5681042715197538,0.7537269210528132,0.6234743275552002,0.5431555430611372
MNST,0.26806986785251113,0.51775464059003,0.4724963643539586,0.40135509441364553
KIM,0.40438740308122223,0.6359146193328332,0.5587361737488777,0.5001476077286219
VLO,0.07782029803629571,0.27896289723957146,0.22027991221935966,0.2174785218338919
EBAY,0.22481991153159667,0.47415178111191003,0.4163495295605647,0.4359471303803205
MU,1.2260528138483224,1.1072726917287912,0.9667473650564086,0.7192337503769017
PGR,0.011143202897922231,0.10556137029198812,0.10183310577727406,0.10902810499659187
MSFT,0.3424634338738042,0.5852037541521792,0.4995460555769315,0.4253249622019771
ZION,0.13390335399506598,0.36592807216045337,0.3052683552205174,0.3174823804318367
NEE,0.0025303635108294433,0.050302718722047654,0.04478778575392349,0.03985417778439245
GE,0.15677890805717828,0.3959531639691471,0.3616942473701652,0.38283471430154153
NUE,0.08171686774636779,0.28586162342358545,0.2618859273964005,0.27075033180977476
ILMN,0.08113167683337183,0.2848362280914628,0.24969050934664835,0.163744717797404
CBRE,0.0052408761335238285,0.072393895692412,0.057166404955673475,0.051684263170793186
KEY,0.49363346539655745,0.7025905389318571,0.5961666371760217,0.588759529010935
