,mse,rmse,mae,mape
AWK,0.0007656174629628831,0.02766979333068614,0.02331183453472977,0.021063603787275443
IBM,0.4023440618836189,0.6343059686646649,0.5426714631539126,0.56516477369604
SEE,0.30317035515424007,0.5506090765272945,0.5014338442473247,0.48447916497944543
UPS,0.040184576096471,0.20046090914807055,0.19188540222737555,0.1966687138706683
FCX,0.7594977784916945,0.8714916973165576,0.7614027064117458,0.9114180154877592
J,1.036646220843669,1.0181582494109986,0.87749179265417,1.1122025829106899
BLK,0.19747475648418933,0.4443813187839801,0.40677676336744556,0.39497099565202115
WELL,0.31110114483748663,0.5577644169696437,0.4886436078671928,0.4625844766866124
MSI,0.04312507845652617,0.20766578547398262,0.1878576278236477,0.1961909359021864
CBOE,0.011975401875859786,0.10943217934346271,0.09022372997692195,0.0918934451975224
LMT,0.2537661022892465,0.5037520246006427,0.44020365488245844,0.368689069914069
ROL,0.14855000417860517,0.3854218522328556,0.347000511569227,0.3435309167728091
CB,0.021127256913726498,0.14535218234937686,0.1415334764714314,0.13806800937740288
SYK,0.025883850364727186,0.16088458709499548,0.13883314085764442,0.1230186953590488
UHS,0.3427822598119926,0.5854760967042059,0.486608149330215,0.3963746093507626
LYV,0.206773992500358,0.45472408392382074,0.387188806831605,0.3241692767068186
DXCM,0.02148802173993318,0.14658793176770446,0.11932075573138166,0.10357576301147493
XEL,0.06520640687492633,0.25535545201723486,0.22211933942069054,0.19499885420212698
K,0.06277024251127307,0.25053990203413323,0.21873590157886408,0.2107290130745358
CBRE,0.08265382472761323,0.2874957821040393,0.25370506469309984,0.21939065583535777
CNC,0.2775290434545149,0.5268102537484581,0.43769477996928036,0.3549026810275546
VZ,0.013122195697993841,0.11455215274273042,0.09176433145611587,0.09164503388382529
YUM,0.022384867662315122,0.14961573333815906,0.12573027644329077,0.13243651704488263
CRM,0.07012423389550995,0.26480980702290835,0.23318782747670608,0.23642564681591716
TROW,0.3033344054471532,0.5507580280369531,0.49155425549600185,0.5009332421950065
IVZ,0.028520191750241185,0.16887922237575936,0.1586564701325986,0.15223304391421744
WU,0.027765437215472522,0.1666296408670214,0.15710838198294766,0.17762412324638174
LIN,0.05027724953952338,0.22422588953892764,0.1956828734923887,0.19502483300419332
WEC,0.026129965840406173,0.1616476595574652,0.14022016021708428,0.12319383640201528
ESS,0.7332209247384192,0.8562832035830313,0.7615435410436365,0.6486634105200417
VLO,0.1204690703984952,0.34708654597736166,0.2798281852522705,0.2755096199219146
ADSK,0.1859938315163292,0.4312700215831483,0.38038537692333513,0.3488220212839889
COST,0.06474584207837393,0.2544520427867969,0.19175798003589134,0.1853043925807974
VTRS,0.07689212544548908,0.2772942939288313,0.24945856128348068,0.21517610005263857
TSLA,0.15098168625543812,0.3885636193153421,0.30692184092853697,0.2504025602117978
ROP,0.2707553888634361,0.5203416078533756,0.4667953665899076,0.4396572469444487
ADBE,0.0540140337750547,0.23240919468698887,0.1979021124353416,0.17359755645703773
ODFL,0.008786866764029498,0.09373828867666349,0.08440863326835822,0.07131915786542779
REGN,0.3322103661151641,0.5763769305889715,0.49083337727860615,0.4368829579532326
STT,0.01975069770348704,0.14053717552123723,0.130819779720851,0.13776591956878
NOV,0.10297268737209404,0.3208935763958108,0.27087761084027967,0.26746709828928805
CMS,0.017230776269790162,0.13126605147482026,0.11155659401216275,0.09735895990583658
AON,0.006282231917067098,0.07926053189997591,0.06498949512688197,0.06078752038148651
GE,0.15603065096250218,0.3950071530523241,0.35965630783033414,0.38074577848316166
ECL,0.04217415372548404,0.20536346735844727,0.17459486484659395,0.16834521448988404
APA,0.01816111901527131,0.13476319607100193,0.10328369074081345,0.10944154050916226
IPG,0.1396467731597244,0.3736934213492718,0.33235440837292374,0.3093539437368606
BA,0.014291211685755836,0.11954585599574682,0.11182742651870013,0.12136641938637154
CSCO,0.04971019447101187,0.22295783114977566,0.1966486636145165,0.18451628248472385
NWS,0.012377743655446536,0.1112553084371552,0.09246911259536701,0.10626276545683175
CDNS,0.0016828519362845067,0.04102257837197105,0.03255607766559313,0.029092029260828538
TFC,0.2717695550579246,0.5213152165992516,0.4499628815131867,0.4357450024727642
D,0.028108072080854578,0.16765462141215964,0.15169123822716848,0.14085024050388228
IDXX,0.007039313536763215,0.0839006170225417,0.06124522834451981,0.053969367008243584
KEY,0.06012736652120736,0.2452088222744185,0.21302488354779073,0.21077009515679454
COF,0.19656927635789462,0.44336133836622993,0.39684797493659724,0.3751508723158277
DPZ,0.039630179635149275,0.19907330216568286,0.14815544608768885,0.12371248291714365
EFX,0.021076958893126687,0.14517905803912176,0.13126058964317336,0.12182893445232328
PCAR,0.1214256778634676,0.3484618743327132,0.29419358181427785,0.2719511334642237
CMCSA,0.19928194557839968,0.44641006437848113,0.3956285045335953,0.3784708173689025
HAS,0.23087827127108904,0.48049794096446347,0.42897804673494105,0.4249852505929084
BKR,0.05049399284727075,0.22470868440554484,0.14730573677578723,0.14592079637792307
PLD,0.013227955769174089,0.11501285045234766,0.10606646664591217,0.10276282241904922
EXR,0.005736324584153602,0.07573852773954351,0.06894914061982184,0.06129961149622342
LNC,0.004021763790070395,0.06341737766630212,0.05012286541035693,0.05183702046636513
XRAY,0.005607014123153241,0.07487999815139715,0.05395414573965548,0.05336907375152176
SBAC,0.015459079284414468,0.12433454582059834,0.10324467005116462,0.08787378379991603
KMI,1.122141701869708,1.0593119001831839,0.9508913139854788,0.8986800288163543
KMX,1.380551199700335,1.174968595197478,0.9975996696541889,1.013644716782269
AXP,0.23815423442506137,0.4880104859785918,0.42903043616251857,0.4275620727199672
PPL,0.07122430293198649,0.26687881694129734,0.2363083606928641,0.20595970444525993
WBA,0.038311278118677954,0.19573267003410022,0.1758217852103236,0.15347034041408608
CDW,0.0559879730135647,0.23661777831254502,0.20900029250567054,0.15599812121889575
CHTR,0.019170740928445274,0.13845844477114885,0.11711262554220501,0.10680215675130025
CAT,0.12623795712888658,0.3552998130155525,0.2862657695174239,0.2555719897826092
ACN,0.7705633319537544,0.8778173682228864,0.7747552384445022,0.773407750027257
ABBV,0.03927059555858967,0.1981680992455387,0.14678238089013507,0.1284656263465021
AAP,0.05055248306385491,0.22483879350293381,0.1961551697375582,0.16149618156186146
F,1.086861761405611,1.0425266238353872,0.9175428248426168,1.0072350820408238
ROK,0.44969737471537363,0.6705947917448909,0.5762157062169792,0.5860451864547752
MMC,0.0038228239686826015,0.061828989710997234,0.05612425039859165,0.053063411885556036
BIO,0.034228075498051715,0.1850083119701699,0.15813688922042765,0.16695380860113826
OMC,0.2502700623341074,0.5002699894398098,0.4448515286747551,0.45399580719371463
XYL,0.0030253833141055575,0.055003484563303416,0.04308063225362842,0.04059097261857595
TEL,0.011512679055045778,0.10729715306123354,0.08061614977202351,0.07340350532967026
WAT,0.004934310403431491,0.07024464679554943,0.06205779199363318,0.06301883192281096
XRX,0.12712630095262398,0.3565477540984152,0.332218333875462,0.3176282815582669
CSX,0.004599033798839279,0.06781617652772294,0.05815870500333111,0.05417766529594511
NOC,0.1487027217286357,0.3856199187394703,0.3433186395874041,0.3035518116026331
JPM,0.049141893125625315,0.22167970842101295,0.20062723990770007,0.19693388534947645
NDAQ,0.05060087528386648,0.22494638313132861,0.21065915527024745,0.20810742427323126
NEM,0.09004719259900333,0.30007864402353485,0.2704427441134165,0.32356764677369954
MMM,0.5659401356909445,0.7522899279472938,0.6764701640961159,0.6398553719643881
CLX,0.0935695881498565,0.30589146465675776,0.2415249574571077,0.23741999401946445
SLG,0.032576823782736894,0.18049050884391926,0.15706105935120285,0.13710962986108918
COP,0.04370921575435085,0.20906749090748386,0.17569531457645235,0.16450455383730175
TJX,0.056615573317303554,0.23794027258390613,0.2212718529495652,0.23902731108934913
TFX,0.17380734858830563,0.4169020851330749,0.3645543513455721,0.3269063647743725
STE,0.14461337123257773,0.3802806479859023,0.3521570942460569,0.30612064771689323
MA,0.4185352680312113,0.6469430176075875,0.5876469614926488,0.6297732780036932
FMC,0.029996970478914413,0.17319633506201687,0.13227777885909842,0.1637337189655547
ADM,0.09595053233007975,0.3097588293012481,0.28866030599623055,0.2661250950846145
AMD,0.20179426741285236,0.44921516828002633,0.3561664036238537,0.46387528855168014
EL,0.0032983266593584934,0.05743106005776398,0.04465717197145719,0.04728985064527078
EIX,0.030899186474918298,0.17578164430599202,0.15881028489815352,0.13229682467991036
AIZ,0.03489756467796678,0.1868088988189984,0.1672146576924802,0.1664719883905898
HCA,0.17820002568636134,0.4221374488082778,0.34485255626521294,0.2567171335995107
ROST,0.07052235546318203,0.26556045538291656,0.24779244615530138,0.27609182583260233
NWL,0.07529898205118021,0.27440659986811583,0.2571251015888367,0.25406803621201746
SRE,0.01446109795434483,0.12025430534639843,0.10457405609595888,0.09072344637356686
PNC,0.0010592939946690602,0.03254679699554259,0.02559334577294166,0.023163126938780428
REG,0.22591059696942245,0.4753005333148938,0.41307219350743907,0.3739046269517038
KLAC,0.01386196728970797,0.11773685612291493,0.10316292216316754,0.09522272433366566
PWR,0.3782107428550641,0.6149884087160213,0.5074570600320494,0.4876566365618714
BXP,0.0009722662610262254,0.03118118440704627,0.027330907546604766,0.02448526997422683
HD,0.006826620869313329,0.08262336757427241,0.07190199025429761,0.07091596927296745
CMI,0.18078199559908076,0.42518466058770366,0.3666938459320949,0.3555525958057822
NWSA,0.0023340379567204535,0.04831188214839548,0.04249827038919203,0.04608978695343137
BEN,0.23854962444087294,0.48841542199327914,0.4414363502887508,0.4584043318336173
DAL,0.8092665829164549,0.8995924537903011,0.8030200825719008,0.5943337059259066
NUE,0.0715929007043557,0.26756849721960113,0.24609444413785317,0.25458876522273344
TER,0.04315696944793956,0.20774255569800704,0.1740221384042572,0.16182710699707148
DHI,0.6468904274584679,0.8042949878362217,0.6950348511887716,0.6745708364243758
QCOM,0.019291421133607878,0.13889356044686837,0.1269101380948179,0.12168550509985475
OXY,0.08659980320992162,0.2942784450310991,0.24332350448275705,0.25721111606948815
BAC,0.020263969528026227,0.1423515701635434,0.12625055896876422,0.12396755831266523
CPRT,0.03680436191121413,0.1918446296126481,0.17159337096926766,0.18242363460732408
VRSK,0.0028389756295577476,0.05328203852667189,0.041377812928302685,0.046651425027617495
AMCR,1.0218725769307582,1.0108771324601018,0.87354819995022,0.8989365322785902
DVA,0.04963138933024545,0.22278103449406425,0.18986328054691512,0.16526353685192466
LHX,0.21676913989984958,0.465584729023461,0.3984089963116469,0.3906542566225922
ILMN,0.09802708450391824,0.3130927729985447,0.26583328972394044,0.17475147657478277
ALL,0.05242965173092724,0.22897522077929577,0.18561481593886864,0.15993717283202113
GPN,0.004431011047736729,0.06656583994615203,0.04983470903068648,0.04265362281409509
MET,0.14777445291356747,0.3844144285970123,0.34690640072520235,0.34684662659430254
XOM,0.23878211110209072,0.48865336497571643,0.43123380094124564,0.4455541989958502
CMA,0.09630306439775928,0.31032735038626436,0.2650803533143434,0.26263130483458996
WYNN,0.4355974007144528,0.6599980308413449,0.5319799566978639,0.5518842382293602
EMR,0.2180452627854471,0.46695316979912144,0.4178072245555725,0.4485505053484064
MRK,0.00419474833470526,0.06476687683303295,0.05739312334536952,0.048990250093052974
AZO,0.0020506843985317606,0.045284482977414685,0.03452048511637383,0.03125569839157005
TSCO,0.14587042946239012,0.38192987505874704,0.35430092395826457,0.40992625147821304
LEG,0.19114754701850012,0.43720423947910214,0.39976367043318445,0.34444681865300697
HUM,0.036401512634472694,0.1907918044216593,0.16398480408694363,0.13308060002661096
MNST,0.26462740278251956,0.5144194813403936,0.46992471419644655,0.3997370105659004
UNP,0.04323440831016832,0.20792885396252325,0.17494289774381325,0.13520422801377438
PVH,0.13380253663611877,0.3657902905164635,0.33632892307182816,0.38009700561380705
DXC,0.09534554485630527,0.3087807391277916,0.2556813676279712,0.23302800528989165
DRI,0.12103876591925176,0.3479062602472852,0.32476482789418126,0.34332058467506676
ADP,0.09662335065573226,0.31084296784024606,0.29182959885478504,0.281174966964307
CAG,0.053433771490890916,0.23115746038337356,0.22060059390234618,0.2274761912214928
MDT,0.025870317121016166,0.1608425227389081,0.12595374154463285,0.10924734585786801
WHR,0.036026296157419584,0.18980594341964,0.17678874234417394,0.18586133641925548
SWK,0.039227952156950886,0.198060476009099,0.16238606051544702,0.16116225061447104
DOV,0.2609559156712117,0.510838443807053,0.43786347198910647,0.4312971290791748
CME,0.00829483461868933,0.09107598266661376,0.08087184968093919,0.08650449217705596
PFG,0.0073519620218749655,0.08574358297782386,0.07770418826790292,0.07871856095611326
USB,0.02107871774881567,0.14518511545201757,0.12810811571602224,0.12114457671989248
EQR,0.17211787381588808,0.4148709122316098,0.36568494467514323,0.30243405863508876
TGT,0.12489251372645878,0.3534013493557414,0.2790850796221329,0.2838229290038447
WMT,0.07509990215804635,0.2740436136056565,0.22075200975872525,0.2218868325256695
ATO,0.0024152613621197536,0.04914530864812788,0.040410187200032824,0.035969774723556315
APH,0.012951197031120187,0.11380332609866983,0.1032230228404796,0.09333020431894035
UNH,0.01588652973362811,0.12604177773114797,0.09508076328956382,0.07907455661876711
LYB,0.023747227639865923,0.1541013550877017,0.12171813298328236,0.10121481060572814
ORCL,0.6135040447400723,0.7832649901151412,0.6824011740715592,0.6353177191250423
INTU,0.00307908937457769,0.05548954292997637,0.044394414151654155,0.04296986884364611
EVRG,0.02610127686035924,0.16155889594930772,0.14111827899323764,0.12008439626339681
JKHY,0.004693717526431334,0.06851071103434363,0.0604088236742862,0.06205135899836623
