,mse,rmse,mae,mape
FITB,0.22241873141034132,0.4716129042025264,0.39906227274812023,0.4071963940312535
EVRG,0.0018338739276479354,0.04282375424513754,0.03491844421745416,0.03022968824180107
C,0.05830825084369291,0.24147101450006977,0.22661835235428868,0.239698236667058
RSG,0.11771580086217887,0.34309736353137266,0.2913324474496746,0.2625389369510376
LDOS,1.2727646706194515,1.1281687243579532,0.9973617659138148,1.2450065588510881
MSI,0.20257427147671098,0.45008251629752405,0.3965493797394839,0.41392754098780654
SO,0.0018224625970898096,0.04269031034192431,0.03246427897810361,0.02900458736435485
MOS,0.47707133491343157,0.6907035072398515,0.5912995703257794,0.6176881776341918
PSX,0.29273508831637235,0.5410499868924981,0.4524870268878472,0.4376877885738675
GS,0.3173064679790053,0.5632996254028626,0.51268514672094,0.5114653937070598
HON,0.29226681889546224,0.5406170723307415,0.4704665774067908,0.4476325908522602
ADBE,0.20315035384377358,0.4507220361195729,0.3812411735944899,0.3317386663117639
LLY,0.0013639076237918562,0.036931119991030006,0.02797408590440175,0.02321802111234836
FLS,0.8665964928294617,0.9309116460918628,0.7991258725257199,0.9051072371971863
HCA,0.17998821573393112,0.42425018059386976,0.35226839548040406,0.2638073373465709
LVS,0.1424989507732967,0.37749033202626087,0.3088313147556019,0.3687756107355418
DUK,0.02232244911406665,0.14940699151668455,0.11930461488370578,0.10889157944135307
EXPD,0.09309355053923778,0.30511235723785063,0.2762000721738491,0.300421676978307
AEE,0.017799608073128505,0.1334151718251283,0.10916633968445046,0.0969227390110293
ESS,0.6317057995231486,0.794799219629177,0.7099930183881511,0.605325917400984
ETN,0.7668308287663156,0.8756887739181745,0.7619500210349723,0.8305952076175441
O,0.0021366739656998655,0.04622417079515722,0.039176658473747794,0.037149240379715204
MCO,0.488877915617886,0.6991980517835316,0.6202597494437972,0.5326029820047158
NFLX,0.15145613211840137,0.38917365290882855,0.3146058675708955,0.3158663222783602
COST,0.019170663265072257,0.13845816431352923,0.09593805512606983,0.09139025842384643
TYL,0.06037411410424218,0.24571144479702645,0.2251341024098417,0.26442652760586866
TTWO,0.07346609636777983,0.27104629930655727,0.23263682224685373,0.1875273915729471
CSCO,0.13881369174016525,0.3725770950288883,0.3236053076781694,0.30224260182768253
VMC,0.3631201568549704,0.6025945210960438,0.5067622985434892,0.4757872920728511
EOG,0.2405612804618215,0.49047046849104126,0.3860068787071165,0.36753876682977277
WMB,0.7082202733329,0.8415582412007502,0.71220192096133,0.5372656312176934
AMD,0.29919103579485445,0.546983579090684,0.43958730101508253,0.5679476435182248
PCAR,0.2929877305923329,0.5412834106014454,0.4574107774443946,0.42232087359018855
AEP,0.008618224154034829,0.0928343910091235,0.07994070565953772,0.06877800047358607
AMP,0.4010343839260833,0.63327275634286,0.570259466650887,0.5354991459228279
WYNN,0.5156202071312761,0.7180669934840872,0.5773835562713274,0.5989186231777204
NI,0.1663014297699255,0.40780072311108706,0.3513888333787572,0.2879350810083666
CDW,0.01982834413063804,0.14081315325862864,0.12233763978225014,0.09201803701053121
WDC,0.3050789038251685,0.5523394824065798,0.4814660605915433,0.41615978919676416
SLB,0.047570832142188275,0.21810738672082675,0.1510436076336072,0.149598294046908
HII,1.0684327792853758,1.0336502209574454,0.8874234163547285,0.7851773915538656
LRCX,0.19951484896801558,0.4466708508152458,0.4135335837765269,0.32813765295670955
SWK,0.015605679909408992,0.1249226957338377,0.10153997116313733,0.10059924369703827
TSCO,0.49765081849509873,0.7054437032783685,0.6397098716655681,0.7280077166168389
BAC,0.02214163815663087,0.14880066584740428,0.13167822823386205,0.12919344506469232
GILD,0.0144967090087409,0.12040227991504522,0.09576716816038754,0.07714526193285728
AZO,0.029172492782247653,0.17079956903413912,0.14223769402603395,0.12668795552427053
TSN,0.1094987665461779,0.3309059784080335,0.30723233537425126,0.2613502854533129
WBA,0.00927222686142004,0.09629240292681474,0.08224261599825404,0.07238620830762356
FANG,1.2921028595800874,1.136707024514271,0.9206641536411476,0.7677669272705105
RF,0.08396670922392038,0.2897700971872708,0.2380433664992801,0.23320746198403638
XRAY,0.03991473714966343,0.19978672916303383,0.18556602583962012,0.19081709456671828
NVDA,0.0046510352647563995,0.06819849899196022,0.05757641980617722,0.0495107636764689
CHRW,0.00578771847593572,0.07607705617290748,0.06318474335018492,0.06173412166649925
STT,0.14488448434896667,0.3806369455911586,0.35007905449109505,0.3593035116815899
VTR,0.009679601426358757,0.09838496544878571,0.07886078576684233,0.07763913020848642
ABT,0.19289083099574786,0.43919338678507885,0.39080593614853915,0.35310488118160227
BWA,0.1454859781670458,0.3814262421059225,0.3023581051273413,0.290932969034351
GWW,0.0011132858224090878,0.03336593805678312,0.025497072837237466,0.028023249844635976
CCI,0.10786214898343356,0.32842373389180257,0.28265202078653046,0.2737031757435036
DE,0.2676160854925521,0.5173162335482544,0.45491214763405496,0.47017661527185695
MAA,0.03773297852192614,0.19424978384010147,0.18080316794254164,0.16577453588457122
T,0.08813407095160694,0.2968738300214536,0.2621961778071565,0.26226016395765234
EQIX,0.15035770185768443,0.38775985075518643,0.33611128137837,0.28456984565734555
LEN,1.8830145265657519,1.3722297644949084,1.2020788475245188,1.1574007969386848
VRTX,0.12236288054451878,0.3498040602173148,0.3112165699094745,0.27938990999595564
PAYX,0.6014379203677332,0.7755242874131881,0.700469613635421,0.7209541479344213
DOV,0.6049866838953204,0.7778088993418116,0.6676422352313196,0.6549853542811493
DLR,0.024800438180042256,0.15748154869711645,0.13352611274609041,0.11837589034892995
MNST,0.3794802140506544,0.6160196539483578,0.5597616861055895,0.4696807649928623
KIM,0.1619443077469821,0.4024230457453724,0.35704953666488254,0.3197720945585526
VLO,0.2894971064264759,0.5380493531512476,0.4442713500377915,0.43585529390268385
EBAY,0.3202626569873167,0.5659175355008155,0.49546228719127877,0.5184222304256431
MU,1.2139210645351515,1.1017808604868535,0.962278044096856,0.7160007043738386
PGR,0.02009197009165021,0.14174614665538604,0.13604586909260213,0.14490277269295074
MSFT,0.18836622718441018,0.4340117823105845,0.36983895382537174,0.31468275161009795
ZION,0.04414860135888306,0.21011568565645702,0.1743341195377248,0.18166088750006282
NEE,0.013632406103485824,0.1167578952511813,0.0878061669105169,0.07736983803898849
GE,0.37131468211639046,0.609355956823588,0.5435903715919651,0.5753176566579914
NUE,0.1917220171798727,0.437860728063014,0.39347464787761843,0.40529417908794624
ILMN,0.235609742651442,0.48539647985069073,0.41221570069732866,0.2687927657952262
CBRE,0.1387000997810112,0.37242462295209644,0.3231484953178467,0.27818675989961916
KEY,0.15370491911934248,0.39205218928012947,0.3391176844213681,0.33506616293573444
GIS,0.08418851176413857,0.29015256635800857,0.2558310287657265,0.24611684693260538
NCLH,0.9260214582514829,0.9623000874215293,0.8644430069026039,0.8629798119556269
PNC,0.03443983032884421,0.18557971421694833,0.1512705565847566,0.13517554824127864
WY,0.21366488353288135,0.4622389896286134,0.4227671816924176,0.402422710197708
HAL,0.0599660654244169,0.24487969581902233,0.14706896144779116,0.1699417275166332
FCX,1.1462622865889396,1.070636393267546,0.9320102084530163,1.1130043783368888
UDR,0.3746720147083107,0.6121045782448541,0.5410272327710723,0.46060534599117875
TDY,0.10285342227554926,0.3207076897667863,0.2802232190880323,0.26731562895361727
AXP,0.46929714140650575,0.6850526559371226,0.5972012900773814,0.5949857239982183
WAB,0.7679813158391263,0.8763454318013681,0.7655647470741735,0.7047475796217039
SBAC,0.001556275926668314,0.03944966320094906,0.029793251434452123,0.027171040013911216
TROW,0.5507609668931897,0.7421327151481665,0.6548053107203563,0.6673931590349587
TDG,0.007509555343397856,0.08665769061888193,0.07167893960355992,0.05745097579966451
ROK,0.7201909013274788,0.848640619654444,0.7269831313346758,0.739633298723223
MET,0.38259954008989977,0.6185463120008879,0.5490162170712837,0.5474882439450198
FTNT,0.1423705081881993,0.3773201666863293,0.31600672429568694,0.2733830518396684
LUV,0.16460386985775488,0.40571402472401036,0.32764529019297056,0.1917397570179728
CAT,0.3209346453243097,0.5665109401629501,0.46720474936223727,0.41557588752963553
K,0.01574986995500169,0.1254984858673669,0.11027341583643294,0.10573668559123273
BEN,0.4600543465864155,0.6782730619642914,0.6046115223951888,0.627213510277411
KO,0.10736940073461292,0.3276727036764169,0.29866061719560766,0.29283723238141596
KMI,1.1131246193967075,1.0550472119278396,0.9435860116408901,0.8907822040368641
VZ,0.013093047564424538,0.1144248555359566,0.10336164316269619,0.1054151981392012
GRMN,0.2958352795915249,0.5439074182170389,0.49124600686995296,0.42524147632278936
AMAT,0.06084693672521414,0.24667171853541325,0.20664428144451769,0.17066823064078357
HD,0.07871648039221847,0.2805645743714243,0.261676133333285,0.24629753274817046
ROL,0.17786485099774077,0.4217402648523624,0.3780605593308805,0.37413684236541755
ALGN,0.03417626639200296,0.18486824062559518,0.16865062299383538,0.1871644004384195
MTD,0.005600644187869811,0.07483745177295797,0.053057309051475744,0.04992691340562425
TAP,0.004856443926324804,0.06968819072357098,0.060208443936694965,0.050924469688660295
MO,0.11661254976263835,0.3414857973073527,0.31999501901520666,0.278196570797614
KMB,0.00124428576516047,0.03527443500838064,0.03004185739102102,0.028685428583270896
LH,0.14274935824770132,0.37782186046826527,0.3344102061532588,0.34814208994318424
WM,0.04709536788512035,0.2170146720503486,0.20783034587657226,0.20494655434541248
HUM,0.006452379713548802,0.0803267061041893,0.07093283921792072,0.059757171907322396
CVX,0.0920779724518554,0.3034435243201861,0.26433917652907174,0.27342070922769623
GM,0.19748788008934243,0.4443960846917336,0.4050787291890189,0.4909649080695064
PRGO,0.01323722667871913,0.11505314719171801,0.09311423326568674,0.0945610411430173
RMD,0.13010574775136138,0.36070174348256395,0.3043924489187969,0.3316069490186844
APD,0.21667190132480788,0.4654802910165025,0.41070513365538497,0.3519899874992188
UNM,0.1202018990447852,0.3467014552100773,0.3059039598507848,0.3103172173649343
TFX,0.155252446290435,0.394020870374191,0.3469854654621887,0.31136545912019536
INTU,0.016080853705644074,0.12681030599144563,0.11763020772175123,0.10983393320533119
ROP,0.546815701150006,0.7394698784602426,0.6538466745775188,0.6142673511591683
WST,0.04131779644529519,0.203267794904395,0.1844265762546144,0.2087814522500812
BSX,0.2774305179425052,0.5267167340634862,0.43954981649432545,0.4272742650154253
BXP,0.03840460746081296,0.1959709352450331,0.15709098010607928,0.13393047544490772
IPG,0.0907476406884958,0.30124349069896234,0.2654087571365623,0.24744308760146164
TEL,0.08246003239577289,0.2871585492298164,0.23673804807295104,0.21298070113561068
APH,0.07102550778081929,0.26650611208904623,0.23660590618692787,0.2117358318252902
CCL,2.0138715291667757,1.4191094140927878,1.2457154995640163,1.2510572814742278
AMT,0.0068219246682493595,0.08259494335762547,0.07184094011028604,0.06239360593497993
EMN,0.3197000728295848,0.5654202621321461,0.4697193328646343,0.46773275157746236
FMC,0.09269980554156676,0.304466427609953,0.23850546309619253,0.29337698058722356
WRB,0.002910137776618673,0.0539456928458489,0.044520627126403596,0.04467308158019745
D,0.004177039713554229,0.06463002176662351,0.053641007590941266,0.05032534426175088
PPG,0.01041212944180912,0.10203984242348241,0.0854177986607813,0.08039237119276928
PVH,0.28422064886550047,0.5331234836935065,0.4805126177071609,0.5429009414352727
CME,0.03567680491511838,0.1888830455999648,0.17892689915004092,0.1913738212305513
MMC,0.005623377226390276,0.07498918072889099,0.06929159419200834,0.06490338588855273
PH,0.8912111342543767,0.9440397948467939,0.835145468081589,0.8819564882470954
NEM,0.04960197882932948,0.22271501707188376,0.20038696198768982,0.23683288436826833
