,mse,rmse,mae,mape
AWK,0.015900568713324067,0.1260974572040375,0.10871555331548875,0.09385248240992745
IBM,0.6671436288021412,0.8167886071696526,0.6983427204200294,0.7264047143778458
SEE,0.36476239546099837,0.6039556237514462,0.5434819557644209,0.5240456997201308
UPS,0.11170446779667946,0.3342221832803434,0.30745161101756946,0.3129949005132255
FCX,1.2533340676257394,1.119524036198303,0.9733027713411515,1.161761709374544
J,0.9295248167876984,0.9641186736018021,0.8241047142747295,1.0467197882410115
BLK,0.5034617153036917,0.7095503613582983,0.6348106518199912,0.6136895831940317
WELL,0.21114007863135942,0.4594998135270127,0.40410839785541713,0.38269124542191696
MSI,0.25293924630864356,0.5029306575549393,0.4415835022824961,0.4611244275232135
CBOE,0.08722872359849684,0.2953450923893892,0.2602470374549865,0.2527456988555995
LMT,0.34274172425494553,0.5854414780786765,0.5066726292957832,0.4235706332789338
ROL,0.31083972578874547,0.5575300223205433,0.4938855567128759,0.4884564985043902
CB,0.17622504415480778,0.4197916675623848,0.3796396698077356,0.3651721544214281
SYK,0.13273095224448084,0.3643225936508479,0.3088943111105097,0.27230288142082065
UHS,0.28311798608179467,0.5320883254515125,0.44460037267790165,0.3626474802788422
LYV,0.24467676397347596,0.4946481213685906,0.4169905692159385,0.34860365093663215
DXCM,0.08152716250531623,0.2855296175623752,0.2497804868720037,0.2199486492076483
XEL,0.004262700124422359,0.06528935690005193,0.05449607367465828,0.04777749922205042
K,0.0112327498830641,0.10598466815093634,0.09234083199598862,0.08840810355710073
CBRE,0.06508158843141153,0.25511093357873066,0.21911380300399974,0.18880182499884912
CNC,0.07679982772412774,0.27712781838734224,0.2240955600387498,0.19607003872312123
VZ,0.035673428122685986,0.18887410654371337,0.16751614501546122,0.1699254912229554
YUM,0.06215685695172151,0.24931276933145946,0.20742133531004622,0.21827782803341278
CRM,0.10787044294575528,0.32843636057196113,0.28744498353252995,0.29078115539467286
TROW,0.5919482448411663,0.7693817289493988,0.6778064677636693,0.691033485439828
IVZ,0.2673566848562082,0.5170654550984897,0.4650821229850123,0.43761493318346034
WU,0.16076859438258365,0.40095959195732384,0.36244838274595303,0.4051713056050717
LIN,0.3049618697837683,0.5522335283046189,0.47770890804412985,0.4759185686950925
WEC,0.00519406977455746,0.07206989506414908,0.05713087883365482,0.049866870094796824
ESS,0.5433424992976913,0.7371176970455202,0.6592844548066282,0.5621763000624032
VLO,0.2751492956029099,0.5245467525425259,0.4282466688541603,0.4210019762253064
ADSK,0.3683004616491217,0.6068776331758502,0.5295506100299674,0.48356662667794653
COST,0.004070666255454067,0.06380177313722611,0.05930352532771829,0.060905807071980074
VTRS,0.013300428038990139,0.11532748171615531,0.0856324328348271,0.07669572775015436
