,mse,rmse,mae,mape
LVS,0.09715562761372333,0.3116979749913742,0.25629365737443927,0.3107471614634465
PAYX,0.7027774385104101,0.8383182203139867,0.7543531776738039,0.7939921266699672
KMI,1.1843237783215852,1.0882664096266066,0.9717792431662023,0.9548362186830519
WAT,0.1809961604472767,0.4254364352606353,0.3528581035775943,0.35547190187037575
UNP,0.028137045044149645,0.1677410058517286,0.1383224990932242,0.1098137702927144
LRCX,0.22009440299624633,0.4691421991211687,0.4306858341517035,0.34710823649675454
EW,0.33866567046766527,0.5819498865604025,0.5203546647047752,0.42523268416447096
ROL,0.35969528178027,0.5997460143929845,0.5302545816223467,0.529843854672445
MSFT,0.18552366951772742,0.4307245866185577,0.3676601688966336,0.31877620816628416
CVX,0.22282141795316357,0.47203963599804155,0.41053425195117954,0.4334440063505658
AJG,0.06482780221293989,0.25461304407461116,0.2201407481872983,0.22876504572619277
DOV,0.5745603530973089,0.7579975943875474,0.6498337316632987,0.6448367482264535
CDW,0.017299663164074,0.1315281839153647,0.11391414726954963,0.08614133341317132
DLTR,0.021658326633480756,0.14716768202795324,0.13576913146570022,0.1479678956410463
BKR,0.0671723514664237,0.2591762941829821,0.16669715168055083,0.16687015725919221
PRGO,0.007593117042440319,0.08713849345978113,0.07161044524541738,0.07615443394675611
GD,0.15249723611456742,0.39050894498662564,0.3337149560439231,0.25469407885171486
TXN,0.012966830855697718,0.1138719932893849,0.09503673022717368,0.08801181548234327
ARE,0.0031678690464336354,0.05628382579776925,0.050126036265173306,0.04389853616131451
A,0.39210121154148153,0.6261798555858225,0.5469886175039298,0.5553153154688296
BDX,0.175261546626654,0.41864250456284774,0.3675168031023374,0.3341292158890149
DVN,0.0715040977755043,0.2674025014383828,0.1830482946567971,0.19304509564878847
ORLY,0.11821261278823432,0.3438206113487589,0.28924830760007686,0.2442576187966492
FFIV,0.6494198698757887,0.8058659130871517,0.6731236480783092,0.521323684209619
MSCI,0.010295554550234683,0.10146701212825124,0.08387051746129898,0.08324935498403242
UNH,0.341646825652035,0.5845056249960603,0.5176309019724823,0.451736907237856
SCHW,0.37149769202411453,0.6095061049933089,0.5332067073160094,0.49726072297514295
HBAN,0.039799146595058656,0.19949723455491472,0.17931490372552325,0.17896066272709044
PNC,0.13537620276064302,0.3679350523674566,0.3046115227802229,0.27725743489562016
GOOG,0.04329818565765484,0.20808216083474057,0.1774710171065762,0.18042965150262644
