,mse,rmse,mae,mape
AWK,0.01026050260157135,0.10129413902872836,0.09028533680733926,0.07859867064249317
IBM,0.3245466854484585,0.5696899906514582,0.48592160454844474,0.5062408283971999
SEE,0.3293677072350547,0.5739056605706679,0.5214118916377793,0.5036785440892502
UPS,0.11237681061594987,0.3352265064340078,0.31139903650675593,0.3175388030182827
FCX,0.73848515615314,0.8593515905338979,0.7498411036178262,0.897029015406659
J,0.868490592826647,0.9319284268797937,0.8008964313938401,1.0159023433930496
BLK,0.32055480331214087,0.5661755940626025,0.5126220317776098,0.4966946300291604
WELL,0.3470891781423624,0.5891427485273517,0.5163415821673304,0.48885658312420777
MSI,0.08666255328723506,0.294385042567103,0.2630559676625418,0.27471070727870267
CBOE,0.011630361855865287,0.10784415540892926,0.08879166806518296,0.09035618499755166
LMT,0.3072612274913422,0.5543114895898715,0.4842527903328311,0.4055024381982777
ROL,0.15609675565653724,0.3950908195042467,0.3557971036142082,0.3523329313186373
CB,0.026300562614344925,0.1621744820073273,0.15619904945596502,0.1520109484614296
SYK,0.054413434146603185,0.23326687323021927,0.20005691332473535,0.17681228976832356
UHS,0.25456173471605514,0.5045411130086974,0.4160930940679096,0.33789346494228234
LYV,0.2604698820499386,0.510362500630619,0.435059956121864,0.36411529268913617
DXCM,0.023693243727413167,0.15392609826606132,0.13166245374557167,0.11863006604592158
XEL,0.02525073879161322,0.15890481047348196,0.13751814835747306,0.12052922034967786
K,0.028097049644563728,0.16762174573892175,0.14672561678931975,0.14106574892883045
CBRE,0.13798654273791253,0.3714653991126395,0.3266766463067478,0.2816152676043868
CNC,0.3279207553850523,0.5726436548020525,0.47782800737296555,0.3881515417626018
VZ,0.0013807595598732303,0.03715857316788725,0.02934924622320611,0.03058023904799776
YUM,0.016503844426203035,0.1284672893237926,0.1060998966445869,0.11211259696916008
CRM,0.09761234277524773,0.3124297405421701,0.2727085714947091,0.2761216572922666
TROW,0.3028058420285514,0.5502779679657831,0.4899879867267292,0.4995376616340662
IVZ,0.058401765506076446,0.2416645723023473,0.22510690067527886,0.21404031441801688
WU,0.03396429726063345,0.18429405107228353,0.17251110263152822,0.19460106003453684
LIN,0.10573515614127552,0.3251694268243488,0.2833347543421576,0.28226193086237045
WEC,0.02063852574903361,0.1436611490592833,0.12294494676419761,0.10773431162860371
ESS,0.6610002620624124,0.8130192261333138,0.7242370727978048,0.617104482179921
VLO,0.1571239425492167,0.39638862565570254,0.32167453406798435,0.31649671491136205
ADSK,0.2508262311767587,0.5008255496445431,0.44045389417065334,0.40315559674120527
COST,0.03462841921988311,0.18608712803384095,0.13284019691224164,0.1271481967367723
VTRS,0.06294432895445824,0.25088708407261273,0.22552973858808326,0.19424781752721945
TSLA,0.2876325622838845,0.5363138654592892,0.4313504913036849,0.3496930212135677
ROP,0.37496307320914124,0.6123422843550339,0.5460661173050743,0.5137449045496257
ADBE,0.09427923647107407,0.3070492411178931,0.2606687113886853,0.22769749641398773
ODFL,0.030459913261411405,0.17452768623175924,0.16134886154109165,0.131507850179177
REGN,0.24684161577326957,0.496831576868127,0.42084423403854176,0.37367921607624766
STT,0.06102408495882256,0.24703053446653628,0.23214178168409882,0.2403674041724356
NOV,0.07457160205439249,0.27307801459361847,0.22954160433120663,0.2259793905247416
CMS,0.008593203941638353,0.09269953582212995,0.07680522595450787,0.0668214838716783
AON,0.0021598042500050323,0.0464736941721339,0.036385892607820894,0.035919331668064984
GE,0.19903990516234402,0.44613888550802655,0.4036019285316645,0.4272508419467752
ECL,0.006738637789540487,0.08208920629132972,0.06752642263845501,0.06488450682236549
APA,0.03077582251668045,0.17543039222631993,0.1324716693434105,0.13412185344749789
IPG,0.02714768308381961,0.16476553973394925,0.14654468656630873,0.1382432765953712
BA,0.02548889464405933,0.15965241822177118,0.1481524725660639,0.16062279765775336
CSCO,0.09460951904374963,0.30758660413572897,0.27001887151475745,0.25269185221933366
NWS,0.03334965221452503,0.18261887146328834,0.15844142287349972,0.18077544336886414
CDNS,0.013241437408136403,0.11507144479903085,0.09512044713029673,0.08158180497867643
TFC,0.373914908487207,0.6114858203484419,0.5280495189711656,0.5113658078774598
D,0.009910716123139693,0.0995525796910341,0.0907018676260198,0.08414599319206026
IDXX,0.005027722841076898,0.07090643723299668,0.059647656432700195,0.05189770843879982
KEY,0.07399633493123782,0.27202267356093285,0.23575240202909317,0.23318985503107184
COF,0.23341636930862966,0.48313183429435663,0.4318168145651744,0.4079436924465826
DPZ,0.01999072449375374,0.14138855856735275,0.09348590496916696,0.0762021690736682
EFX,0.01833282855362584,0.13539877604183073,0.1225333612706344,0.11383699625077047
PCAR,0.16181566582294557,0.40226317980017207,0.3398068587921765,0.3141047944270273
CMCSA,0.31902676859734597,0.5648245467376094,0.4982615899102009,0.4761305319795891
HAS,0.30927564458051165,0.5561255654800557,0.4944512131048519,0.48968243961390984
BKR,0.030088541223182518,0.17346048893965021,0.12453682150007823,0.12122223154651433
PLD,0.0012577915236456965,0.03546535666880705,0.029359242219618702,0.029051615556904282
EXR,0.007791190648680758,0.08826772144266985,0.08067949173621879,0.07153699887074173
LNC,0.003511030490026011,0.05925394915130983,0.04847501079448374,0.048387693062831055
XRAY,0.005828416623682754,0.07634406737712338,0.06934604251864207,0.07262579169324399
SBAC,0.0020938238516678503,0.04575832002672137,0.03599223126484313,0.03203724414176513
KMI,0.9165741171390216,0.9573787741218319,0.8621241775918064,0.8156339029656946
KMX,1.4587681100384717,1.2077947300921923,1.0266494875890824,1.0436021457643834
AXP,0.41960073441778256,0.6477659565134483,0.567788535813415,0.5656951318291351
PPL,0.006945048993735771,0.08333696055014109,0.07468334357953858,0.0652087787501856
WBA,0.016090033148410517,0.1268464944269668,0.10349277245571917,0.08889373812399769
CDW,0.030119229653523105,0.17354892582071232,0.15265111668370157,0.11413462549729539
CHTR,0.007912936725299004,0.08895468916981839,0.07711693343162512,0.07239612291763625
CAT,0.20907180636919392,0.457243705663833,0.37549196421955927,0.33434238942729344
ACN,1.1114771339554097,1.0542661589728703,0.927690852582168,0.9260581833240488
ABBV,0.008078305669437296,0.08987939513279612,0.06907008893296863,0.06317925805033482
AAP,0.06919799627534813,0.26305512022264105,0.22748708645932297,0.1868665070683165
F,1.0004394411206448,1.0002196964270624,0.8805622341003565,0.9665702680843031
ROK,0.40951522067347756,0.6399337627235162,0.548286303662049,0.5579365738028924
MMC,0.003607653091985548,0.060063741907955985,0.04599042199465041,0.0413341883280933
BIO,0.07115241260107759,0.26674409571924473,0.22647576353499868,0.23927646120474588
OMC,0.37025368916352086,0.6084847485052693,0.5384012019870439,0.5492353220461785
XYL,0.009200384449755836,0.09591863452820748,0.0861908012153464,0.07911083773916867
TEL,0.03310449595994908,0.18194640958246217,0.1455343836953792,0.13144141375942664
WAT,0.026016642321509968,0.16129675235884314,0.1386727549312187,0.1403443384662196
XRX,0.17260900069806823,0.4154623938433757,0.3840388571462763,0.3657644363148357
CSX,0.010371906239175088,0.10184255613040694,0.09254306366992178,0.08749404828164148
NOC,0.20372537901051913,0.4513594786979876,0.40015879033518426,0.35351584170958733
JPM,0.08641722166810324,0.2939680623266807,0.26459389607860645,0.25915389415560663
NDAQ,0.040416292225553,0.20103803676307874,0.1882107615356652,0.18684316517444075
NEM,0.07560225390682872,0.27495864035674294,0.24848662776740182,0.2965443177243317
MMM,0.802481879062782,0.8958135291804774,0.8006481879291901,0.7567854237144546
CLX,0.05471489502820245,0.2339121523739253,0.17976384509994855,0.17596560519085455
SLG,0.008564549602259853,0.0925448518409309,0.07858126728530869,0.06836573840758621
COP,0.01926484936989765,0.1387978723536411,0.1131955221089554,0.10515406335704801
TJX,0.10281312638341737,0.3206448602167472,0.2961396575142823,0.3183074417284424
TFX,0.20037221197642066,0.44762954770258484,0.39148908303065366,0.3510778734393812
STE,0.17464188116030444,0.41790176017851904,0.3843071371271034,0.3333665244939549
MA,0.4640341136656784,0.6812004944696374,0.6159426939636451,0.6601548600881967
FMC,0.06519012615605237,0.2553235714853847,0.20162177338896142,0.24757091353541827
ADM,0.1715074473459546,0.41413457637096013,0.3809926157444869,0.34911179262734043
AMD,0.23752323353390697,0.48736355376033913,0.3905671201162691,0.5060004457642575
EL,0.020671375891199346,0.14377543563209727,0.1358485767116707,0.1395021574400536
EIX,0.03542770997473527,0.1882225012444986,0.16956865444559557,0.14114356148349017
AIZ,0.03060724401177552,0.17494926124958493,0.15681215569524143,0.15623569421812675
HCA,0.12496900178866205,0.3535095497842485,0.2852382408061748,0.21140262371864835
ROST,0.09837153483677158,0.31364236773237697,0.2912756024146371,0.32270020350149825
NWL,0.1333932730640258,0.36523043830440227,0.33872794961793634,0.33245658045511023
SRE,0.017664050470863998,0.13290617168086663,0.11562518552020513,0.100215802613189
PNC,0.013428509758355486,0.11588144699802246,0.09355745691769247,0.0838438014384693
REG,0.1556450688613457,0.39451878137972807,0.34281763912884755,0.3102374854173109
KLAC,0.03897360788117617,0.1974173444284371,0.18109064144216994,0.16202439545452982
PWR,0.4895081407245939,0.6996485837365741,0.5816873216754377,0.5575604042817538
BXP,0.009144977655489857,0.09562937652986062,0.07465283785807973,0.06392699860426052
HD,0.03774096556263542,0.1942703414385104,0.18276536654321854,0.1750006438123702
CMI,0.3774452199455297,0.6143657053787506,0.5316182173390898,0.514790930348111
NWSA,0.016423011526029322,0.1281522981691289,0.1065540767422325,0.11837719200728139
BEN,0.2888438864409906,0.5374419842559666,0.48325848968682883,0.5016830411861942
DAL,0.7080324701015072,0.8414466531524784,0.7523230748698772,0.5568726982473601
NUE,0.11002116190380486,0.3316943802716664,0.302682657599986,0.3124742404742544
TER,0.079484599062648,0.2819301315266745,0.2344614367352884,0.21756793176275832
DHI,0.8146766062446164,0.9025943752564695,0.7790595883982203,0.7563066712636368
QCOM,0.004865267142615521,0.06975146695672803,0.06154760844331646,0.05832394744490603
OXY,0.0757235752455897,0.27517916935260506,0.22742914167990097,0.24046085443343165
BAC,0.0050104707111485545,0.0707846785056523,0.05974834206887572,0.05965212945991423
CPRT,0.06406466307897568,0.25310998217963604,0.2241484704167587,0.23836315899319294
VRSK,0.017821216200034413,0.13349612803386626,0.12584791976854964,0.14051646629168998
AMCR,0.9360927153755215,0.967518844971777,0.8354878706502653,0.8596717060932784
DVA,0.09631504391696667,0.31034665120952515,0.26639121940185384,0.23164262353699097
LHX,0.29320968476020043,0.5414883976228858,0.4629848603477024,0.4540699594740955
ILMN,0.2057340430207165,0.4535791474712175,0.3876587378590303,0.2531150456358998
ALL,0.012207658683615485,0.11048827396432385,0.08354295541593948,0.07152910528607376
GPN,0.0043410675714530295,0.06588677842673012,0.0489332157881544,0.041881109979841305
MET,0.17526405663229647,0.4186455023433268,0.37636655794988527,0.3760834438093818
XOM,0.26761862428271593,0.517318687351149,0.4556952883142995,0.4707397617441629
CMA,0.19457924929181966,0.4411113796897782,0.3796871025411713,0.37537521891656556
WYNN,0.6540678553201835,0.8087446168724609,0.6573691367134266,0.6803480539816196
EMR,0.30483546452265214,0.5521190673420473,0.49110025364813403,0.5273932136519034
MRK,0.004581838668915938,0.06768928031022296,0.05003287410272591,0.04276623545945632
AZO,0.012192082337926007,0.11041776278265199,0.0943889883949695,0.08452903779180193
TSCO,0.2996378474172477,0.5473918591075754,0.5009980337444594,0.5771792213668402
LEG,0.24700854069356204,0.49699953792087376,0.45066759142017004,0.3875605151396169
HUM,0.023375368897026818,0.15289005493172805,0.13176713734548287,0.10735142200310785
MNST,0.29537158317678064,0.5434809869505838,0.4951727887002102,0.41942087834751557
UNP,0.013883787783205447,0.11782948605169016,0.09486744886954579,0.07282916530083425
PVH,0.10717126123766746,0.32737022045028386,0.30131328185083645,0.34088980035502103
DXC,0.16491183604854154,0.4060933834089661,0.33744866127437834,0.30743980573508306
DRI,0.20402128416173898,0.4516871529739793,0.4163902194894424,0.4387736361860484
ADP,0.12893560541545,0.35907604405675686,0.3344418550222197,0.32136103578754444
CAG,0.0701126256288035,0.26478788799490716,0.2508957894034775,0.2578110338164864
MDT,0.011152233346845536,0.10560413508402754,0.07859013297777453,0.0677277404029692
WHR,0.13230532835220837,0.3637379941004354,0.33978603457126877,0.34846006618088576
SWK,0.02704227515117005,0.16444535612527966,0.13374981413413217,0.13255839257305146
DOV,0.3996942148457579,0.6322137414243366,0.543934762968341,0.5343041149743434
CME,0.011725653970026837,0.1082850588494407,0.09256613606685722,0.1018798998267007
PFG,0.004847260626501834,0.0696222710524573,0.05498844371286688,0.058616554059752066
USB,0.047087891809295554,0.21699744655017383,0.19036148297675537,0.17967465453761497
EQR,0.11314182638540324,0.33636561415430566,0.2973745914575502,0.24604979187004594
TGT,0.0801203731552771,0.28305542417568524,0.2186441235801097,0.22127138473993888
WMT,0.025619091337319606,0.1600596493102481,0.12341640475068232,0.12336354391805636
ATO,0.003134599791223459,0.05598749674010671,0.044047710208354164,0.040605180167106854
APH,0.007342164935882152,0.08568643379136602,0.0771197752996777,0.07007243442333148
UNH,0.00853732531024641,0.09239764775277783,0.06656926627759753,0.05543596392234801
LYB,0.03837642292504786,0.19589901205735535,0.11732082083398802,0.1063508483253467
ORCL,0.8379225438811607,0.9153810921584303,0.7963243987982661,0.7414834286861226
INTU,0.008227337938257551,0.09070467429111662,0.08204396752058861,0.07788201367019201
EVRG,0.007151710523129546,0.08456778655687723,0.07117091766050193,0.060304627597795916
JKHY,0.02594312722277532,0.1610687034242696,0.14836376790743244,0.15002340273729514
AJG,0.0031082365152341656,0.0557515606529016,0.04486120688643205,0.04487569484741665
SLB,0.025657518930776443,0.16017964580675176,0.10434952572721189,0.10408422888858769
FFIV,0.1681768272649139,0.4100936810838639,0.3480137367233624,0.27073825147074426
BDX,0.04876271038247071,0.22082280313063393,0.1974838746635647,0.17894038125309775
AMP,0.2595204682920131,0.5094315148202092,0.463128067963071,0.43607186674477616
HBAN,0.11970309248567355,0.34598134701985533,0.3119676735746758,0.3069090677511679
CVS,0.18159873443924787,0.426144030157936,0.38775894494864,0.3413253593824101
SNPS,0.40110617886730876,0.633329439444677,0.5640889142725937,0.5714529962979898
MAA,0.06565536163207013,0.2562330221342872,0.23576230694107167,0.21599592516439886
FRT,0.09500771991040861,0.30823322324241526,0.2753973977271881,0.23670246278918575
PSA,0.04710775789588252,0.21704321665484624,0.19539530255449744,0.1877593969210395
ZBH,0.003933534622741597,0.06271789714859385,0.05174052985843213,0.048018178151616416
ICE,0.13846904610238248,0.3721142917201414,0.34480740090112094,0.38535161076603025
BK,0.10292351025018229,0.32081694196251903,0.2968271691142011,0.27499304928033524
CF,0.005252433978511523,0.07247367783210344,0.06358015218525485,0.05950197322614733
CE,0.09204462165314133,0.30338856546208415,0.2610882406966055,0.24806950168574815
PFE,0.04674770518952578,0.21621217632114473,0.18704495627686074,0.1943861206470993
NI,0.10354056421515297,0.3217771965431251,0.27984495065730725,0.22985262463703457
UDR,0.2835918702909537,0.5325334452322724,0.4695413499472721,0.39948945770656097
KR,0.2644834042733554,0.5142795001488543,0.4320646693011652,0.3515514254143459
KIM,0.19725914589234453,0.44413865615632303,0.39139256906033937,0.35028742316728234
PEG,0.15178500498937597,0.38959595094068417,0.349826459060643,0.29900681587387307
SYY,0.0547114885777253,0.23390487078666256,0.2140485976709617,0.2235468688038101
SHW,0.07571595798296764,0.27516532845358194,0.23222657119856263,0.2012295827864987
MAR,0.0411497906402803,0.20285411171647544,0.18281349985675918,0.13639450440837536
DUK,0.036524793021197585,0.19111460703252797,0.15468433598711498,0.141479996369529
HOLX,0.01153278019989999,0.10739078265801023,0.09481487088881693,0.08762004467385348
EQIX,0.10140581256486544,0.3184427932374439,0.2792179952391253,0.23731698513249366
EXPD,0.03506931373144178,0.18726802645257354,0.17286991887156902,0.18918497283002744
L,0.045029460436602595,0.21220146190967346,0.19691418611201333,0.2250882085102219
VRSN,0.20101239919692168,0.4483440634121541,0.4114191450380138,0.4537354251771713
DG,0.046255521447235194,0.2150709683970275,0.20203763974829492,0.2078131478263606
UNM,0.03429056793739497,0.18517712584818613,0.16630755277453566,0.16922077557743798
UAL,0.38330662589561665,0.6191176187895291,0.5410353474915189,0.429139755669634
KO,0.0559787925680667,0.23659837820252846,0.22064335168450805,0.2172104715543898
TXT,2.0317354234017913,1.4253895689957155,1.2427818750242874,1.1706777246238278
DIS,0.3884352339781556,0.623245725198461,0.5465417200294157,0.47824534167725397
LDOS,1.0624067291371648,1.0307311623974338,0.9157279607454658,1.1432418938306483
POOL,0.10111585795867988,0.3179871977905398,0.2826677796931663,0.28309465357380503
HES,0.10565488316276918,0.32504597084530856,0.2605664899259286,0.2628526984938879
WST,0.024394203487928486,0.15618643823305686,0.1358780828511114,0.15624481794993952
LEN,1.0113634642425222,1.0056656821441816,0.8819619653207821,0.850156116392423
ULTA,3.3499118399333465,1.830276438118938,1.5748194665627162,1.9465183308630918
ISRG,0.14985857745315853,0.3871157158436719,0.33290294736502124,0.28668956988563854
RF,0.01620812518127642,0.12731113533888708,0.10598060641876683,0.10393202265801421
PNR,1.0385833900495847,1.0191091158701235,0.880619721704986,0.9846108106698859
AKAM,0.02852948238864485,0.16890672688985733,0.144708382441937,0.12957203783730098
DTE,0.04352741813339153,0.20863225573575994,0.18355448131484675,0.15954710203017516
MO,0.044230884489134745,0.21031139885687306,0.20292679079224313,0.17998942464500756
ETR,0.008390885407315137,0.09160177622358169,0.07597485780960017,0.06209323534152274
AAPL,0.09281705824359503,0.3046589211620021,0.24009351243492943,0.18996089397102
EXPE,0.24435023579969206,0.49431795010872515,0.4326322118449805,0.3698074770492002
PH,0.6492299146656114,0.805748046640891,0.7171731494249446,0.7574438766393059
CHRW,0.01697672846499334,0.13029477527895483,0.10829262785325357,0.09919004222891692
NSC,0.05252906529207915,0.22919220163888462,0.2063742042891253,0.18144273502277503
DLTR,0.00844202119401052,0.09188047232143792,0.08490320497173752,0.09224626738577855
WMB,0.34952560847053044,0.591206908341344,0.49047639447491953,0.3730716643395167
HST,0.2817838068020485,0.5308331251928882,0.4673564259482579,0.4041673663443264
MKC,0.0018963468433910028,0.043547064693168505,0.03370824885732201,0.03294338924699438
HIG,0.009239628293483614,0.09612298525058205,0.08763588920182397,0.08940984821879361
FTNT,0.040579263326743976,0.20144295303321974,0.17460819776417394,0.1529321516236824
ARE,0.0017411133422812598,0.041726650264324594,0.029304357088338708,0.025399258563325398
IP,0.1520155972410372,0.3898917763188103,0.3568806182089194,0.34804403751346064
NKE,0.02971496969477613,0.1723803054144415,0.12084583457881887,0.10837257187619942
CPB,0.2882519481811527,0.536891002142104,0.4683071061267569,0.4518597107459256
BWA,0.08441009383505751,0.29053415261386656,0.22585436547224527,0.21812353353913722
LKQ,0.010794969006907972,0.10389884025776212,0.08538412661127996,0.10439567177051551
TXN,0.002303171623998234,0.04799137030756919,0.03425711245885058,0.030347829316928837
BBY,0.03971392586990805,0.19928353135647725,0.16777959171741194,0.2614235017722949
MCO,0.216462723038486,0.46525554595134705,0.4181012045604211,0.36064881301360247
RJF,0.3727156989423761,0.6105044626719579,0.5412191682060594,0.5285841674924492
ZTS,0.05901798963772246,0.24293618429069486,0.22951929372445531,0.22663169565384741
ALB,0.970663751288441,0.9852226912167832,0.8732795231972712,0.9507938278434805
SWKS,0.4343078230605965,0.6590203510215724,0.5515388905991179,0.29217489740887914
EXC,0.34673756835297764,0.5888442649402112,0.5282558366647877,0.44584751816385204
CTAS,0.5052202367199713,0.7107884613019343,0.6439664223803021,0.5687373627545592
CHD,0.007051161471882476,0.08397119429829777,0.06159931462977274,0.05630716664156456
RHI,0.19247838622283908,0.43872358749312657,0.402380634668948,0.34253839003917014
IFF,0.010064477299572175,0.10032186850120055,0.09025026411860405,0.08018027675733669
IQV,0.24386508703484844,0.493826980869665,0.4238230569821872,0.3585194447372478
NTRS,0.3506400155069044,0.5921486430845758,0.5237499328451022,0.4897307643322286
MKTX,0.027426976289615913,0.16561091838890307,0.14754622233855924,0.1822179765416271
AMT,0.002955701415217143,0.05436636290223159,0.04753165916663739,0.042147125601955854
LUMN,0.0044753052709312026,0.06689772246445466,0.05556757853943375,0.0503562279687113
ETN,0.5886460936341035,0.7672327506266292,0.6707989482204949,0.7307481240984633
ANSS,0.08521218069617584,0.29191125482957286,0.27318570305935286,0.31049556191981637
GLW,0.006076566733813891,0.07795233629477626,0.06431379519740676,0.05634906538389421
DHR,0.05690068935999619,0.23853865380687506,0.21702980675080005,0.21501518536154554
O,0.018054993575013476,0.13436887130214897,0.1222113990522058,0.11327862265360145
HSIC,0.00407362542797524,0.06382495928690625,0.04072545855391274,0.036866185597027805
HPQ,0.02097191824674154,0.14481684379498658,0.12270284957333381,0.09842496756898386
VMC,0.26410140917912434,0.5139079773452873,0.4302661258533589,0.40417687654261064
URI,0.32555101749653836,0.5705707821966862,0.47701954603273117,0.3533605369995226
CAH,0.026576012489260517,0.1630215092840835,0.14547808491431674,0.1327223312005512
EA,0.017761237807189186,0.13327129401033513,0.10057018127945887,0.07710026886930443
WFC,0.04382144698981168,0.20933572793436786,0.18145729989783654,0.15744348805675196
APTV,0.005710220463377799,0.07556600071049016,0.056440687713782155,0.05020857146894807
A,0.1632345465487631,0.40402295299742946,0.3562691761915639,0.35940431347259183
MTD,0.03045482606747834,0.17451311144861964,0.1322852874616012,0.12415433024650899
HRL,0.06312288464092133,0.2512426807708462,0.21387811675596663,0.19232990363614366
MCK,0.032270875684904256,0.17964096327092063,0.15769270596321655,0.13462472838869516
NEE,0.0035461382269699813,0.059549460341551216,0.05268268559222979,0.04672493273413438
MAS,0.05511769681936623,0.23477158435246423,0.21229575660078512,0.21339070404012936
MDLZ,0.008730682644950277,0.0934381220110415,0.07907326346817826,0.07799161274980825
LLY,0.010782524501896228,0.103838935385029,0.09356890456499364,0.07433910443693187
PGR,0.0036714130670685765,0.06059218651830099,0.04994035568029263,0.05260793364357411
PRGO,0.05160437451042141,0.2271659624821056,0.18620407248566917,0.1896152276965114
MU,1.1191820648016457,1.0579140157884503,0.9229975238499811,0.6863669009100639
HBI,0.09962135481210814,0.31562850760365124,0.2543628536584351,0.17448796461414898
SJM,0.006899303476281562,0.08306204594326799,0.07170421617659756,0.07783252211812569
NOW,0.18730109935622097,0.4327829702705745,0.3811354811235213,0.36901911500171564
C,0.022658128335826627,0.15052617159758838,0.14313498290501583,0.15291518588225017
FDX,0.03891136732210207,0.19725964443368052,0.1894693218041711,0.18191335504532322
DVN,0.02147418642004274,0.14654073297224474,0.09949824760152337,0.10305756029213263
FANG,0.43577756304991033,0.6601345037565529,0.49140743206128124,0.4192073983319563
EOG,0.16724897756714885,0.40896085089791767,0.31668570927773076,0.30265323907974384
SBUX,0.012372290713131695,0.11123079930096563,0.10594821680637456,0.11479693424867177
PRU,0.09516831253940138,0.30849361831227784,0.28429967290789254,0.299890458607356
RMD,0.20444830361512004,0.45215959971576414,0.38250962827979346,0.41721574579314075
FE,0.002183201311888978,0.046724739826873064,0.03850942070932725,0.04384968776248881
MS,0.006994962236879141,0.08363589084166642,0.06474942985729297,0.05958213774221364
DE,0.2397410513510933,0.4896335888714063,0.4313659101733336,0.4457855924304645
RTX,0.09014837696302595,0.300247193097664,0.25452236516900906,0.2589672977050756
CINF,0.04828556319809657,0.21973976244206822,0.20924051960893478,0.22406221360204087
MSFT,0.21949605775246198,0.46850406375234566,0.3970992046830088,0.3375070021921556
MRO,0.13220491433429749,0.36359993720337397,0.31237606552813874,0.3242806772581946
OKE,0.05351544315710215,0.23133405101087506,0.14391172551479242,0.13657578265482828
IEX,0.14110176249719386,0.37563514544993504,0.32929541931015727,0.3197786662734966
WDC,0.19642080721745206,0.4431938709159368,0.38935366713838626,0.3374314922342188
CVX,0.050164849194525366,0.223975108426194,0.19656720357161567,0.2040041109830472
GD,0.045215195766700716,0.21263865068867588,0.1817221718132767,0.1371634513730852
CNP,0.016663827557045974,0.12908844858098642,0.11465202598413977,0.1150411131178741
GOOGL,0.08410954745717028,0.290016460665891,0.24140760240508394,0.24230117635285264
AOS,0.033656712711887124,0.18345765918022372,0.17639300979833164,0.19622019834549984
EW,0.11610030444329877,0.3407349474933541,0.2599094957133849,0.19308463212417357
NVR,0.37801037368202883,0.614825482297236,0.5254299138597264,0.46647583369135515
TRV,0.07029245290620267,0.26512723908757974,0.25083592249854114,0.23975819696961395
NVDA,0.011582641258441669,0.10762268003744224,0.09640560671275697,0.08072368458099735
MPC,0.1218240516142268,0.3490330236728708,0.30924107402971446,0.3201767312630067
MLM,0.016460831821923365,0.12829977327307857,0.11543099701533555,0.09509865344301896
DD,0.7658346830636292,0.8751198106908729,0.7471178709357287,0.6601760170376809
AAL,0.039238710013322506,0.198087632156383,0.17271299690995118,0.11766214033238043
JBHT,0.03298498168502047,0.18161767999019388,0.16979664102536374,0.17145630394354736
NTAP,0.020252111265138997,0.14230991274376847,0.11087441660095691,0.11418145335996
