,mse,rmse,mae,mape
AWK,0.011745787667018328,0.10837798515851053,0.09674639957145752,0.08419238812202239
IBM,0.25062994549714207,0.5006295491649909,0.4251318528363487,0.4433346738735767
SEE,0.29453084542500585,0.5427069609144569,0.4940093199111428,0.47755963050848776
UPS,0.09562284540145671,0.3092294381223378,0.28829427501566285,0.29420409360596955
FCX,0.8846343394899334,0.9405500196639908,0.8215804891489934,0.9817128829433825
J,0.708936645207003,0.8419837559044728,0.7221274585268359,0.9165515533168163
BLK,0.30197852999925395,0.5495257318809138,0.4980034112128757,0.4826403591335464
WELL,0.3416527758570811,0.5845107149206771,0.5121505838112206,0.4848554670716319
MSI,0.11566737457653761,0.3400990658272051,0.30333780462038407,0.3166452475311936
CBOE,0.010536025080163056,0.10264514153218873,0.08442063868870364,0.08594462047745219
LMT,0.30308141193240956,0.5505283025716385,0.48106474246086806,0.40286022498259144
ROL,0.1750029121765244,0.4183334939692546,0.37638912054651225,0.37258830712423163
CB,0.03349484960097898,0.1830159818184712,0.1752476189756236,0.17020045688745314
SYK,0.04354901530321434,0.208684008259412,0.1787442178041784,0.15810805745826895
UHS,0.2501357809018789,0.5001357624704305,0.41195676003621984,0.33439291857455633
LYV,0.262293869584734,0.5121463361039831,0.4367098001675027,0.3654957061484329
DXCM,0.021986433740686012,0.14827823083880523,0.12608188346998395,0.11222566260326215
XEL,0.022187222825665966,0.14895376069662009,0.12864284453877672,0.11271319121896183
K,0.034191028582841045,0.18490816256412546,0.16186658979090046,0.15568504254188592
CBRE,0.1543742150772477,0.3929048422674983,0.3457905451422731,0.29798087686827396
CNC,0.3362144131728109,0.5798399892839498,0.4839778643005934,0.39320011430057494
VZ,0.0013151482045441806,0.036264972143160136,0.02887883126086238,0.030064068026425896
YUM,0.015502405895770779,0.12450865791490477,0.10269030426756737,0.10857206893549741
CRM,0.09236003215490464,0.30390793368206864,0.26567248664344223,0.26901934701100627
TROW,0.29694807156644265,0.5449294188850907,0.48529421104348475,0.4947588982873486
IVZ,0.054167840944659935,0.23273985680295486,0.21702454681653555,0.20648186387492737
WU,0.047504593059318284,0.2179554841230619,0.20318495025235583,0.22866415998482145
LIN,0.09816433736374418,0.31331188513004765,0.27291757195329774,0.27189978910970763
WEC,0.017849370068708324,0.13360153467946512,0.11368185930036877,0.09952875202893613
ESS,0.6359046330108108,0.7974362877439243,0.7103993431034211,0.6053125202558622
VLO,0.17350007982491586,0.4165334078137261,0.3395106864045936,0.3338300383941603
ADSK,0.28047908890512746,0.5296027651977729,0.46578927579916823,0.42619222089795333
COST,0.03609919083663675,0.18999787061079593,0.13603502146896357,0.13027021260029784
VTRS,0.05607085994339306,0.23679286294859703,0.21248173052280597,0.18287109310817093
TSLA,0.2605269117481534,0.5104183693286846,0.40991219571248033,0.33253374500195604
ROP,0.33856792088041326,0.5818658959592092,0.519664653611065,0.48903962082439395
ADBE,0.0975665282324029,0.31235641218390714,0.2653099806960232,0.2317302686727456
ODFL,0.017556903933527802,0.13250246765071133,0.1224061784926228,0.10099215285227142
REGN,0.24870311285607563,0.4987014265631046,0.4225093786269257,0.37518701220420514
STT,0.0687921799671702,0.2622826337506359,0.24606087525163234,0.2544837968250565
NOV,0.07845923770030175,0.28010576163353323,0.23580515700113563,0.2322955319809637
CMS,0.007247852399932538,0.0851343197537429,0.06987184041229992,0.060745689723276465
AON,0.0015519962222523573,0.03939538326063547,0.0313573041410053,0.030630025438621398
GE,0.21407317062408845,0.46268041953824723,0.41833838097478915,0.44282869129553626
ECL,0.005515929568485173,0.07426930434900526,0.06062656332126672,0.05823640991593624
APA,0.031112881382966896,0.17638843891527273,0.13333292761515378,0.135019554034228
IPG,0.02275698087920128,0.1508541709042255,0.13365911597284563,0.1263645649051735
BA,0.0356861048861853,0.18890766232788256,0.1743009292900505,0.18883583290778536
CSCO,0.07499843858167687,0.2738584279909546,0.2403429802890452,0.22510085278523873
NWS,0.03678721723460683,0.1917999406532933,0.16666710764610337,0.19006712700444775
CDNS,0.008484337337155286,0.09211046269102814,0.0747977389511357,0.06450242363021937
TFC,0.33926365226845107,0.5824634342758789,0.5026721052363372,0.4868130463969176
D,0.0051389168039366615,0.07168623859526081,0.06473395888450012,0.06004408223821998
IDXX,0.006375272627782169,0.07984530435650032,0.057849693556828334,0.05139429693610507
KEY,0.07621543827091928,0.27607143689798713,0.23962041865908987,0.2370027795785567
COF,0.18310902751723337,0.42791240636049965,0.3831768665694144,0.36221817282047125
DPZ,0.021033592661300497,0.14502962683983056,0.0967280841394095,0.07897019208336742
EFX,0.02513202664878372,0.15853083816337982,0.14359729530682666,0.13310743200677203
PCAR,0.15309518422199067,0.3912737970040809,0.3299742834909891,0.3050829954250803
CMCSA,0.3029220946078497,0.5503835886069367,0.48566763560753806,0.46413648988473666
