,mse,rmse,mae,mape
AWK,0.057169630364416545,0.23910171551960172,0.20827398524397628,0.1798596239599608
IBM,0.46892765737498104,0.6847829271929763,0.582451345171539,0.6064431297806463
SEE,0.4442017238879925,0.6664846013885036,0.598507834404999,0.576717642621431
UPS,0.17017693428007838,0.41252507109274994,0.37636274638400213,0.3831153689016361
FCX,1.156422443430142,1.075370839957148,0.934511601151345,1.115958003772797
J,1.1093648757839014,1.0532639155424919,0.90231409203323,1.1453472975785977
BLK,0.4795197593742296,0.6924736524765615,0.6196971495820995,0.5991340070679261
WELL,0.24096676665569972,0.4908836589821459,0.43195563176283136,0.4092201425110604
MSI,0.21292303700385548,0.46143584278191424,0.40555659044254205,0.42339365456386363
CBOE,0.04355005753406359,0.20868650539520658,0.18299488241653172,0.17977489066020405
LMT,0.4226764811223574,0.6501357405360494,0.5639748166280175,0.47141542391258195
ROL,0.25287791050596764,0.5028696754686721,0.4462732832150486,0.44137620967340646
CB,0.08029939907123725,0.28337148598833517,0.26128531560774076,0.2518229737366633
SYK,0.11472685610313489,0.33871353103047847,0.2874595346393177,0.25330439278828437
UHS,0.28290661455252797,0.5318896638895402,0.4445479929652129,0.36264047854870224
LYV,0.3380557475843991,0.581425616553312,0.49233824394959147,0.4114572412115548
DXCM,0.030711025979277756,0.17524561614852954,0.14933092942387896,0.1358401205285317
XEL,0.0024943176169740567,0.04994314384351527,0.03956212004195267,0.03469652021635248
K,0.013476947622311707,0.11609025636250317,0.10174530931976754,0.09750159757081749
CBRE,0.157901139203692,0.39736776316617833,0.3442949204555108,0.29619869393409803
CNC,0.19850604688768128,0.4455401742690341,0.3678434023445813,0.2975233103923723
VZ,0.014949620737215582,0.12226864167567898,0.10919078103281923,0.11109578042630879
YUM,0.0556816803983583,0.2359696599106722,0.1977811462156615,0.20773459257411447
CRM,0.19152983643140228,0.4376412188441604,0.37411025290491523,0.3778638524235802
TROW,0.5165962747664685,0.7187463215672609,0.6336837576986311,0.6459374517551331
IVZ,0.08445539125301771,0.2906120975682494,0.26577956485182913,0.25139707751138074
WU,0.09297919874469963,0.3049249067306566,0.278285882886574,0.3116832335340797
LIN,0.24623535153475634,0.49622107123212367,0.428942254764579,0.4272469246811696
WEC,0.0033389247834433814,0.0577834300076015,0.04656395563750341,0.04115772832698517
ESS,0.5797532788504672,0.7614153129865903,0.6806799987450906,0.5804076932054426
VLO,0.20936042626527557,0.4575592052022072,0.3700901827396212,0.3642169523815344
ADSK,0.4158659765503976,0.6448767142255933,0.5626364973578323,0.5135440936616045
COST,0.00840921560105148,0.09170177534296423,0.06294970938967649,0.060222494228436084
VTRS,0.01722768429403147,0.13125427343150192,0.11046341234082484,0.09417597129814792
TSLA,0.35463179599585404,0.5955096942920862,0.4773854055675551,0.38549766398607127
ROP,0.5939110516027145,0.7706562473650068,0.680962918618355,0.6396549380916587
ADBE,0.19175340029413002,0.4378965634646269,0.3698241385074784,0.32183834020573443
ODFL,0.07166920032070384,0.2677110388473061,0.24199780076511856,0.19396651065159107
REGN,0.19867636172668451,0.44573126626554316,0.3782601333167795,0.33584300128755107
