,mse,rmse,mae,mape
LVS,0.21360875727806847,0.4621782743466729,0.37942737490339107,0.46045496910021
PAYX,0.6181919001098592,0.7862518045193023,0.7087221868113492,0.7463350536987201
KMI,1.1535488317175453,1.0740339062234234,0.9593857865953128,0.9425633688236204
WAT,0.09166926524013459,0.30276932678218016,0.2508468461865591,0.25308452359438754
UNP,0.0026946731107411106,0.051910240904286996,0.03824452404999706,0.030932209159212565
LRCX,0.21331114822274538,0.4618561986406,0.4243903757059255,0.3422079900822154
EW,0.10161421440032012,0.31876984550035486,0.24394445349807628,0.1816745294672334
ROL,0.25276048862338424,0.5027529101093142,0.44598354940651025,0.4456857856521223
MSFT,0.1895944987779068,0.4354245041082401,0.3716709944070778,0.32225557159731977
CVX,0.11043837283172762,0.33232269382593727,0.2891825394860914,0.30584036807947235
AJG,0.004836359573793711,0.06954393987827918,0.062148487332043756,0.0648837752463987
DOV,0.5522523836334651,0.743136853906106,0.6363699967147174,0.6319003221238809
CDW,0.015975645853615442,0.1263948015292379,0.10925139414776518,0.08269666452726389
DLTR,0.020142809202875988,0.1419253649030926,0.13044014672895674,0.14245850479006655
BKR,0.06591578813727064,0.2567407021437595,0.16660353953447954,0.16657413490900916
PRGO,0.019267243784953446,0.13880649763232789,0.11274911893523748,0.11448772169365433
GD,0.13400954801397538,0.36607314571540944,0.3124647250062034,0.2384515967357586
TXN,0.012510857981337452,0.11185194670338756,0.09322084946560336,0.086366883455696
ARE,0.005064088532909423,0.07116240954963107,0.053871874923474346,0.046461693862859955
A,0.2782842526541374,0.5275265421323722,0.46089879339614565,0.46806713761443275
BDX,0.15303496101539196,0.3911968315508089,0.3438385060589724,0.3126633109123959
DVN,0.038860691392494165,0.19713115277016507,0.12971503847559676,0.13743657712101906
ORLY,0.020141772759968306,0.14192171349010801,0.11857186510828364,0.10182054322064042
FFIV,0.279332912960969,0.5285195483243444,0.4409477403255183,0.3418728101649132
MSCI,0.02059843686190402,0.14352155539118164,0.11776611344186694,0.11377315640507578
UNH,0.0458257605605373,0.21406952272693397,0.19500380140307327,0.17261410295895951
SCHW,0.09590670182481789,0.3096880718155252,0.27110154822949173,0.2537052553292317
HBAN,0.16682496647112793,0.40844212132336194,0.3638515877735579,0.361534907204698
PNC,0.06422109708558232,0.2534188175443614,0.20765247662787015,0.18884963575875685
GOOG,0.2045549280166116,0.45227749006181106,0.3809038210986323,0.3858714053950111
MET,0.36507278200093385,0.6042125304898384,0.5352279938502118,0.5432297917723569
RJF,0.4683681390174465,0.6843742682315331,0.6023060205227992,0.5917054873599492
IT,0.49676521197470636,0.7048157290914459,0.6302334078457017,0.5968765116418697
AAL,0.03500524107255598,0.18709687616995635,0.160933418506164,0.113241773146144
HCA,0.13541293377446653,0.3679849640603085,0.30305796062490176,0.22625982508137263
SYY,0.04031504377371143,0.20078606469003626,0.18258070593558243,0.19521818939914026
