,mse,rmse,mae,mape
LVS,0.23171891324613667,0.4813719074126955,0.39620214360100187,0.48043262353225197
PAYX,0.501984840125647,0.7085088850012023,0.6404661694820978,0.674823619633754
KMI,1.104957047233973,1.0511693713355488,0.9393692407022701,0.9230643175488853
WAT,0.045645020325115936,0.213646952529438,0.17945207213991865,0.18134395648724516
UNP,0.0028750066838768387,0.05361908880125471,0.04112902850713068,0.03225014504884851
LRCX,0.1836032382361774,0.4284894843939317,0.3946188702393622,0.31880726744175675
EW,0.03243056962363617,0.18008489560103638,0.11988143852502657,0.08562593339463422
ROL,0.23802226179485614,0.48787525228777096,0.43350866868037286,0.43325873473673826
MSFT,0.18994546769624726,0.43582733702264165,0.3715233969743385,0.3220525782978321
CVX,0.10071818093917755,0.3173612782605615,0.2768178303757197,0.29281046107375236
AJG,0.0010393228179115842,0.03223853002094829,0.026690687855030412,0.028064828154556607
DOV,0.5165756935203379,0.7187320039627692,0.61484907826992,0.6106103453690298
CDW,0.018689924066234456,0.13671109708518345,0.11890806124208154,0.08981359852951308
DLTR,0.011830551094972863,0.10876833682176473,0.10033198376675756,0.10998414219164315
BKR,0.026238626188794995,0.16198341331381738,0.12679919784180205,0.12196860891481293
PRGO,0.02813883584964824,0.16774634377430778,0.1371900045521528,0.13953875365211402
GD,0.06543520064803947,0.2558030505057347,0.2149128222903509,0.16398508110952761
TXN,0.005526452574061599,0.07434011416497556,0.05783729432562466,0.054357380095570375
ARE,0.001978135614825618,0.044476236518230926,0.036104187541936,0.032208901706875306
A,0.19150232254624083,0.4376097834215328,0.38222784077359423,0.3882986316112812
BDX,0.04731019158723194,0.2175090609313367,0.19063609335854495,0.17426463558526226
DVN,0.028931839126499617,0.17009361871187179,0.11320404522382245,0.11944677776363888
ORLY,0.012059880567588336,0.10981748753084973,0.0903242358882051,0.07846938802713999
FFIV,0.2075132867126511,0.4555362627855779,0.38196893404948906,0.29640292697234843
MSCI,0.016563963934647142,0.12870106423276825,0.10356096713936093,0.09986644336786023
UNH,0.012561688220180656,0.11207893745115831,0.10033952127458522,0.09083456182859341
SCHW,0.03963480028644475,0.19908490722916378,0.17351024249116773,0.16303976780664708
HBAN,0.15100084728086433,0.38858827475988555,0.3458263367357992,0.3436761915987508
PNC,0.03711135781267983,0.19264308399908842,0.15560732809818853,0.14164812797165466
GOOG,0.19681164767984333,0.4436345880111731,0.37332058772103666,0.3782885375348964
MET,0.2732566968334747,0.5227396071023074,0.4639359357405085,0.4711027672049453
RJF,0.4248592072410702,0.6518122484589179,0.5737704947374658,0.563836639606978
IT,0.3618573103011928,0.6015457674202295,0.5394894920119411,0.5115161815996708
AAL,0.03673166486048198,0.19165506740100033,0.16496544267192323,0.1148923304033625
HCA,0.08569141452657408,0.29273095928953957,0.23480201230837433,0.17369895136783886
SYY,0.10600804346438601,0.32558876433990475,0.29184542762068194,0.31139248223918836
CTSH,0.33767410455372476,0.581097327952663,0.5058927064260194,0.525187821047768
J,0.9712685477956529,0.9855295773317272,0.8427503106516434,1.0702928467044046
AAP,0.1374568839183833,0.3707517820838941,0.3166526554125879,0.2590418806051791
LH,0.466226284912614,0.6828076485457775,0.6015222519040563,0.626664809153725
HRL,0.015065531728540582,0.12274172773975679,0.10341858753844883,0.09395137758390773
IPG,0.05699461294193654,0.23873544550806974,0.20975342183766926,0.1984856474373895
APA,0.017394990311756058,0.13189006904144093,0.10163976606384403,0.10822459958760494
AMT,0.008516033385511285,0.09228235684848586,0.08034968790572677,0.07024783020414165
CTAS,0.6167669729272806,0.785345129817,0.699775063377498,0.6277142694502701
ABBV,0.00954305437283147,0.09768855804459123,0.08765955318254669,0.08784239421237726
RMD,0.07323556271207568,0.27062069897196644,0.22580972030018692,0.25020324558426105
LNC,0.0047962900368935186,0.06925525277474279,0.05607876410525294,0.05827980762275316
PG,0.06966287230103664,0.26393725068856166,0.21323206142620804,0.21427303707254647
JCI,0.8827626561932561,0.9395544987882587,0.8101560255543403,0.7727644458653131
MKTX,0.06455599003714514,0.25407870835067065,0.23677963351478834,0.28745098295389554
CSX,0.019862136547132727,0.14093309244862517,0.13177363167604203,0.12264896392149459
ALGN,0.029213675108141848,0.17092008398120406,0.15582337739183275,0.17299386803077035
SEE,0.36263972780008946,0.6021957553819932,0.5420125667043052,0.5272722960146761
TSCO,0.4295957378074142,0.6554355329148811,0.59258349601775,0.6890439424195941
WAB,0.6673536379375984,0.8169171548802231,0.7133386516000757,0.6578023939402283
LOW,0.06836873150205548,0.26147415073397884,0.24024918202344156,0.2438868146352242
V,0.7374298388463856,0.8587373514913542,0.7586139373151743,0.7545017295861876
TT,0.8666990191961078,0.9309667121847632,0.8189850792697854,0.8349887636893067
TSN,0.030736984048527982,0.17531966246980965,0.1610093031500045,0.13658568614091707
VTRS,0.03613386615437659,0.19008910056701459,0.16996188726549347,0.14595221157587276
MHK,0.24112608859305917,0.4910459129175796,0.4379310560001235,0.46597971728513066
CPRT,0.10875215107155134,0.32977591038696463,0.28781855231775705,0.30611799295425773
FIS,0.16000772816566655,0.4000096600904365,0.35378117397538467,0.33493794207962174
