,mse,rmse,mae,mape
LVS,0.0574025732082066,0.23958834113580443,0.19658976180485543,0.23861964676787176
PAYX,0.44305089693970556,0.6656206854806314,0.6048544037735537,0.6378204953318859
KMI,0.8527705399942123,0.9234557596302122,0.8308721253982512,0.8180330925051649
WAT,0.27832594250523357,0.5275660551108586,0.4392265691893918,0.4417425906586699
UNP,0.045164310976691706,0.21251896615759194,0.17728609767489048,0.13992483087440125
LRCX,0.13754052428294472,0.3708645632612325,0.3444625498704587,0.2799585997619183
EW,0.516350196720618,0.718575115572908,0.6281552680753958,0.5038029889030277
ROL,0.13644936613879166,0.3693905333637987,0.33163568139559324,0.3317979778176969
MSFT,0.3114753320157278,0.5580997509547265,0.4764355829173585,0.4132096702300792
CVX,0.019012073146509986,0.13788427447142038,0.11827179806782566,0.12642881376840248
AJG,0.0014233721971925076,0.03772760524062596,0.03226029639887328,0.03387531526778021
DOV,0.3922015046295002,0.6262599337571423,0.537044600100692,0.5337101727683953
CDW,0.03552927157487444,0.18849209950253734,0.16764994111752668,0.12617091154090507
DLTR,0.008462762072310177,0.09199327188610142,0.08602656356964479,0.09349310034686455
BKR,0.2357746931926138,0.48556636332494635,0.44480030036203505,0.40528344019661566
PRGO,0.03139781935486803,0.17719429831365352,0.15116515622062165,0.1590793162465966
GD,0.23522909943320072,0.4850042262013814,0.4140463728586523,0.3154926516874967
TXN,0.0036579891040755615,0.060481312023430524,0.04442529773571119,0.03946009967528113
ARE,0.06920209706847257,0.2630629146582098,0.23553377508847037,0.20040114124142638
A,0.5756136635923521,0.7586920742912451,0.6584027372529287,0.6682320714201031
BDX,0.12235721798923763,0.34979596622779635,0.3079467646392318,0.28027272497589395
DVN,0.037812425422806,0.19445417306606202,0.12895357314283398,0.1363879935332998
ORLY,0.32258337176443586,0.5679642345821045,0.47664116362253584,0.3999538651552925
FFIV,1.23725588210028,1.1123200448163648,0.9314467479231855,0.7206183874000209
MSCI,0.1891866202374916,0.434955883093322,0.3655287750303267,0.3550214975613145
UNH,0.7847520438345523,0.8858623165224675,0.7731229967581944,0.6704673215507602
