,mse,rmse,mae,mape
LVS,0.2426263949804504,0.49257120803032167,0.40599582099821885,0.4921207900860038
PAYX,0.4678729324881173,0.6840123774378043,0.619169227376282,0.6525104488344525
KMI,1.1490083990220663,1.071918093429748,0.9575725410190472,0.9408319558314113
WAT,0.022242245217949118,0.14913834254794814,0.1271026106046699,0.12869853989019797
UNP,0.002960577632873229,0.05441119032766356,0.04180730516125958,0.03276286107451449
LRCX,0.14669176757800298,0.383003613009072,0.35424640687365916,0.2872048964331078
EW,0.026315227307450114,0.16221968840880602,0.10651951239316604,0.0762206297338471
ROL,0.22996542112736873,0.4795471000093408,0.4260855416549238,0.4258661035689026
MSFT,0.16288246308430715,0.40358699568284795,0.3431730958062202,0.29730053192585376
CVX,0.0997409375350868,0.3158178866611054,0.27557329723559754,0.2915082069094433
AJG,0.0015201677235073428,0.03898932832849705,0.03344593195304698,0.035122206715244526
DOV,0.45045381554368735,0.6711585621473418,0.5733289872449532,0.5697477780044968
CDW,0.01775992742479403,0.13326637769818023,0.11568194947953885,0.08740245769592153
DLTR,0.010610532572914364,0.1030074394056777,0.09608059944647225,0.10503673972998785
BKR,0.027111979762856845,0.16465715824966992,0.1270544895566179,0.12263743374502513
PRGO,0.021714201689074016,0.14735739441600484,0.11939491300000073,0.12128866763428592
GD,0.09402997852881086,0.3066430800275963,0.25994968333186186,0.19837240456874933
TXN,0.009255087846680863,0.09620336712756401,0.07944067010755508,0.07393192921347636
ARE,0.0019960971270935966,0.04467770279561827,0.03486813564492991,0.031138472096980535
A,0.19599583511051155,0.4427141686353753,0.3865871975489752,0.3927229037015846
BDX,0.0951753102481652,0.30850495984370363,0.27135863000809063,0.24720068626887878
DVN,0.026706865514658798,0.1634223531670585,0.1100613592224009,0.11581882717770912
ORLY,0.022370762694341496,0.1495685885951375,0.12620182915786313,0.10820442867226901
FFIV,0.22875340963083235,0.4782817262146154,0.40051177746991895,0.3107331890408719
MSCI,0.02407286798267788,0.15515433600991588,0.1265374179531003,0.1222213269498101
UNH,0.002873714564088467,0.05360703838199297,0.0458156838801779,0.04120964672387858
SCHW,0.03629438999944384,0.19051086583038732,0.16598430607981243,0.15604981011302932
HBAN,0.14385655146255644,0.3792842620813002,0.3377739217284611,0.33571442515435496
PNC,0.041922956589060374,0.20475096236418616,0.1661136097841436,0.1511876535804509
GOOG,0.16617561635977982,0.4076464354802821,0.3415359083023947,0.34627563592073646
MET,0.18267102920114195,0.4274003149286883,0.3801675193992826,0.38637582077945987
RJF,0.3901876907099568,0.6246500545985383,0.5500826618263029,0.5406468431448028
IT,0.4187118857040697,0.647079504932794,0.5795718070752803,0.5492373522845327
AAL,0.03684725279295365,0.1919563825272649,0.16526033406143525,0.1150928026101688
HCA,0.08191646321842619,0.28621052255014345,0.22875226761245301,0.16901433770361726
SYY,0.10778249455532793,0.3283024437242707,0.29461297170421885,0.3143713030904036
CTSH,0.3675276442426705,0.6062405828074119,0.5280344370126836,0.5480492558035889
J,0.8288194095993986,0.9103951941873367,0.7770891243922605,0.9874343361385527
AAP,0.12458398462921462,0.35296456568501977,0.3011295409905109,0.24638028484294816
LH,0.34815874005555486,0.5900497776082582,0.5204737006677145,0.5421738419368463
HRL,0.032587257313848296,0.1805194097980832,0.15454602577024745,0.14071454026354177
IPG,0.08525404337468497,0.29198295048629974,0.25719866454790447,0.2427870498950171
APA,0.01896212491697099,0.13770303161866476,0.10487176859864777,0.10999675119299608
AMT,0.016401281463788536,0.12806748792643874,0.11278564279475324,0.09807476585522377
CTAS,0.7086881293772699,0.8418361654011247,0.7490450599089108,0.67162933956631
ABBV,0.012225313135593652,0.11056813797651498,0.10007834107164096,0.10003820017249661
RMD,0.07372298445057088,0.2715197680659198,0.22651079014963207,0.25097178692678984
LNC,0.0061995445336385895,0.0787371864727118,0.06677045964682055,0.06890816454845533
PG,0.05893866780618222,0.24277287287953367,0.1948408878776886,0.19564534391680827
JCI,0.8905835201750775,0.9437073276048445,0.8138981458023358,0.7763379844148174
MKTX,0.059910478812080684,0.2447661717069593,0.22801877387731181,0.2771617565428746
