,mse,rmse,mae,mape
AWK,0.06599474370179546,0.2568944213131057,0.2207614864381718,0.18991670170137478
IBM,0.5084453687192493,0.7130535524904489,0.6113369079150451,0.6361481320328312
SEE,0.4099357141687802,0.6402622229749153,0.5763765101500429,0.5558322825751808
UPS,0.19836050079765755,0.44537680765578436,0.4041878970803897,0.410921283038641
FCX,1.1428099656227488,1.0690229022910356,0.932883828620667,1.1133388133026834
J,1.029590523062501,1.0146874016476706,0.8672119527026299,1.1014533834392128
BLK,0.47829440334297946,0.6915883192644158,0.6200340751090969,0.5995902084093924
WELL,0.23003948630654894,0.47962431788489307,0.4190664741440511,0.39619433173621094
MSI,0.20118864444723278,0.44854057168469474,0.3958715375099253,0.4135062113760613
CBOE,0.04374164895480759,0.2091450428645336,0.18516040175409437,0.1818542115025037
LMT,0.43437150362930227,0.6590686638198651,0.5710954383520984,0.47728106872971693
ROL,0.25921400552042595,0.5091306369886082,0.45321783729157017,0.448513706185911
CB,0.05994056927699204,0.24482763176772354,0.22773484848142048,0.2210519445640336
SYK,0.08168132450906158,0.2857994480559079,0.2434955923935774,0.21532999980254489
UHS,0.24070887896949608,0.49062091167162464,0.4060166335186859,0.3301244509406156
LYV,0.3099923306931675,0.5567695489995547,0.47003289130713105,0.39275138605768256
DXCM,0.04122916477202408,0.20304966085178297,0.17321698986050724,0.1566988186986155
XEL,0.002074312787518098,0.04554462413411816,0.03634509362946601,0.03199037039646597
K,0.010185432155087843,0.10092290203461177,0.08689688292267403,0.08315229433082914
CBRE,0.132873136209119,0.3645176761271242,0.3145318634694116,0.27048835666022
CNC,0.0504872784130726,0.22469374360020042,0.1705106423913889,0.13801855179063918
VZ,0.010954451985193249,0.10466351792861374,0.09280900114644869,0.0949250591333511
YUM,0.040045109137725854,0.20011274106794363,0.16356481738764853,0.17335739186600188
CRM,0.18452901405847522,0.42956840439966626,0.3687952185759071,0.3725729092373155
TROW,0.49220991216199567,0.7015767329109451,0.620207258735463,0.6324347235953299
IVZ,0.21245067456644048,0.4609237188152075,0.41895756573306636,0.39506929110114647
WU,0.1550732409507167,0.39379339881556763,0.3594727620952147,0.4023513428179362
LIN,0.23514003659685315,0.4849124009518143,0.4213702024502568,0.419874322441347
WEC,0.0033584823920223086,0.057952414893792895,0.0465397151954129,0.04106927771758432
ESS,0.5351035478702731,0.7315077223586045,0.6524569493573642,0.5559037953277784
VLO,0.28846846232645346,0.537092601258343,0.4408403232822307,0.43340066544305145
ADSK,0.45140506336950437,0.6718668494348448,0.5851476914941927,0.5339240406475729
COST,0.01295532625121358,0.11382146656590567,0.08356733481427187,0.08092759320779039
VTRS,0.020456084735575586,0.14302476965748132,0.11728702339330076,0.09994941842557559
TSLA,0.21697152283079074,0.4658020210677394,0.3747570684718985,0.30440219804620056
ROP,0.56664860188457,0.7527606537835051,0.6673079240370159,0.6271073619524348
ADBE,0.20906022343581607,0.45723103944922205,0.38555793804898236,0.33526773703889057
ODFL,0.06270671740323572,0.25041309351396884,0.22777158789911814,0.1836158091586199
REGN,0.09149895277724113,0.3024879382343057,0.24968214627512134,0.22003705775743937
