,mse,rmse,mae,mape
LVS,0.25404952841309547,0.5040332612170505,0.4164768383444577,0.5045072373116135
PAYX,0.4635262421148937,0.6808276155642438,0.6168166969862716,0.6500728106849489
KMI,1.048927430379867,1.0241715824899005,0.9164053384223747,0.9007528883103607
WAT,0.04435255660421391,0.21060046677112068,0.17651835567626417,0.17842991667229946
UNP,0.0023778971349963096,0.04876368664279096,0.03649952225785341,0.028607061717692468
LRCX,0.1781510589892075,0.422079446300347,0.3892494445694861,0.3147379732891713
EW,0.03666209915716281,0.19147349465960767,0.1293231345587565,0.09263079097190355
ROL,0.20725728689887102,0.45525518876655435,0.40522374917087806,0.4051489127687981
MSFT,0.18976609277194004,0.4356215017328002,0.3709728507989478,0.32150426426931056
CVX,0.0882531482297154,0.2970743143217121,0.25914342812984226,0.2743278376281897
AJG,0.0006974942755271917,0.02641011691619694,0.021558837006463768,0.022229080160764202
DOV,0.5051873119721643,0.7107653002026507,0.6084336561253771,0.6043296210977475
CDW,0.014929361645145973,0.12218576694994378,0.1051765475615622,0.07952747716076243
DLTR,0.012550980158290096,0.11203115708716971,0.10320105362062001,0.11320674136200598
BKR,0.02603621258707579,0.16135740635953402,0.12632523877420412,0.12144561084819
PRGO,0.0270040844441397,0.1643291953492735,0.1338630992968147,0.1361406318097687
GD,0.06443279799561158,0.25383616368754786,0.21374869571991806,0.1632377516613156
TXN,0.007706641529667847,0.08778747934453891,0.07134085808226497,0.06667251520543893
ARE,0.005117118983944157,0.07153404073547193,0.06563053433833531,0.05676984431528999
A,0.2145611990735238,0.463207511892374,0.40501272072470257,0.41141255116489217
BDX,0.1043416380468208,0.32301956294754164,0.28458519596995496,0.259207022493083
DVN,0.03701413148467479,0.1923905701552828,0.12687731100920094,0.13447722603980153
ORLY,0.01069985865773282,0.10344012112199415,0.08359559226694503,0.07290004387191404
FFIV,0.21931859648660015,0.46831463407265006,0.39222516564399085,0.30433848785461237
MSCI,0.0246061627826717,0.1568635164168893,0.12772364139121065,0.12336390715694232
UNH,0.023185113735707516,0.15226658771939272,0.13896457361179046,0.12431980358658844
SCHW,0.034943436413253925,0.18693163566730464,0.16313923831309693,0.15343959360341441
HBAN,0.1365806939480458,0.3695682534364198,0.3297940907394191,0.32784722410374034
PNC,0.02634172795847622,0.1623013492195189,0.12972608552704618,0.11820064740429626
GOOG,0.16579281200458543,0.4071766348952079,0.34161545948139177,0.34632234621847136
MET,0.23177420608674393,0.4814293365456076,0.4281315928226885,0.43491640933072384
RJF,0.44590264386321965,0.6677594206473014,0.5882942967311167,0.5780613444718701
IT,0.35819244853100024,0.5984918115822473,0.5372292554180246,0.5094521014100454
AAL,0.03619124767026875,0.1902399739020923,0.16382101395608686,0.11423580817077836
HCA,0.08003172292131883,0.2828987856483637,0.2252654363021462,0.16621424838246848
SYY,0.12920200221157324,0.35944680025223935,0.3222536478916055,0.34380399587192373
CTSH,0.35828198857238497,0.598566611641833,0.5217477534448585,0.5415670391624434
J,0.9814166973655956,0.9906647754743254,0.8478151030778783,1.0765113590615922
