,mse,rmse,mae,mape
LVS,0.20795739516801656,0.4560234590106265,0.37411040443549665,0.45409405398861463
PAYX,0.6336916497044158,0.7960475172402812,0.7173461049303597,0.7553783675254108
KMI,1.2104040289341653,1.1001836341875684,0.9822437153456514,0.9648692469493338
WAT,0.08784200990055874,0.29638152759670894,0.24560060548143084,0.24781887093061472
UNP,0.0038476508446217954,0.06202943530793905,0.046469743124960564,0.037471010013406844
LRCX,0.22746153623636645,0.47692927802386637,0.43765964997632795,0.35257371513098007
EW,0.11120305272794907,0.33347121724063244,0.25791793482014724,0.19294603105305952
ROL,0.2735803092192795,0.5230490504907541,0.46382680586016406,0.46344719139863233
MSFT,0.1782249458069574,0.42216696437186724,0.36002006644435414,0.31208500435106995
CVX,0.10909851484299726,0.3303006431162332,0.2874036850987258,0.3039781388274292
AJG,0.004684264125919358,0.06844168412538779,0.06117555661515729,0.06387547242046546
DOV,0.6436136180360716,0.8022553321954748,0.6883388527639221,0.6830499368953676
CDW,0.01607190732302825,0.12677502641698896,0.10957594428895569,0.08292396326545542
DLTR,0.015047474393647843,0.12266814742893871,0.11122393506673568,0.12222930209991606
BKR,0.06638571065292141,0.25765424633202033,0.16705806157583242,0.16704460363998896
PRGO,0.008869161196738648,0.09417622415842891,0.07617011863855597,0.07739058637414181
GD,0.1304482984961354,0.3611762706714485,0.30811959345781714,0.23513146014785885
TXN,0.009674991759818837,0.0983615359773262,0.08035680015255836,0.0747284670715182
ARE,0.004798230284703354,0.0692692593052889,0.052331394560625646,0.04519624073957278
A,0.2863051842192581,0.5350749332750115,0.4675094436692341,0.4747677256056209
BDX,0.14967180562307172,0.3868744054897813,0.3400583041142524,0.30925084031794675
DVN,0.030496319916470813,0.1746319555994,0.1169559383000455,0.12332625689291447
ORLY,0.027336655310301737,0.16533800322461178,0.1393123441829835,0.11906451705444838
FFIV,0.3584218909561309,0.598683464742539,0.4990560348749865,0.38680261342873945
MSCI,0.022076583966814792,0.1485819099581601,0.12222772792225851,0.11812484924556024
UNH,0.023798316347619093,0.15426702936019443,0.1404529564222415,0.12543930982037674
SCHW,0.09718708731748997,0.3117484359503508,0.27298218225946563,0.2554597903274318
HBAN,0.1650261435637286,0.40623409945957095,0.3619583292641323,0.35966505387286035
PNC,0.06662111661213271,0.2581106673737696,0.211787030254375,0.19260127607889496
GOOG,0.20044628572363826,0.4477122800679453,0.37691313673231897,0.3818523075795883
MET,0.3445561781855165,0.5869890784209844,0.5200326668196911,0.5278555809361779
RJF,0.48145618574488397,0.6938704387310962,0.6106600883332788,0.5998849801391406
IT,0.5077912265809804,0.7125947141124332,0.6370771016045936,0.6033176755553328
AAL,0.03513579989821225,0.18744545846248784,0.15970200943210858,0.11308596993886691
HCA,0.12522519143189534,0.35387171606656465,0.29039258045330973,0.21652125195418184
SYY,0.09112908579457309,0.3018759443787681,0.2717775652656717,0.29012491609846425
CTSH,0.45496390034042783,0.6745101187828303,0.587818538020902,0.6097707990061783
J,1.0761218650781939,1.0373629379721419,0.8883978730955711,1.1277968853659965
AAP,0.14789766819601263,0.38457465880633973,0.328300832265009,0.2684972216530269
LH,0.23070704236707132,0.4803197293127478,0.42476359532342317,0.44239109598133897
HRL,0.04162880748928859,0.20403138849032174,0.1760101143496485,0.16043820294423633
IPG,0.09874110354624686,0.31423097165341113,0.27615987789141705,0.26046661358700735
APA,0.015232766504557821,0.12342109424469475,0.1001110806913501,0.11738241091425622
AMT,0.007806645030090909,0.08835522072911656,0.07631260173845868,0.06673736661987567
CTAS,0.8425448501953379,0.9179024186673319,0.8158370334236752,0.7312231487984429
ABBV,0.009107046061453525,0.095430844392437,0.06639008444818001,0.060581715059646025
RMD,0.08965268152784078,0.29942057632674607,0.2512177666844445,0.278603238084372
LNC,0.025955973359917225,0.1611085763077721,0.1487228889579819,0.14949263156828657
PG,0.07256927175607442,0.2693868440664362,0.21878854495978198,0.21997404222764572
JCI,1.1526993714811251,1.0736383802198601,0.927076644752747,0.8841783482001655
MKTX,0.11519507977454448,0.3394040067155137,0.31573604769314045,0.3798517445174854
CSX,0.031164089132661322,0.17653353543352981,0.16522072450575773,0.15246278325540402
ALGN,0.02539453143597394,0.15935661717033886,0.14502905375911232,0.1611741113065637
SEE,0.382806076919567,0.6187132428836213,0.5559307518881395,0.5406215718630124
TSCO,0.5113131243500182,0.7150616227640931,0.6451378620106258,0.7495222099412849
WAB,0.7014753031087954,0.8375412247219807,0.7316178171302812,0.6746332818044051
LOW,0.09589855865571385,0.3096749241635717,0.28494701974749687,0.28744283947999616
V,0.8140046480446318,0.9022220613821366,0.7973231032679062,0.7927742641242969
TT,0.875841075978856,0.9358638127307071,0.8231989713521071,0.839316483385552
TSN,0.04538312942708987,0.21303316508724615,0.19808736652916006,0.16847536460551196
VTRS,0.016187212129109764,0.12722897519476356,0.1063211242163367,0.09059721921269916
MHK,0.3003402244246883,0.5480330504857241,0.48796597989528645,0.5188818632553607
CPRT,0.07368773866391293,0.2714548556646444,0.23539837463602842,0.2508144783323133
FIS,0.24160363559625866,0.49153192734171264,0.4342473253136315,0.4108467046535271
NOV,0.029633687156815847,0.17214437881271594,0.1408795943687349,0.138662672951029
IBM,0.5029094285349041,0.7091610737589198,0.6040666597425199,0.6394587801894758
APTV,0.015637401672162144,0.12504959684925876,0.09334549779933374,0.0831379572240386
LLY,0.002149925807420872,0.04636729243142058,0.03722081681470277,0.030855717620147643
AWK,0.06468718932915878,0.25433676362091023,0.22148782440915227,0.19594086009329528
GOOGL,0.1538731653130355,0.39226670176429135,0.3272727774534625,0.3276509488667966
EQR,0.20152758106919386,0.44891823428013466,0.3990864666523342,0.34086317508597347
RTX,0.20107214085786806,0.44841068325572714,0.37907413795261563,0.391233338509399
NTRS,0.5300340885916124,0.7280344006924483,0.6380238046293962,0.6028420307724173
PSX,0.2960215725171146,0.5440786455257315,0.4544746126123985,0.44691206770102426
KMB,0.0017697441580880248,0.04206832725564477,0.02847974421404296,0.028855318868186555
XOM,0.44574311639581016,0.6676399601550301,0.5836132648172588,0.6145351307268548
CHTR,0.004069034788272977,0.0637889864182915,0.048086827276828045,0.04849223565684482
PNR,1.4297562129639865,1.195724137484891,1.0302812444966842,1.16532283500848
ADM,0.3199549698579375,0.5656456221504216,0.5108109151587612,0.47162340196839236
FLS,0.8000173362278863,0.8944368821934202,0.7658674453189119,0.872146106448026
ES,0.026606800617242705,0.16311591160044045,0.1373800147944312,0.12819921311207494
HES,0.17668651637867147,0.4203409525357617,0.34289935256534626,0.34586757925415335
HAL,0.07084606855511359,0.26616924795158736,0.15795711164756224,0.18511277184333025
IVZ,0.10535317054749492,0.3245815314331592,0.29558783612399814,0.2837369601529649
TDY,0.14788410733628327,0.38455702741762926,0.333664299662546,0.3180153284199997
ALB,0.9656172558601237,0.9826582599561883,0.8721755354427291,0.9622563106107719
ICE,0.21105715397614072,0.4594095710541311,0.4202137251434253,0.47186343923344864
LYB,0.09679618531417221,0.31112085322937166,0.2091311216892224,0.1902848849611112
APD,0.23169629458145283,0.481348412879333,0.424667164899318,0.37089655633619373
IRM,0.13016714055168432,0.36078683533588685,0.3446243887016782,0.3175590509232413
USB,0.10972351865194281,0.33124540548050296,0.2871728371596626,0.27535474795755455
FRT,0.07582837367400352,0.2753695220499239,0.24841084741218378,0.21855447294387478
GLW,0.03806500879405646,0.19510255968094437,0.13824823129062425,0.12218981399844377
