,mse,rmse,mae,mape
AWK,0.06153759733367312,0.2480677273118636,0.21614851152399542,0.1866448577004167
IBM,0.5028783585679651,0.7091391672781621,0.6039761413656338,0.6287032379528346
SEE,0.44981873762035945,0.670685274641064,0.6022553187568984,0.5803008896544728
UPS,0.19807175197555452,0.4450525272094908,0.40503160498451124,0.4120787573660481
FCX,1.2457274079105822,1.116121591902326,0.9703935768607339,1.1583215184963804
J,1.1860933601191777,1.0890791340022898,0.9338332500495212,1.1850529744471725
BLK,0.6398253518884991,0.7998908374825274,0.713968925180373,0.6898250372866328
WELL,0.21363122774349932,0.46220258301257827,0.4067242656755909,0.38528933007563043
MSI,0.24526426515729885,0.49524162300567875,0.43520438783545246,0.45426302665489793
CBOE,0.05517983520570144,0.2349038850374796,0.2064682745639551,0.2021213486353729
LMT,0.4213168905229309,0.6490892777753542,0.5630041183369244,0.47059524589747037
ROL,0.2604910329082128,0.5103832216170637,0.452856312443668,0.4478573264248199
CB,0.0675783772762762,0.2599584145133144,0.24056396231768873,0.23205279795731548
SYK,0.12033997896777317,0.3469005318067027,0.2946603843540949,0.2596328177238922
UHS,0.27801877796244534,0.5272748599757486,0.4403657668666665,0.3591290778418817
LYV,0.3908679836311042,0.6251943566852665,0.5309195764149377,0.44362305305121397
DXCM,0.03144987273931733,0.177341119708085,0.15099004295224627,0.13740821941546633
XEL,0.0031554739611569134,0.056173605555962965,0.045116500205920916,0.03951455720637625
K,0.01733556651022895,0.13166459854580861,0.11584636219729952,0.11111142598807446
CBRE,0.14627890602895113,0.38246425457675276,0.3309866212489088,0.28479909441600715
CNC,0.03422584978235941,0.18500229669482324,0.13739989882537448,0.10834055553591292
VZ,0.018784982218789627,0.13705831685377443,0.12240562732702621,0.12442177094328197
YUM,0.0877533004168628,0.2962318355897333,0.25128080550572457,0.26334702405575505
CRM,0.22502219835801618,0.474365047572032,0.40456069500070047,0.4085497932532585
TROW,0.5542146248220795,0.7444559253724021,0.6561689775470193,0.6688180857711684
IVZ,0.08505875925694337,0.29164834862714956,0.2667705353652484,0.25232841005777684
WU,0.17515966532891283,0.41852080632737104,0.3787338463283491,0.4231437498614053
LIN,0.2517112809495386,0.5017083624472873,0.4337351720212685,0.4320161146321667
WEC,0.0027675457399980344,0.052607468481177026,0.042200817332900105,0.03773770682182036
ESS,0.5677454058151917,0.7534888226212727,0.6736544319015276,0.5744222038798867
VLO,0.24402851806113576,0.49399242712933944,0.40204375374341494,0.395286186037366
ADSK,0.4633108341538085,0.680669401511342,0.5941050089960974,0.542136265594698
COST,0.003667202910016693,0.0605574348038017,0.05446076224467517,0.0559387294150033
VTRS,0.006790905063905038,0.0824069479103858,0.06441374748759941,0.05620443255749844
TSLA,0.2154516627336991,0.4641677097059845,0.3693041584664428,0.29909735018707084
