,mse,rmse,mae,mape
LVS,0.28880122329205166,0.5374022918559723,0.4450785263301412,0.5387634947925872
PAYX,0.46301370438432565,0.680451103595494,0.6157274027426525,0.648858617604438
KMI,1.1688671777687905,1.081141608564202,0.9655610668955906,0.9486016707523947
WAT,0.03100677405196915,0.17608740458070574,0.14856024162538758,0.15029317380457222
UNP,0.0020934855501015723,0.045754623264775904,0.03406122397881684,0.026818520153471536
LRCX,0.20764337097326035,0.4556790218709441,0.41883979226466,0.33782576390949637
EW,0.022365311921875186,0.14955036583664777,0.09775453705402097,0.07033764236600532
ROL,0.24797490121562207,0.497970783496002,0.4422496698731706,0.44197601072852266
MSFT,0.14796812975853452,0.38466625762930456,0.3266696349004469,0.2829165319853961
CVX,0.12573918535363915,0.35459721565973856,0.30962575726880653,0.3271850253900727
AJG,0.0007995866380153203,0.028276963026734683,0.023209894522278247,0.024370843455894846
DOV,0.5058928859903872,0.7112614751203576,0.6082129922724785,0.6041180643941417
CDW,0.014532307505165635,0.12055002075970636,0.10386961928902756,0.07865362614034689
DLTR,0.009653000764484292,0.09824968582384522,0.09230801937805826,0.10063688343817163
BKR,0.05009251865161581,0.2238135801322516,0.15216012320351252,0.15109998164058963
PRGO,0.0078736718787429,0.08873371331541863,0.07166257069799019,0.07293347823415242
GD,0.07901762537000402,0.28110073882863423,0.23679797055779828,0.18061566967243362
TXN,0.00973333560479349,0.09865766875815327,0.08151517689249134,0.07581331194801896
ARE,0.002242791097732684,0.04735811543687823,0.03579086408306581,0.03186792719331872
A,0.21675402920827255,0.4655685010911633,0.4064797547692661,0.4128924641755959
BDX,0.09228384752630564,0.3037825661987627,0.26710937883856334,0.2433613355352067
DVN,0.032381984500025454,0.17994994998617103,0.1192498774660557,0.12608172970927
ORLY,0.011203348715888062,0.10584587245560434,0.0859258689264228,0.07480780729759155
FFIV,0.25318647343682693,0.5031763840213757,0.42061696747297883,0.32622835764963637
MSCI,0.010597883639116007,0.10294602293977173,0.08256363934567432,0.07959921603772067
UNH,0.009573259195641837,0.09784303345482415,0.08595364144152584,0.07842411913355783
SCHW,0.04678580866340813,0.21630027430266502,0.18869640657747824,0.1771489963471323
HBAN,0.1418872594998353,0.3766792528131,0.3353039362547664,0.3332559000472714
PNC,0.03217713776464522,0.17937987000955602,0.14390589709620286,0.13104874546658857
GOOG,0.19520497254669403,0.44182006806696095,0.37162960844591875,0.3765608223477801
MET,0.24153139243423985,0.4914584340859762,0.43643040964215896,0.44328727538953017
RJF,0.4410107654596051,0.6640864141507528,0.5844787146982857,0.5742834900347259
IT,0.41329099812919246,0.6428771252184918,0.5756519914806094,0.5455067084372003
AAL,0.03626412861883549,0.19043142760278695,0.16416682473182292,0.11465108789690677
HCA,0.073089629959105,0.27035093852085107,0.21470583052042477,0.15830389047363846
SYY,0.0997982343036005,0.31590858535912014,0.2836691948835333,0.3027309560270902
CTSH,0.37669268015899965,0.6137529471692984,0.5345299805458461,0.5547652503976345
J,0.9510599706536643,0.9752230363633051,0.833661881845749,1.0588487581544264
AAP,0.15312158881818355,0.39130753738994545,0.33426206806243336,0.273345060512749
LH,0.369151218641589,0.6075781584632458,0.5357724206542676,0.5581014941451617
HRL,0.03042464668581064,0.1744266226406125,0.14926938981633175,0.13589626014233627
IPG,0.04127317121830816,0.20315799570361034,0.17770023862472037,0.1685922125892294
APA,0.018647965482100445,0.13655755373504772,0.10434487941913073,0.1097447426448597
AMT,0.008810723190982857,0.0938654525956321,0.08160611261313822,0.07129282019781778
CTAS,0.6403485891623657,0.8002178385679525,0.7127304616872635,0.6392455185839615
ABBV,0.005877627975087858,0.07666568968637703,0.06668366101715369,0.06481515811418367
RMD,0.10929798917291035,0.33060246395468734,0.27824879176542233,0.30883409348509133
LNC,0.008959060877644465,0.09465231575426174,0.08441779990934369,0.08627177574465751
PG,0.050290286377835655,0.22425495842419105,0.1789789054306914,0.17960015872788915
JCI,0.9475968772086216,0.9734458779041707,0.8394888420367235,0.8007157211954175
MKTX,0.08070885987407629,0.28409304791577755,0.26499077965610784,0.3204523374530301
CSX,0.025417745966755726,0.1594294388334718,0.14936625659507022,0.13834436006238862
ALGN,0.008717727205002563,0.09336876996620745,0.08186239316070758,0.09157908847807089
SEE,0.4001413318873328,0.6325672548332966,0.5688090864784608,0.5530934395967007
TSCO,0.44084768087043763,0.6639636141163442,0.6000868423347678,0.6976895714836724
WAB,0.6653997246976542,0.8157203716333522,0.7120792005916025,0.6566254197966734
LOW,0.0746944532014975,0.27330285984873537,0.25124341931108407,0.2545561010374825
V,0.844876375415314,0.9191715701735526,0.8118818187185899,0.8071435143992692
TT,0.851102690369273,0.9225522697220321,0.8114710959920586,0.8273587095496131
TSN,0.040728568931401296,0.20181320306511488,0.18734908769752262,0.15925370257722227
VTRS,0.03123014077937804,0.17672051601152042,0.1568184628872242,0.13447563550834912
MHK,0.22943291576934452,0.4789915612715369,0.4272214038430501,0.45465382263874626
CPRT,0.11118425208057335,0.33344302673856197,0.2908235640000464,0.3093506551168332
FIS,0.1836279214240745,0.4285182859856444,0.3787423115519372,0.35847666495149705
NOV,0.025637319019691344,0.16011657946537375,0.1298815202819282,0.12751470292436515
IBM,0.3285981569815569,0.5732348183611642,0.48454387087850004,0.5137405927871893
APTV,0.019207783861187124,0.13859214934904185,0.10511296453625034,0.09343619571492164
LLY,0.0032604457047678234,0.057100312650350905,0.046648257092635335,0.03820463004969072
AWK,0.039766889643396586,0.19941637255600803,0.17289952966394664,0.15295083902829476
GOOGL,0.13894405155871892,0.3727519973906497,0.3100029646187928,0.3105033997738985
EQR,0.11499922028769874,0.3391153495312454,0.3022771727650543,0.2582465443334489
RTX,0.16928556374247614,0.4114432691665719,0.34766709821738145,0.35891255163188307
NTRS,0.5097321118271025,0.7139552589813332,0.6258838497824513,0.5914309606680644
PSX,0.2625188912426709,0.5123659739313989,0.42646944934678627,0.41959431831270155
KMB,0.001083729202618722,0.032920042567085514,0.02842546844471822,0.027953946955341775
XOM,0.3859769564290927,0.6212704374337256,0.5425342246715245,0.5713595709070758
CHTR,0.003911106702463832,0.06253884155038236,0.048379264012307084,0.04833184301258571
PNR,1.3393337445188307,1.1572958759620768,0.996423923068143,1.127167246386168
ADM,0.3109874232108686,0.5576624635125342,0.5036449002243651,0.4650209167886262
FLS,0.7557734814478456,0.8693523344696589,0.743763425360005,0.84713652432693
ES,0.013383128733268763,0.1156854733026959,0.0942910477880538,0.08834761620173288
HES,0.13555277338432717,0.3681749222643052,0.2964064831081285,0.30042667910672843
HAL,0.04374616773169355,0.20915584555946207,0.14487548700250658,0.16117971367337144
IVZ,0.11015877723434558,0.33190175840803493,0.3022588026682453,0.2901020501171659
TDY,0.1158287895000471,0.34033628883803607,0.2949000523727677,0.2812167229328925
ALB,0.816280636654219,0.9034825048965912,0.8021729833287892,0.8847737464423661
ICE,0.19614809996857385,0.4428861027042662,0.40520803695491897,0.4551766076039466
LYB,0.06481440891986026,0.254586741445544,0.15201144317911824,0.1415261214970655
APD,0.11820776876931557,0.34381356687791653,0.3037728574053603,0.26586436354419474
IRM,0.06684878227594364,0.25855131458947106,0.2494899407108379,0.23400673229248833
USB,0.06563382407243874,0.2561909913959481,0.22089725729912477,0.21195450601282556
FRT,0.08039134620961164,0.28353367738173824,0.2555661426325313,0.22483498852145323
GLW,0.0283783061151861,0.16845861840578563,0.11745468266753845,0.1041728189244813
REGN,0.19428733539057913,0.4407803709225028,0.37359441934815535,0.3315434851808086
LUMN,0.007828159160078871,0.08847688489135946,0.07368097343235824,0.0697628373495997
CE,0.05417516339614242,0.23275558725010753,0.20113639877500827,0.19330868250375496
LDOS,0.8889622999372385,0.9428479728658479,0.8342786213541876,1.0678501197286931
VZ,0.01831429309712318,0.13533031108041974,0.12248855118226086,0.12854336217302095
TFC,0.4749091715732446,0.6891365405877449,0.5910515876939414,0.5827080009136056
