,mse,rmse,mae,mape
AWK,0.01191328596786454,0.10914800029255936,0.09529325176935254,0.08259309844664907
IBM,0.3126184680497374,0.5591229453794017,0.47418138418584893,0.4942324701837486
SEE,0.33241741111246403,0.576556511638247,0.5217120839505562,0.5036362302534969
UPS,0.11591327518915154,0.34046038710715165,0.3144881746269867,0.3205012728327246
FCX,0.8434848444079263,0.918414309779593,0.7995461148162069,0.9560125707825169
J,0.9640756810753619,0.9818735565618222,0.8422185214598772,1.0687712396766962
BLK,0.31728932225719153,0.5632844061903289,0.5081644051414089,0.49213492439761763
WELL,0.33468726277657285,0.578521618244792,0.5081803644952139,0.4813782385037417
MSI,0.1345465906364123,0.3668059304815181,0.3248830333157026,0.3391254628692416
CBOE,0.013412193893887987,0.115811026650695,0.09668455164159716,0.09793627847080745
LMT,0.3196577506069472,0.5653828354371462,0.4916397153123207,0.411354774749653
ROL,0.17359038234963886,0.4166417914103659,0.3728116282224437,0.36896971807352413
CB,0.04255392447265801,0.20628602587828873,0.19481851171563722,0.18858292542549837
SYK,0.07939210532053682,0.28176604713935427,0.2404436335114221,0.21212644786136683
UHS,0.25402814487755193,0.5040120483456243,0.41782457136239687,0.33986809746785374
LYV,0.26745917324278695,0.5171645514174255,0.4385401399782301,0.36676587361800433
DXCM,0.02372560876450064,0.15403119412800978,0.1322483989968237,0.11879315389509498
XEL,0.019389603026721134,0.13924655481095802,0.12140911741790919,0.10653528559827108
K,0.023608795098005675,0.15365153789665,0.13553874138645802,0.13029989147258253
CBRE,0.15310486581991675,0.39128616870510097,0.34195439709554426,0.29433740491247895
CNC,0.3118615897350914,0.5584456909450475,0.46684009519013414,0.3795021433940776
VZ,0.0010733002438989402,0.032761261329487,0.027697565870151167,0.028159808030307744
YUM,0.013107302056147598,0.11448712615900357,0.09195904521379145,0.09736778584057397
CRM,0.10425586564819335,0.3228867690819699,0.2813279724564455,0.28466565497771074
TROW,0.34884887309726714,0.5906342972578439,0.5231659799367171,0.53327563134765
IVZ,0.0571646779438082,0.23909135899025755,0.22116920696416545,0.20998745468766178
WU,0.03660196233112323,0.1913163932628964,0.17777045122659052,0.2002509237870837
LIN,0.12937784235300326,0.35969131537055943,0.3114662310741832,0.31024878447285953
WEC,0.01421228132626659,0.11921527304111076,0.10124250048092193,0.08862528574333065
ESS,0.6386808747085319,0.7991751214274202,0.7133319975417202,0.6080867983759561
VLO,0.17941694691042048,0.423576376714307,0.34340792815832805,0.33773156087581796
ADSK,0.2816924322620636,0.5307470511100967,0.4645414645808624,0.4247561035149358
COST,0.03053845143542002,0.17475254343047492,0.12358634398892522,0.11809159449248646
VTRS,0.04513153731267977,0.21244184454264128,0.19071414189223876,0.16399052489993116
TSLA,0.26986392469749704,0.5194842872479369,0.41717214751337284,0.33812958641599816
ROP,0.4510021473872874,0.671566934405862,0.5958834848102054,0.5601449818233054
ADBE,0.10337058829409916,0.3215129675364575,0.2718208601662756,0.23715944755025475
ODFL,0.01678340444415455,0.12955077940388685,0.11890006453230015,0.09776078429732922
REGN,0.24024491025668468,0.4901478453045414,0.4163895077252822,0.36993586769841946
STT,0.06827193816077362,0.26128899356990454,0.24406376025660287,0.25220224747361114
NOV,0.06658381440088591,0.25803839714446747,0.21735839088721842,0.21376237467930817
CMS,0.0036337941729184865,0.06028096028530473,0.04761193363621593,0.041439592880833015
AON,0.0021412119670779104,0.046273231647226784,0.03599369514324112,0.03548584005611644
GE,0.22550650278106266,0.4748752497036065,0.4270825843567919,0.4520258584532729
ECL,0.0012847410397402318,0.035843284444094015,0.02807006784087626,0.02760648619775018
APA,0.03285067232542068,0.18124754432935272,0.13729484897562833,0.1389972371805771
IPG,0.0430867582093703,0.20757350073978686,0.1840079724582278,0.17246767093028315
BA,0.04368692957592472,0.20901418510695563,0.19096712913196257,0.20677494892817538
CSCO,0.08574655751292296,0.29282513128644366,0.255192964180494,0.23858869320777065
NWS,0.046345820802618794,0.2152807952480174,0.1859847279525127,0.21206078665819125
CDNS,0.010095896000325769,0.10047833597510346,0.08182244361635367,0.07023126428636625
TFC,0.38230916013783767,0.6183115397094232,0.5316460561610814,0.5148593364941249
D,0.0033958366568767446,0.05827380764011173,0.05161777229612224,0.047962924957887454
IDXX,0.017259498951854284,0.13137541228043506,0.10168160856882558,0.0878840306620507
KEY,0.07079697106905851,0.266077002142347,0.22850871322476238,0.2260478280716131
COF,0.2090787901221907,0.45725134239517623,0.4069742499232918,0.38431294348378153
DPZ,0.015898719834522172,0.12609012584069448,0.08178195098802728,0.06650189211473909
EFX,0.012149107719063846,0.11022299088241004,0.09817641677111572,0.09135057035089691
PCAR,0.1813260358353072,0.42582394934445295,0.3580749625601221,0.33085838795733125
CMCSA,0.3258518239758257,0.5708343227030288,0.5012392748747905,0.4787649050458153
HAS,0.25583618760370164,0.5058025183841037,0.44807422537235525,0.4438136623805942
BKR,0.025870317104419404,0.1608425226873149,0.12345973232921872,0.11847060635782798
PLD,0.0015062876666262876,0.038810922001754705,0.03156920334063171,0.031237718120495524
EXR,0.00239049006116909,0.04889263810809445,0.043935569882242065,0.039925746875909135
LNC,0.003119575213241401,0.055853157594189795,0.04561874717937269,0.04573909962908937
XRAY,0.006467067741975834,0.08041808093939966,0.07198752384435883,0.07558636492459146
SBAC,0.0022823817764187223,0.04777427944426501,0.038660506264263,0.034155379975573746
KMI,0.9711418225793729,0.9854652822800877,0.8845744816454123,0.8360703184876314
KMX,1.3698731728894271,1.17041581196147,0.9944744576131671,1.0106712376567
AXP,0.4701683653125983,0.6856882420696728,0.5983453517808706,0.5960560743925422
PPL,0.006069514460603489,0.07790708864155745,0.07021203836281009,0.0614350745867165
WBA,0.013513278393909,0.11624662745176309,0.09362976878175384,0.08053863959218227
CDW,0.028747878506825475,0.16955199352064687,0.15002695724235865,0.11248951877114988
CHTR,0.00722180818802902,0.08498122256139305,0.07354422947711334,0.06895669473139854
CAT,0.18086168580048237,0.4252783627231491,0.34416998512823127,0.30654954365742626
ACN,1.1700188063368215,1.0816740758365349,0.9492807477541592,0.9475189150227618
ABBV,0.030320850611436446,0.1741288333718355,0.12559089985452462,0.10938507183246136
AAP,0.08077903005383064,0.2842165196708851,0.24451392518858683,0.2004819423924454
F,0.9692501558611192,0.9845050308968051,0.8676464016335202,0.9523812139655375
ROK,0.37450796070381603,0.6119705554222491,0.5210685801530165,0.5305403665640899
MMC,0.0016013022674884962,0.040016275032647604,0.03093092797150057,0.028384832553986668
BIO,0.0782065338146961,0.2796543112750027,0.23619838478943725,0.24963439428712655
OMC,0.30621880729641154,0.5533704069575925,0.48793042203255055,0.49788643791886433
XYL,0.002735028725377939,0.05229750209501348,0.03932960974755129,0.03703348650463403
TEL,0.03446716515021345,0.18565334672505487,0.14687288992305705,0.13256063109061567
WAT,0.02878171023594541,0.16965173219258745,0.14573008634844173,0.1473794851087811
XRX,0.19528063025447762,0.44190568026953175,0.4060707665091613,0.3859196616432238
CSX,0.011290833878557305,0.1062583355721202,0.09685825411296407,0.09096527173855076
NOC,0.21892351985348132,0.46789263710116374,0.4125428091040669,0.36413665039923193
JPM,0.0625617324455489,0.2501234344189862,0.2237770702930174,0.2193084008006223
NDAQ,0.05879845571125047,0.24248392876900207,0.22605042684239693,0.22263489850645757
NEM,0.09532289522471261,0.3087440610355325,0.28036674655000055,0.3358072173046734
MMM,0.838895336845582,0.9159122975730711,0.8159271798587776,0.7708335480199501
CLX,0.05260884003398009,0.22936617020384695,0.17665592462207289,0.1729529942326502
SLG,0.004240597125180368,0.0651198673615078,0.054967343418576786,0.04799198466633006
COP,0.015974541398901084,0.1263904323867162,0.10097659780362726,0.09354271831670613
TJX,0.11354704437366114,0.33696742331219665,0.30922199994353416,0.3320549484627803
TFX,0.15741614968956272,0.3967570411341968,0.3481759708968027,0.31232884267370653
STE,0.19151085202641854,0.4376195288448843,0.4000096933792659,0.34619231491984215
MA,0.546156641520515,0.7390241143024462,0.6647743164355111,0.712033354107606
FMC,0.07306974118824577,0.27031415277089316,0.21304775233299603,0.2616378140697283
ADM,0.23656378207261508,0.4863782294394097,0.44315312478229363,0.4047357485840907
AMD,0.23962042242153367,0.48951039051437273,0.3904590327439304,0.5063812937889822
EL,0.023523543770510247,0.15337386925584895,0.1438568048045301,0.14742176560636938
EIX,0.01656305390653599,0.1286975287506951,0.11708821046626336,0.09792480263359127
AIZ,0.029322732270377072,0.1712388164826453,0.15193843279465855,0.15134764736611106
HCA,0.11291070148611101,0.33602187649930026,0.2718594416013913,0.20170900090210814
ROST,0.06433911548134738,0.25365156313602205,0.23403352371063618,0.26113627730389194
NWL,0.14734033137830255,0.383849360268195,0.35372317196255776,0.34656255239521944
SRE,0.014778300998777657,0.1215660355476712,0.10378513112960377,0.08972627434733468
PNC,0.011134344100199473,0.10551940153450205,0.08466147250074496,0.0759050904245919
REG,0.1279975294319182,0.3577674236594469,0.3119471679488077,0.28248996604107374
KLAC,0.0599923959560397,0.24493345209676792,0.2232014467900897,0.19780776799438482
PWR,0.5833968584142699,0.7638042016212466,0.6355731061868163,0.6087174158583902
BXP,0.008216782458505621,0.09064646964171093,0.07165767922831515,0.061580344093603315
HD,0.02813525444513998,0.1677356683747973,0.1562361183176481,0.1503028912343069
CMI,0.34929717960702755,0.5910136881723025,0.5084157968223534,0.49241565488701683
NWSA,0.01775967657069316,0.13326543651935097,0.10986043514836001,0.12211218472131194
BEN,0.35320229348278837,0.5943082478670377,0.5311367882597783,0.5510977471361923
DAL,0.6919217196627283,0.8318183213074405,0.7451387883921547,0.5518322082938034
NUE,0.11480352916030291,0.33882669487557043,0.3072390729613635,0.3169874539746241
TER,0.08174512749630075,0.28591104822357033,0.23770634891322603,0.22051419174954934
DHI,1.061486813326604,1.0302848214579325,0.8885474310694601,0.8621656716677495
QCOM,0.004552051685974192,0.06746889421040034,0.05912847138135748,0.055935187757080264
OXY,0.07301740508618816,0.2702173293595142,0.220701836938312,0.23351909217487427
BAC,0.0055328953295430425,0.07438343451026608,0.06464804591847692,0.06429753739178047
CPRT,0.07565903193630885,0.2750618692881819,0.24153442831783764,0.2568610925035664
VRSK,0.014658373573505433,0.12107177034100655,0.11318303701705948,0.12647967588257672
AMCR,0.930981340745479,0.9648737434221532,0.8343902049296581,0.858675545253315
DVA,0.10170456764674175,0.3189115357693129,0.27152861292376734,0.23588797631564135
LHX,0.36439790053361587,0.6036537919483451,0.5150973421875342,0.5050713262131694
ILMN,0.21940054984904178,0.46840212408681686,0.39969072951640505,0.2607241589353179
ALL,0.018939257559261388,0.13761997514627514,0.10823156781155224,0.09292561628201826
GPN,0.005072220184751054,0.0712195210932442,0.05280643117307583,0.04509907861443348
MET,0.17064310887746034,0.41308971044733167,0.36948294628552536,0.36908859471823774
XOM,0.2895914510053074,0.5381370188021889,0.47182925096643336,0.48735333555161986
CMA,0.18007319499406826,0.42435032107218706,0.3624024273730286,0.3583578258221889
WYNN,0.6291687414039252,0.7932015767785168,0.6425918296963461,0.665461140125002
EMR,0.2978208124647808,0.5457296147954414,0.48349745167576375,0.5192990235448247
MRK,0.004518771706535797,0.06722180975350037,0.05068258817480047,0.043442052683544334
AZO,0.014916502832133863,0.12213313568452201,0.10437709089323167,0.09333144301459319
TSCO,0.33635958947553957,0.5799651622947188,0.5280674110079314,0.6079726903283029
LEG,0.26639418969970635,0.5161338873777872,0.4657492521269873,0.39998091401340624
HUM,0.023600092408214358,0.15362321572019758,0.1327447428897489,0.10809509984788392
MNST,0.3376220845729557,0.5810525661013431,0.5277883980751572,0.44494604091403217
UNP,0.012712068170965542,0.11274780783219486,0.09220332294516179,0.07114016026885187
PVH,0.12456803372294817,0.35294196934191346,0.3224989293387325,0.36480695388255563
